Total CPU Power,codeCarbon_time_log_20250319_205244.txt,Sem rodar nada
Total CPU Power :,20.758692441776574,12.502953987330702
Total CPU Power :,24.01904161814349,11.889868330908275
Total CPU Power :,21.169290580468857,11.710529975003304
Total CPU Power :,24.563799433825594,11.882838473991896
Total CPU Power :,24.92858618985272,11.88380673179767
Total CPU Power :,17.566398814489308,11.743133700981383
Total CPU Power :,16.479859906577868,11.888143648514712
Total CPU Power :,23.844049335023268,11.728768885112979
Total CPU Power :,23.230233342569637,11.894850137430117
Total CPU Power :,25.25923951156645,11.886930803899476
Total CPU Power :,25.48747145702725,11.866587244831678
Total CPU Power :,18.26812066983695,11.871055404577548
Total CPU Power :,18.113888583881884,11.944929014940922
Total CPU Power :,23.975426254205264,11.529581749397204
Total CPU Power :,23.325057231981056,11.88303691801552
Total CPU Power :,25.141331723012495,11.919209158482444
Total CPU Power :,25.511430304097363,11.716576666917893
Total CPU Power :,18.71613592223282,11.748108832669516
Total CPU Power :,17.171207791337416,11.901942634509094
Total CPU Power :,23.619548389451616,11.883132920958602
Total CPU Power :,23.437715083988333,11.884733733151576
Total CPU Power :,25.27991082574956,11.89644200788137
Total CPU Power :,24.80118843688182,11.337704676898168
Total CPU Power :,20.264498391073044,11.63443094357904
Total CPU Power :,16.465442214234315,11.80183860607444
Total CPU Power :,23.943646813398534,11.4581315392099
Total CPU Power :,23.395703716520842,12.352378979590107
Total CPU Power :,24.851330053164826,11.611694363532575
Total CPU Power :,24.82962398710356,11.47068803778764
Total CPU Power :,20.817221327055236,11.638154035176248
Total CPU Power :,16.522384915309043,11.834567300481105
Total CPU Power :,23.90759783991638,11.666173522106218
Total CPU Power :,23.730473004864848,11.790592822893828
Total CPU Power :,24.785545240130954,11.825542152155665
Total CPU Power :,24.72039859448534,11.811366470726098
Total CPU Power :,20.749218268651607,11.459929567606288
Total CPU Power :,16.41816338434631,11.83531851236446
Total CPU Power :,23.63953405885907,11.836941956272401
Total CPU Power :,24.263460361475417,11.627881647309387
Total CPU Power :,24.54963267027198,11.807661253120626
Total CPU Power :,25.132471090445918,11.632106216592682
Total CPU Power :,20.651000049494474,11.113860113671599
Total CPU Power :,16.950486693667372,11.676542230544614
Total CPU Power :,22.82074634039327,11.805345229748614
Total CPU Power :,24.43410001448606,11.807652944395937
Total CPU Power :,24.31746811395595,11.45174204904547
Total CPU Power :,25.053329282664173,11.465352666267647
Total CPU Power :,20.416306351329283,11.828219554605845
Total CPU Power :,17.881997417369732,11.653201225057515
Total CPU Power :,22.42169610856556,11.644670005444574
Total CPU Power :,24.31541883524552,11.455426116869159
Total CPU Power :,23.667677685057313,11.797682223323472
Total CPU Power :,24.969577045366282,11.636490448932985
Total CPU Power :,20.67053386700872,11.816531912801617
Total CPU Power :,18.16726924761253,11.808673467940528
Total CPU Power :,21.84671694628405,11.458624783677324
Total CPU Power :,24.870426083562812,11.638987984206809
Total CPU Power :,23.863241075242023,11.810220895228198
Total CPU Power :,24.96000658830155,11.627660006586664
Total CPU Power :,20.485136778331654,11.791978532629004
Total CPU Power :,18.868925929090615,11.81859706387461
Total CPU Power :,19.57964278686154,12.274131237566005
