diretório,emissões_kg,tempo_segundos,energia_kWh,co2eq_por_segundo,co2eq_por_ano,media_cpu_power,mediana_cpu_power
loginCreateAndUpdateArticle,0.00012775430092266306,207.2348005771637,0.001299,0.000575,18.133706390555997,19.705102868200925,19.495892034017196
login,1.7274734646740297e-06,97.72675466537476,0.000727,1.8e-05,0.5659921626930541,23.903916171742704,24.29398880192077
filterTag,6.752712633705759e-05,95.60594749450684,0.000687,0.000708,22.342659264265027,22.979522705500454,23.8117840635188
LoginFiltertagAndComment,8.45012403087129e-05,123.1403911113739,0.000859,0.000672,21.194004406972063,22.239768919664115,23.629541224155343
singUp,7.363816658771319e-05,105.90633749961853,0.000749,0.000693,21.85310697055237,22.591108590946554,23.895905704842043
singUpAndLogin,8.217866173333878e-05,118.07716679573059,0.000836,0.000708,22.3278097675992,22.626026831611,23.697458422810925
logOut,6.910211297154491e-05,95.75323128700256,0.000703,0.000718,22.62800293406687,23.543989731860126,24.01927037814729
loginAndLogout,7.575639928560786e-05,105.42081713676453,0.00077,0.000715,22.550050552178448,23.433218871438882,24.09738288382537
loginInvalidEmail,6.80752790060302e-05,94.64233756065369,0.000692,0.00072,22.71311843917165,23.425867325504157,23.968147637621165
loginInvalidPassword,7.05753500503162e-05,98.71674084663391,0.000718,0.000733,23.101909369199372,23.312089032904233,24.145971982052735
updateProfile,7.817352629606878e-05,112.91261219978333,0.000795,0.000679,21.40905773996864,22.47863331784686,24.08828433440309
createArticle,0.00010494765577896154,169.4443759918213,0.001067,0.000616,19.43609425331378,19.803380153513576,19.997180322962624
deleteArticle,6.864746622015562e-05,91.73983526229858,0.000698,0.000747,23.57166181772399,24.53231344419608,24.699303572736675
createAndDeleteArticle,0.0001072723320785844,173.85246229171753,0.001091,0.000606,19.097087156706436,19.726885647478593,21.018410988549025
updateArticle,7.486243220368132e-05,105.35992765426636,0.000761,0.000696,21.963891441670324,23.11833901556661,24.37306386280872
createComment,7.203711874054955e-05,99.60114002227783,0.000732,0.000729,22.996939121696318,23.611222307256618,24.105244617987815
deleteComment,6.901814001769645e-05,93.05657315254211,0.000702,0.000742,23.402480944684406,24.25273788204824,24.74240320223409
createAndDeleteComment,7.189458784428918e-05,98.12316846847534,0.000731,0.000741,23.37635595964736,23.9818494780823,24.264690657790453
favoriteAndUnfavoriteArticle,7.093399581293811e-05,95.08574151992798,0.000721,0.000754,23.791895098001152,24.454268320214855,24.581175346266363
loginAndCreateArticle,0.0001127322904073456,184.8872423171997,0.001146,0.000628,19.798828040235016,19.46005423319421,19.34203360296161
loginAndDeleteArticle,8.05254171049217e-05,113.59677624702454,0.000819,0.000718,22.639678968048013,23.086292386968157,23.971390877527583
loginCreateAndDeleteArticle,0.00011825914060125531,190.38065218925476,0.001202,0.000585,18.44204583226055,19.942463116884497,20.804017427398648
loginCreateComment,8.046261256693177e-05,113.19657826423645,0.000818,0.0007,22.09012135518042,23.153756468454517,23.90795876461405
loginAndDeleteComment,7.907938136657296e-05,111.99294900894165,0.000804,0.000645,20.333017308923914,22.98326815681426,24.02501823699344
loginCreateAndDeleteComment,8.946272213846218e-05,123.57621383666992,0.00091,0.000824,25.99236521485521,23.63616726255972,24.216277047366752
loginAndUpdateProfile,8.663875151105272e-05,126.55517673492432,0.000881,0.000668,21.059204893977878,22.209635179935063,23.6838240651685
loginCreateArticleAndComment,0.00012417024072069763,241.25222277641296,0.001263,0.000485,15.290167463133258,15.986947475130407,16.11924412575568
singUpLoginAndLogout,9.800295105370569e-05,148.30785608291626,0.000996,0.000655,20.659309700099573,21.373515143372405,21.805688385751345
createAndCommentArticle,0.00011397633492050715,181.70251083374023,0.001159,0.000645,20.333938268869666,20.10632468476815,21.779563513079523
loadPages,1.548075745347845e-06,89.41448640823364,0.000651,1.7e-05,0.5397634517133837,23.35632005182511,23.076357826833032
createAndUpdateArticle,0.00012602510883684697,211.07000184059143,0.001281,0.000482,15.208573161016721,19.000060266558485,18.601642054675185
loadPagesAndWait,3.412936405318778e-05,70.56600499153137,0.000347,0.000431,13.59456073263452,14.871528718744656,13.086554671570159
