Total CPU Power,codeCarbon_time_log_20250321_115532.txt,Sem rodar nada
Total CPU Power :,21.40263122938402,12.860913327882097
Total CPU Power :,24.280893189135337,12.147684518808816
Total CPU Power :,23.86562727338042,12.225616202059497
Total CPU Power :,24.067268556398513,12.11623272115936
Total CPU Power :,25.042351764777294,12.150966288981124
Total CPU Power :,15.733556070566756,12.175529542213313
Total CPU Power :,14.66665091420812,11.772667739798027
Total CPU Power :,14.983733754144293,12.106289223927051
Total CPU Power :,15.99845048398989,12.027011452667457
Total CPU Power :,19.117113602982407,12.16257594223738
Total CPU Power :,24.18365242740262,12.109845283309964
Total CPU Power :,24.232054778816092,12.017216987061014
Total CPU Power :,25.326348371473173,12.191140687173899
Total CPU Power :,25.254961487795903,11.996834560608429
Total CPU Power :,17.94738953466569,12.177777923324983
Total CPU Power :,14.834969735514623,12.138392758246194
Total CPU Power :,14.521943601510566,12.225305970735086
Total CPU Power :,14.561473530719292,11.962285255749045
Total CPU Power :,20.34355951618427,11.97205547360412
Total CPU Power :,24.025084565970225,12.123413490451693
Total CPU Power :,23.81309360603523,12.131168502509208
Total CPU Power :,25.205913430560386,11.950633414335606
Total CPU Power :,25.524014565860817,11.749489168668838
Total CPU Power :,16.957564709070013,12.008129248462685
Total CPU Power :,14.680506485799462,11.857083220234813
Total CPU Power :,14.466042833775795,11.836637763244628
Total CPU Power :,14.768585080668187,11.979268448024825
Total CPU Power :,21.320259693507445,11.85250322129865
Total CPU Power :,24.101130019653677,11.664349485429351
Total CPU Power :,23.784633957191748,11.824346610980893
Total CPU Power :,25.07735250117391,11.509136744233082
Total CPU Power :,25.2639967152056,11.857259241297454
Total CPU Power :,17.247659440392578,12.072146305143816
Total CPU Power :,15.476102363646596,11.485852959873325
Total CPU Power :,14.632677074901746,11.976703906686204
Total CPU Power :,14.880150170218363,11.962948942360995
Total CPU Power :,21.779563513079523,11.76801148882383
Total CPU Power :,24.13636456699193,11.467703724616667
Total CPU Power :,23.856084261074628,11.965866510190832
Total CPU Power :,25.04012266105271,11.864263361271716
Total CPU Power :,24.673180034865567,11.654535933494417
Total CPU Power :,17.09150926752082,11.988638292310092
Total CPU Power :,14.91229815885572,11.841166804569953
Total CPU Power :,14.501537764135522,11.740212095029426
Total CPU Power :,14.869820245103575,11.500119142784502
Total CPU Power :,21.346135786599433,11.842311446068067
Total CPU Power :,24.057781785896836,11.795379165889436
Total CPU Power :,23.62390994158617,11.65199050366323
Total CPU Power :,25.021852588632395,11.916784547333062
Total CPU Power :,25.49580294753895,11.970190881704527
Total CPU Power :,16.145752713657895,11.791672513714035
Total CPU Power :,15.233993185915452,11.634288557991372
Total CPU Power :,14.531156596730389,11.975226043457656
Total CPU Power :,14.825153338620657,11.8168616178883
Total CPU Power :,22.30738657160199,12.009463205871866
Total CPU Power :,24.55937159603573,11.639458263991399
Total CPU Power :,23.487995667264286,11.989983499547119
Total CPU Power :,25.291543884918337,11.846213634010775
Total CPU Power :,24.81199947705366,11.653526513939621
Total CPU Power :,15.991163952462133,11.978212329246375
Total CPU Power :,15.26310293373593,11.823386011063645
Total CPU Power :,14.532801025768158,11.830288007037149
Total CPU Power :,15.23909647819171,11.79130954948207
Total CPU Power :,22.413610003920546,11.573685910573943
Total CPU Power :,24.855208100257407,11.9959994088951
Total CPU Power :,23.620317455208074,11.285241856090158
Total CPU Power :,25.01138763333047,11.998102938502992
Total CPU Power :,24.70809827344511,11.816269132954169
Total CPU Power :,15.691740920488133,11.848880369469457
Total CPU Power :,15.08531104811701,11.865748648893469
Total CPU Power :,14.559500778845745,11.981039188377773
Total CPU Power :,15.134256669597685,11.97799029861395
Total CPU Power :,23.61731613224876,11.825746427327285
Total CPU Power :,25.082157259407175,11.738698021208181
Total CPU Power :,24.16099168497418,11.815241829727857
Total CPU Power :,25.13590778495664,11.822495522269802
Total CPU Power :,22.605499814705713,11.782572867158915
Total CPU Power :,15.783580924376425,11.456705686061754
Total CPU Power :,14.793760450467163,11.726299473033277
Total CPU Power :,14.517918243250726,11.926451396143467
Total CPU Power :,15.238247129684195,11.662251481645342
Total CPU Power :,22.392032556390163,11.81444760533187
Total CPU Power :,24.735984657633303,11.804750543314485
Total CPU Power :,23.423984348924737,12.349755662869292
Total CPU Power :,25.057246503164016,11.917827923661882
Total CPU Power :,24.296973598208307,11.864650837854217
Total CPU Power :,16.025525429877447,11.868528174248667
Total CPU Power :,14.754335177635994,11.283266980570433
Total CPU Power :,14.535885869809622,11.881636576554667
Total CPU Power :,15.171844593883161,11.650651525165387
Total CPU Power :,23.05104528952259,12.01581397882046
