Total CPU Power,codeCarbon_time_log_20250320_194643.txt,Sem rodar nada
Total CPU Power :,21.126565646854623,12.580585914647452
Total CPU Power :,24.029814897448503,12.092612472109117
Total CPU Power :,23.794384668344623,11.989975662998283
Total CPU Power :,24.059229764884925,11.79630702162967
Total CPU Power :,23.635042738806163,12.019049727071838
Total CPU Power :,15.326506206222295,12.000199903293
Total CPU Power :,14.516746258651754,11.973681393247503
Total CPU Power :,14.48134426825603,11.99656790315107
Total CPU Power :,15.865638139808853,11.924273737225835
Total CPU Power :,21.812409532290264,12.402811179579622
Total CPU Power :,24.588340109234828,12.211987574689037
Total CPU Power :,24.192903823858263,12.074372614860822
Total CPU Power :,24.799453788663108,11.993666694508034
Total CPU Power :,19.800979497611277,12.059311171473922
Total CPU Power :,14.73379910876719,12.052461688841147
Total CPU Power :,14.441819277459901,11.86655570494082
Total CPU Power :,14.27115984016207,11.87984641165736
Total CPU Power :,18.598406615747695,11.504906157709298
Total CPU Power :,23.772851106418482,11.986803741286042
Total CPU Power :,23.833512028269215,11.962633872061128
Total CPU Power :,24.759026501458322,11.7293293447385
Total CPU Power :,24.060826475517594,11.984656965774773
Total CPU Power :,16.424737536631405,12.034764299559132
Total CPU Power :,14.463648852906733,11.881207122113357
Total CPU Power :,14.195807102957293,11.988720675851637
Total CPU Power :,14.526621345133753,11.907293972499861
Total CPU Power :,21.217518891306593,11.440283075072346
Total CPU Power :,24.667469597577682,11.952337359480827
Total CPU Power :,23.835233950378864,11.361148392249506
Total CPU Power :,24.62772694234095,11.737019614362243
Total CPU Power :,22.907909406954946,11.742365716780945
Total CPU Power :,15.439652448745052,11.722582661371169
Total CPU Power :,14.757521434974368,11.381852745789686
Total CPU Power :,14.195726732935933,11.911423624157008
Total CPU Power :,15.102835220367863,11.883720108760595
Total CPU Power :,24.12277779318847,11.549056715123106
Total CPU Power :,24.38013355958638,11.872135420367536
Total CPU Power :,24.246789834677884,11.875661363906927
Total CPU Power :,24.72343490781425,11.916381538446348
Total CPU Power :,19.78753860880777,11.705532478407038
Total CPU Power :,14.643697658440862,11.92086325765244
Total CPU Power :,14.425671212244279,11.573060804463847
Total CPU Power :,14.21009797728882,11.93556040497306
Total CPU Power :,19.614897466234037,11.569988631501397
Total CPU Power :,23.579046637528023,11.911035699489789
Total CPU Power :,23.67760673725114,11.885172613934397
Total CPU Power :,24.631036180757008,11.69258969500838
Total CPU Power :,24.48931703931852,11.888954143824654
Total CPU Power :,16.28385478784236,11.877325904053759
Total CPU Power :,14.507811172721503,11.732340289434687
Total CPU Power :,14.200827401099785,11.705699225509532
Total CPU Power :,14.694698976857994,11.879146328736978
Total CPU Power :,22.841603287741286,11.35422298656813
Total CPU Power :,24.628281106300197,11.37996481672427
Total CPU Power :,23.99433995930013,11.535137287055107
Total CPU Power :,24.64090790383859,11.544837833418402
Total CPU Power :,21.018410988549025,11.76146032680055
Total CPU Power :,14.689332244506668,11.790088406706225
Total CPU Power :,14.399883398751015,11.790490308068106
Total CPU Power :,14.504902956382539,11.379085509111972
Total CPU Power :,18.049259149595432,11.896372160427237
Total CPU Power :,23.798746891187424,11.864101719949055
Total CPU Power :,23.880990042528207,11.696702017880696
Total CPU Power :,24.84469600909409,11.940345443224459
Total CPU Power :,25.29223859813795,11.81534298163062
Total CPU Power :,16.827632473539705,11.909784089751806
Total CPU Power :,14.535781462499179,11.38169815127881
Total CPU Power :,14.301407772819683,11.706189619163183
Total CPU Power :,14.195813569694254,11.941310052599253
Total CPU Power :,21.980160363526796,11.559914404422395
Total CPU Power :,24.655561241504998,11.695726921239705
Total CPU Power :,23.81694935000047,11.897479604746733
Total CPU Power :,24.7000624785262,11.88777903482239
Total CPU Power :,22.109302337897002,11.883502695119773
Total CPU Power :,14.929423118782175,11.704542702476465
Total CPU Power :,14.4724695217684,11.750127346097129
Total CPU Power :,14.21471291267263,11.88663937102639
Total CPU Power :,15.73285258569906,11.529333648555541
Total CPU Power :,24.050979003830008,11.370107056654906
Total CPU Power :,24.232296075076416,11.360175039766533
Total CPU Power :,24.766890442750046,11.546570504520064
Total CPU Power :,24.38228637654475,11.694546539632812
Total CPU Power :,18.64025965848406,11.697898351039145
Total CPU Power :,14.8492888348865,11.917308898544668
Total CPU Power :,14.421590808492315,11.522159723981666
Total CPU Power :,14.192364541348926,12.41172438048117
Total CPU Power :,20.564966154774947,11.547979857397753
