Total CPU Power,codeCarbon_time_log_20250320_203115.txt,Sem rodar nada
Total CPU Power :,21.478561308845766,12.780794699860664
Total CPU Power :,24.244368482282137,12.092400640154915
Total CPU Power :,24.120008004662317,12.073621045231096
Total CPU Power :,24.228730911240447,11.858028435834388
Total CPU Power :,24.05921268238498,11.88017386601484
Total CPU Power :,21.160626482642567,11.907137090270053
Total CPU Power :,25.131453013603146,12.082656130910085
Total CPU Power :,24.49648314576125,11.694760042524518
Total CPU Power :,25.364480621061556,11.942903168293956
Total CPU Power :,22.89258755788676,12.040401315145276
Total CPU Power :,22.07295677229812,11.879966955069616
Total CPU Power :,24.930912011701558,12.101943372197896
Total CPU Power :,24.340093162410817,11.911271417836211
Total CPU Power :,25.101746917502325,12.04251791635787
Total CPU Power :,22.06869081136628,11.901461490085966
Total CPU Power :,23.906503385139803,11.88129623721623
Total CPU Power :,24.461936378772936,11.716251252150238
Total CPU Power :,25.12744190563643,11.911027935804192
Total CPU Power :,24.678089860008548,12.039545024911003
Total CPU Power :,22.78782511689553,12.051834340362122
Total CPU Power :,23.57892017603118,11.92755752627362
Total CPU Power :,24.093117990133386,12.07220767417138
Total CPU Power :,25.067111976559037,11.73861273540671
Total CPU Power :,25.496951002910723,11.595318335802274
Total CPU Power :,22.158922784277724,11.591893955455014
Total CPU Power :,24.285012833298772,11.640890803907936
Total CPU Power :,23.73622724882847,11.715987300621586
Total CPU Power :,24.841230344443087,11.681303933503258
Total CPU Power :,25.057291757421947,11.597983771243783
Total CPU Power :,22.037952890567922,11.958723039415123
Total CPU Power :,25.13194066542694,11.792272293372672
Total CPU Power :,24.093821159083276,11.765481392526334
Total CPU Power :,25.00487637463622,11.80379977064747
Total CPU Power :,23.793050725917745,11.964401776278955
Total CPU Power :,22.115720242379687,11.091142145435176
Total CPU Power :,25.043963831827263,11.622696550465566
Total CPU Power :,24.313049249528657,12.519777665418157
Total CPU Power :,25.067473756054337,11.4511301389222
Total CPU Power :,22.239777842213876,11.813111619444866
Total CPU Power :,23.502188409808273,11.98385527808781
Total CPU Power :,24.764341254427894,11.807516159886072
Total CPU Power :,24.561775789546175,11.939019573250478
Total CPU Power :,25.08854805037884,11.790831103440397
Total CPU Power :,22.328399529062274,11.942032962293851
Total CPU Power :,23.33676204856288,11.940822938764518
Total CPU Power :,24.206488576965935,11.609755705501692
Total CPU Power :,25.002473337527835,11.759806013268983
Total CPU Power :,24.91413735772339,11.594723480980457
Total CPU Power :,22.52012779165699,11.766575510408206
Total CPU Power :,25.058110374810838,12.13150619501302
