Total CPU Power,codeCarbon_time_log_20250321_123926.txt,Sem rodar nada
Total CPU Power :,21.097563218152796,12.534509106664292
Total CPU Power :,23.821785430723345,11.65210337064808
Total CPU Power :,23.365032843268253,11.672717613073388
Total CPU Power :,23.430201640109512,11.99113352130831
Total CPU Power :,24.84255710235416,11.985920264617
Total CPU Power :,15.851490406806892,12.084996439273652
Total CPU Power :,14.431938408260855,11.974676191358663
Total CPU Power :,14.540357383069175,11.96932616277178
Total CPU Power :,15.829320388363008,11.834329482208144
Total CPU Power :,18.267364764294577,12.024418738238044
Total CPU Power :,21.8503067372102,12.003061312740414
Total CPU Power :,24.614749190899087,12.023407344289145
Total CPU Power :,24.241010549199274,11.958510399442188
Total CPU Power :,24.902398953717967,11.966647751232168
Total CPU Power :,20.22708985516063,11.544391625819852
Total CPU Power :,15.001911840672555,11.882911817408697
Total CPU Power :,14.460801618908931,11.719539106563799
Total CPU Power :,14.361681093595674,11.899755854050802
Total CPU Power :,17.39199106931543,11.93188168103447
Total CPU Power :,19.104299232842486,11.342119611207625
Total CPU Power :,24.453349109076278,11.729548949513442
Total CPU Power :,23.03966223993316,11.99138659707507
Total CPU Power :,24.640244884202946,11.53013510789076
Total CPU Power :,23.68305819314198,11.894130198555622
Total CPU Power :,15.66450863299513,11.377989845991625
Total CPU Power :,14.650874388110983,11.860996321945844
Total CPU Power :,14.25987904329155,11.519950263739425
Total CPU Power :,14.751511298802079,11.533798423676178
Total CPU Power :,18.61083909458211,11.885416281412938
Total CPU Power :,22.65532822961279,11.529181415823823
Total CPU Power :,24.040442104576737,11.696637612829175
Total CPU Power :,24.8028998243551,11.55047238965748
Total CPU Power :,24.574188180535188,11.515929048223189
Total CPU Power :,19.07782272542207,11.856846255401853
Total CPU Power :,14.523294025139942,11.372713392190787
Total CPU Power :,14.458468459800434,11.8596072163556
Total CPU Power :,14.179842584691949,11.732681187591671
Total CPU Power :,18.817698611139928,11.60458879518223
Total CPU Power :,20.453900915359043,11.715028710493803
Total CPU Power :,24.578944969195813,11.907797277733852
Total CPU Power :,23.578155572928058,11.867047571993915
Total CPU Power :,24.621302628425358,11.695545565543126
Total CPU Power :,22.95172477917586,11.7350727728693
Total CPU Power :,15.417075806298541,11.743411362048082
Total CPU Power :,14.776806575282619,11.699541420674617
Total CPU Power :,14.354763549437719,11.697890648688803
Total CPU Power :,14.998795084174128,11.746894650279968
Total CPU Power :,18.56686149538986,11.718471480579614
Total CPU Power :,23.193500874184018,11.528845648283433
Total CPU Power :,23.679150975901127,11.685946107843527
Total CPU Power :,24.779471665581113,11.534004600822529
Total CPU Power :,24.525598002805705,11.90514604823342
Total CPU Power :,18.396971161911853,11.907674134557809
Total CPU Power :,14.654244752882217,12.403852375622568
Total CPU Power :,14.381368612162468,12.029271309001567
Total CPU Power :,14.126687076159914,11.732886871202943
Total CPU Power :,18.59244501476826,11.884495462231376
Total CPU Power :,20.59345805142494,11.293686714539504
Total CPU Power :,24.433505295528754,11.928536476613996
Total CPU Power :,23.94780919146071,11.552908629677349
Total CPU Power :,24.71536250311556,11.694460866846947
Total CPU Power :,21.946730962654396,11.891364473657926
Total CPU Power :,14.889350818607664,11.878442930310547
Total CPU Power :,14.406152854254369,11.87113870569518
Total CPU Power :,14.168035173962162,11.694466516231424
Total CPU Power :,15.87149990026209,11.869138814740301
Total CPU Power :,19.24659349345215,11.695332006692228
Total CPU Power :,23.796507592091764,11.532085539573925
Total CPU Power :,23.658239424959074,11.71013680535568
Total CPU Power :,24.894968806383687,11.76609990177407
Total CPU Power :,25.064531678408922,11.805382805744802
Total CPU Power :,16.62603784921472,11.848974392186978
Total CPU Power :,15.171359417265304,11.697668867341973
Total CPU Power :,14.432519924380268,11.880131408340164
Total CPU Power :,14.172901563262444,11.73110080892975
Total CPU Power :,17.145769163788984,11.578166704249517
Total CPU Power :,18.81999079501524,11.923753323352564
Total CPU Power :,23.66161064336911,11.693707762788785
Total CPU Power :,23.410276826422322,11.37004989816186
Total CPU Power :,24.881862673066493,11.168143123861187
Total CPU Power :,25.21583950338104,11.705725870354872
Total CPU Power :,17.131387826725355,11.884693793941613
Total CPU Power :,14.621532516847163,11.719163149605823
Total CPU Power :,14.2322664146853,11.688181403090203
Total CPU Power :,14.314577197287786,11.549782909558031
Total CPU Power :,18.4561979614388,11.907543522316045
Total CPU Power :,20.962544332436075,11.771609982964764
Total CPU Power :,24.758162804238914,11.860269625584545
Total CPU Power :,24.007951543596736,11.535721540866067
Total CPU Power :,24.8306862452079,11.862894349344685
Total CPU Power :,18.785776252717778,11.73249641053648
Total CPU Power :,13.617156420776942,11.731592850527774
Total CPU Power :,13.163622881554105,11.544873079466061
Total CPU Power :,13.229274950157581,11.873527920353
Total CPU Power :,13.319369378643325,11.691712063569387
Total CPU Power :,13.12694409029456,11.694377894578258
Total CPU Power :,13.111165312840916,11.540654194935753
Total CPU Power :,12.82932823481532,11.706954716537815
Total CPU Power :,12.81094498689003,11.690806485230794
Total CPU Power :,13.301470758911497,11.55481126041736
Total CPU Power :,17.033861481342537,11.872271944825945
Total CPU Power :,16.169646676278184,11.985705809165909
Total CPU Power :,17.21512341423966,11.498165851171576
Total CPU Power :,15.861235236445534,11.690949403400625
Total CPU Power :,19.008415047207407,11.721891014429035
Total CPU Power :,19.79129931552885,11.535821542200406
