Total CPU Power,codeCarbon_time_log_20250320_191310.txt,Sem rodar nada
Total CPU Power :,21.52391487013612,12.76869068097993
Total CPU Power :,24.456929162506775,11.891900602647912
Total CPU Power :,24.215365525413198,11.914793024907405
Total CPU Power :,24.633155191032618,11.895336164836753
Total CPU Power :,23.684583068858622,11.932139405914748
Total CPU Power :,15.872477617362472,11.962495697464993
Total CPU Power :,14.740983167581861,12.145748107422664
Total CPU Power :,14.683077758056081,11.383628603227459
Total CPU Power :,16.171712294283278,11.92537386354752
Total CPU Power :,22.63109059952271,12.11592415702168
Total CPU Power :,24.439312460537764,12.0996566506549
Total CPU Power :,25.205320041446896,11.563492818990662
Total CPU Power :,25.16155609048753,12.065634847910939
Total CPU Power :,17.56510378562355,11.561539650815325
Total CPU Power :,14.879195959231232,11.917188449716194
Total CPU Power :,14.604885157405086,11.909786999475754
Total CPU Power :,14.466617534504225,11.896293484649574
Total CPU Power :,19.014752834530164,12.101312966078897
Total CPU Power :,25.149085283616678,12.09059597120992
Total CPU Power :,24.353893056692677,11.720434611986459
Total CPU Power :,25.090525860317552,12.095507717634177
Total CPU Power :,21.718080531515188,12.111711766052853
Total CPU Power :,15.731196230602606,12.071071171725228
Total CPU Power :,14.75435198536399,11.775146872066433
Total CPU Power :,14.608473451762276,11.654945553877964
Total CPU Power :,15.438816554769573,11.793931963460444
Total CPU Power :,22.97584723511189,11.982415945937861
Total CPU Power :,24.411167655137152,11.821875048823976
Total CPU Power :,25.42586294926325,11.444074869426688
Total CPU Power :,25.295265169186845,11.609587057272469
Total CPU Power :,17.875767181567323,11.982299142092291
Total CPU Power :,15.212726875060218,11.428860367162526
Total CPU Power :,14.574515754202093,11.46197490846551
Total CPU Power :,14.431403063804195,11.968234749758903
Total CPU Power :,20.359471909401822,11.602052664862377
Total CPU Power :,25.226679111007908,11.453211392537908
Total CPU Power :,24.542003483509927,11.99105203163916
Total CPU Power :,25.11768800859341,11.777042040316138
Total CPU Power :,20.789024740505155,11.830447934581619
Total CPU Power :,15.152542971542118,11.60740979082993
Total CPU Power :,14.857042277076571,11.595209125832136
Total CPU Power :,14.583925837172695,11.936167548571957
Total CPU Power :,17.962908063826134,11.921497371052816
Total CPU Power :,24.736074881247426,11.438262559075138
Total CPU Power :,24.361808007501743,11.7047062034816
Total CPU Power :,25.01500517285615,11.581229622280853
Total CPU Power :,23.12815498440806,11.767060840851663
Total CPU Power :,15.439826225450307,11.570352956725154
Total CPU Power :,15.082419813978154,11.784743939105542
Total CPU Power :,14.410226285536101,11.59426568082214
Total CPU Power :,15.153678531481056,11.781712362358704
Total CPU Power :,23.481856802572985,11.805420659967021
Total CPU Power :,24.203535019142418,11.919953428511413
Total CPU Power :,25.01410613842798,11.869516097720984
Total CPU Power :,25.655616756019008,11.821207721149232
Total CPU Power :,16.536501875024896,11.589585976088893
Total CPU Power :,14.73913105873116,11.934720392216704
Total CPU Power :,14.508624617210181,11.434773572657416
Total CPU Power :,14.588079434899843,11.808398465527935
Total CPU Power :,19.997180322962624,11.61496613502776
Total CPU Power :,25.142119192783735,11.466458017497285
Total CPU Power :,24.419264130762457,11.929274033270925
Total CPU Power :,25.13220886356667,11.94174414146697
Total CPU Power :,20.95188617855734,11.93305576344307
Total CPU Power :,15.323923831816254,11.93686154255688
Total CPU Power :,14.812639816833821,11.926113485976199
Total CPU Power :,14.529261023092486,11.949340806102802
Total CPU Power :,16.79094826155249,11.574947128397865
Total CPU Power :,23.907564741320115,11.958614433377669
Total CPU Power :,24.252074105821368,11.822718431783386
Total CPU Power :,25.030364882159414,11.465150316340377
Total CPU Power :,24.676278309645266,11.766842773059091
Total CPU Power :,16.67937267166285,11.611302334529489
Total CPU Power :,15.151945249337453,11.748970608025855
Total CPU Power :,14.460427581079234,11.805327666396748
Total CPU Power :,14.932473928177878,11.775959284042425
Total CPU Power :,21.79268755074086,11.9542049937964
Total CPU Power :,24.80690256627646,11.931221785768097
Total CPU Power :,25.009837204200267,11.781406357564833
Total CPU Power :,24.788228155695432,11.57127720024573
Total CPU Power :,19.50055308584217,12.480450542848963
Total CPU Power :,14.739744181200884,11.480765231024856
Total CPU Power :,14.67765841105803,11.798421057087333
Total CPU Power :,14.500885903734451,11.800661816932708
Total CPU Power :,17.637938935157173,11.672324074245278
