Total CPU Power,codeCarbon_time_log_20250320_200829.txt,Sem rodar nada
Total CPU Power :,21.188456045812433,12.59880031732401
Total CPU Power :,24.272281411780437,11.847619799587207
Total CPU Power :,24.12486481064651,12.017281408944658
Total CPU Power :,24.094569259273623,11.851852828425328
Total CPU Power :,24.102319652935975,12.014219788583624
Total CPU Power :,21.4044448235718,12.070663727095024
Total CPU Power :,24.999182027549676,12.040092455583636
Total CPU Power :,24.291670045882995,11.881590432928888
Total CPU Power :,25.004005751701314,12.064546623563148
Total CPU Power :,21.652030531323057,11.682332922762031
Total CPU Power :,23.361634514255314,11.859730453095137
Total CPU Power :,24.617291665784663,12.031961740319625
Total CPU Power :,25.073409490245687,12.072864533106387
Total CPU Power :,24.64641784983758,11.84578120007299
Total CPU Power :,19.192243296750792,12.063187695254674
Total CPU Power :,22.32177167206676,12.014730608472542
Total CPU Power :,24.745022761217704,11.190978925702233
Total CPU Power :,24.45898601195628,12.017163180029952
Total CPU Power :,24.869039799116035,11.83741190229005
Total CPU Power :,22.76304828701803,11.826648579479386
Total CPU Power :,23.554685832874064,11.716081982060212
Total CPU Power :,23.998110321349582,12.007316975231708
Total CPU Power :,24.920265030623717,11.999133912638381
Total CPU Power :,25.30205528032617,12.001928970197651
Total CPU Power :,21.565599906321047,11.74139029033492
Total CPU Power :,24.10816958303966,11.89817105421772
Total CPU Power :,23.57961934184065,11.709809447559953
Total CPU Power :,24.918851749945237,11.729458215885668
Total CPU Power :,25.260514036163734,11.944987120479496
Total CPU Power :,22.3799072699488,11.923017721078887
Total CPU Power :,24.911651096786827,11.532955738959643
Total CPU Power :,24.317793780306644,11.872911001566177
Total CPU Power :,24.982231740708862,11.906225545993358
Total CPU Power :,21.859342014713608,11.71396020916129
Total CPU Power :,17.160629696638907,11.530321622122754
Total CPU Power :,23.54869600591517,11.911431416729249
Total CPU Power :,24.03122250790868,11.875743636072473
Total CPU Power :,25.002741573715426,11.885373377325838
Total CPU Power :,25.06518494577558,11.917261086879389
Total CPU Power :,22.052133995540203,11.629850256448776
Total CPU Power :,23.79118501299081,11.900418539081892
Total CPU Power :,23.66957695643113,11.704714287306592
Total CPU Power :,24.88905345007936,11.693855575877105
Total CPU Power :,24.58592898088418,11.69552530195759
Total CPU Power :,21.030091457887927,11.976002382167257
Total CPU Power :,24.150012088580212,11.771329071214394
Total CPU Power :,23.529065167679683,11.70076226195921
Total CPU Power :,25.018673972710474,11.765111484183821
Total CPU Power :,23.633626780543068,11.879889425610557
Total CPU Power :,22.561806075874483,11.876006523844934
