Total CPU Power,codeCarbon_time_log_20250320_192504.txt,Sem rodar nada
Total CPU Power :,21.277270708958106,12.737561027895502
Total CPU Power :,24.357883820257655,12.030978174250132
Total CPU Power :,24.17432793655998,12.043445486771054
Total CPU Power :,24.403422953315847,11.979663711941265
Total CPU Power :,23.912317643601234,12.052737180908771
Total CPU Power :,23.435289760239357,12.011335206828559
Total CPU Power :,24.706528029517596,12.063558257958976
Total CPU Power :,25.180556928216525,12.030587821529567
Total CPU Power :,25.106864874674088,11.910022244938995
Total CPU Power :,21.914074509340576,12.029452163889435
Total CPU Power :,24.017011943391143,12.025116220781818
Total CPU Power :,24.022784366008047,12.064525303669534
Total CPU Power :,25.174835975474963,12.036664148280519
Total CPU Power :,24.780424416472123,12.016798620235216
Total CPU Power :,24.4181441828163,12.112387431841976
Total CPU Power :,24.93363275150294,12.03513024270168
Total CPU Power :,24.74237782220503,12.017986483967746
Total CPU Power :,25.179609249890692,12.037479810745447
Total CPU Power :,25.130763454587246,12.032561641063175
Total CPU Power :,24.63084284021653,12.001145168044285
Total CPU Power :,27.374991182484028,11.89920183508927
Total CPU Power :,25.414390642111307,12.051831673839027
Total CPU Power :,24.78971510001463,12.009321211928434
Total CPU Power :,24.118552389080797,11.720611331573528
Total CPU Power :,24.9671157813162,11.740441427146814
Total CPU Power :,24.680324378427162,11.9368859555005
Total CPU Power :,24.848387299140132,11.915946166839632
Total CPU Power :,24.973704611649868,11.980874574063856
Total CPU Power :,24.163083962149933,11.729663257211199
Total CPU Power :,23.659072541877062,11.900921557499425
Total CPU Power :,25.185654953696087,11.711191770179461
Total CPU Power :,24.700995005235647,11.883247652545576
Total CPU Power :,24.28294784478939,11.60648874830981
Total CPU Power :,24.697612140237702,11.891073124529004
Total CPU Power :,24.499890022744985,11.898156581922876
Total CPU Power :,24.888567508865183,11.906628756857959
Total CPU Power :,24.794968661461386,12.211181631461335
Total CPU Power :,24.185936340548785,11.94169211332617
Total CPU Power :,23.845037644341986,11.799223960367302
Total CPU Power :,24.806377043583424,11.639599309515022
Total CPU Power :,24.67013466746588,11.92717176479586
Total CPU Power :,24.0782436988117,11.774698828106487
Total CPU Power :,24.67359037124853,11.955418273228355
Total CPU Power :,24.87681354464953,11.893413160516008
Total CPU Power :,24.89605396840677,11.721706735741463
Total CPU Power :,24.9152929614357,11.923248266140035
