Total CPU Power,codeCarbon_time_log_20250320_201812.txt,Sem rodar nada
Total CPU Power :,21.76093000100324,12.947128441369452
Total CPU Power :,24.74240320223409,12.145395663105937
Total CPU Power :,24.452459499473573,12.106938293557837
Total CPU Power :,24.459653564012843,12.112096171597491
Total CPU Power :,24.96865659367943,12.169468583113186
Total CPU Power :,21.463795108660847,12.160505015815954
Total CPU Power :,25.36245553464463,11.939992430876991
Total CPU Power :,25.12098044496102,11.95665873308141
Total CPU Power :,25.67547838591022,11.970289123665674
Total CPU Power :,21.792663137158783,12.141510765901767
Total CPU Power :,24.331859615444674,12.141756184776108
Total CPU Power :,24.381170936040096,12.062046477105579
Total CPU Power :,25.488067465987434,12.12502596702359
Total CPU Power :,25.014946949181184,11.964715668830813
Total CPU Power :,21.754612650719668,11.971818859203916
Total CPU Power :,25.361887548123008,11.942300662599694
Total CPU Power :,24.75514677204065,12.125533378009205
Total CPU Power :,25.420228732577566,11.970527927908385
Total CPU Power :,22.22074746620664,11.942837291495488
Total CPU Power :,24.36190678745316,11.929850265953075
Total CPU Power :,24.464712180672418,11.998165623249031
Total CPU Power :,25.41428203784228,12.167167124973211
Total CPU Power :,25.635739079378116,11.92003173330617
Total CPU Power :,21.92361319499385,12.039733991499844
Total CPU Power :,25.34979136930008,12.020634123173783
Total CPU Power :,24.906773359499514,11.80493751795362
Total CPU Power :,25.67373439714366,11.988761755110188
Total CPU Power :,23.052869234021774,11.83240448047245
Total CPU Power :,23.505700035709804,11.870523937964089
Total CPU Power :,24.51433044085282,12.02449184553782
Total CPU Power :,25.54039067795847,11.800428417868506
Total CPU Power :,25.326148256196458,11.800832225271868
Total CPU Power :,22.454205877290676,11.977237310876122
Total CPU Power :,25.493116811907786,11.797800709277219
Total CPU Power :,24.491598936820296,11.803705242150368
Total CPU Power :,25.36488873831114,11.697133811300864
Total CPU Power :,24.03685024434444,11.621814524360698
Total CPU Power :,22.25215522697006,11.79063395422675
Total CPU Power :,24.872712737752714,11.977120971110473
Total CPU Power :,25.468228773428887,11.967472457091509
Total CPU Power :,25.013131754932765,11.986108371397222
Total CPU Power :,22.312167427599988,11.808498808206656
Total CPU Power :,24.51295084615137,11.788851906767563
Total CPU Power :,24.074620073750843,11.97711142586975
Total CPU Power :,25.339111554254618,11.95540368989916
Total CPU Power :,25.265721990368522,11.625680057441253
Total CPU Power :,20.72908480330123,11.962970914527526
