Total CPU Power,codeCarbon_time_log_20250320_204515.txt,Sem rodar nada
Total CPU Power :,21.215848800137575,13.008228548545693
Total CPU Power :,24.158778737342857,11.938010197519537
Total CPU Power :,23.93052179687398,12.128541517827049
Total CPU Power :,23.732465650535406,12.12529551755736
Total CPU Power :,25.10626565068845,12.087208560927017
Total CPU Power :,22.18406957493832,12.216423235522152
Total CPU Power :,25.18718320383293,12.061641691157151
Total CPU Power :,24.376528773090712,12.075679081605207
Total CPU Power :,25.133934855515292,12.1302174947043
Total CPU Power :,23.279002124135726,12.114988335372926
Total CPU Power :,23.976427251903708,11.918496104890673
Total CPU Power :,24.38946985545249,11.931906339230602
Total CPU Power :,25.31843880764756,11.933200930643537
Total CPU Power :,25.041802969945117,11.894360271551967
Total CPU Power :,24.443056345229383,12.100519138497203
Total CPU Power :,24.385136894087456,11.970660360478531
Total CPU Power :,23.85452843365936,11.885733515349203
Total CPU Power :,25.080576690196107,12.087023718161635
Total CPU Power :,25.008831495526227,12.099612783068196
Total CPU Power :,24.28469642241511,12.064646618274942
Total CPU Power :,25.140467731650315,11.619049682719652
Total CPU Power :,24.739617709723326,11.885967814898684
Total CPU Power :,25.06147439522214,11.955713755220234
Total CPU Power :,23.915603099158663,11.788249148671305
Total CPU Power :,23.915530274466317,11.981667224312678
Total CPU Power :,24.37403472344799,11.944508277191886
Total CPU Power :,25.254641945120856,11.946554490195371
Total CPU Power :,24.95334031226445,11.843561519046803
Total CPU Power :,24.792960630650974,11.790095937319865
Total CPU Power :,24.231382959363998,11.981370133333456
Total CPU Power :,23.633505513116653,11.95318270178708
Total CPU Power :,25.09280001617472,11.930842253577655
Total CPU Power :,24.997231017248122,11.520991066938125
Total CPU Power :,24.364889027418783,11.660347053905289
Total CPU Power :,25.1089204772388,11.628888233095633
Total CPU Power :,24.422246990011296,11.607090727146922
Total CPU Power :,25.028281725966185,11.755995381456254
Total CPU Power :,24.472248161322746,11.981603417858373
Total CPU Power :,23.949347008419693,11.781241449850668
Total CPU Power :,24.103518979783196,12.02275376696729
Total CPU Power :,25.219666151692543,11.961857698645112
Total CPU Power :,25.01419242226397,11.951267871692323
Total CPU Power :,24.736260150719964,11.979010953646508
Total CPU Power :,24.69010253120998,11.949962488103365
Total CPU Power :,23.746466469546625,11.944869314511648
Total CPU Power :,24.925372901024055,11.948901855797146
Total CPU Power :,24.9877470965978,11.75321829423226
Total CPU Power :,24.845464616335097,11.672295181987408
