Total CPU Power,codeCarbon_time_log_20250319_203954.txt,Sem rodar nada
Total CPU Power :,20.75913439202525,11.965503077659957
Total CPU Power :,23.089995774178142,11.497154747546128
Total CPU Power :,21.43192991724182,11.857754429894547
Total CPU Power :,24.54523969358004,11.519829005887077
Total CPU Power :,24.827704008004854,11.656908919718706
Total CPU Power :,19.331546158022007,11.841985980636744
Total CPU Power :,24.81256444526662,11.68825686740358
Total CPU Power :,23.431144550200152,11.882423765440212
Total CPU Power :,25.027522756736953,11.660627021353598
Total CPU Power :,20.744241659237574,11.525760889851194
Total CPU Power :,21.21546668287081,11.834680318680082
Total CPU Power :,24.088718100924332,11.659956156742671
Total CPU Power :,24.267004323956172,12.316752160487116
Total CPU Power :,24.98583486992007,11.68732503996368
Total CPU Power :,18.725467824101166,11.703550643037902
Total CPU Power :,23.576514204896615,11.844920784156491
Total CPU Power :,22.90960222389203,11.504800675615368
Total CPU Power :,24.983370169369163,11.5264781785495
Total CPU Power :,24.978560082193916,11.667390393878787
Total CPU Power :,18.753146013064722,11.511876608381638
Total CPU Power :,24.382798490619503,11.663127469545936
Total CPU Power :,22.40862897859074,11.669217622294934
Total CPU Power :,24.795242216030314,11.655553201392259
Total CPU Power :,24.026083254279683,11.779096680337798
Total CPU Power :,20.613968408740988,11.786825382763693
Total CPU Power :,24.263780337923517,11.262918383986191
Total CPU Power :,23.81359677549422,11.432714178622554
Total CPU Power :,24.87108502351838,11.077008038713698
Total CPU Power :,20.253576628370524,11.985284758955109
Total CPU Power :,23.669914606309586,11.735957724680354
Total CPU Power :,22.6948825542908,11.082813660621264
Total CPU Power :,24.810497132637618,11.425094974352977
Total CPU Power :,25.02444222741033,11.798767109021384
Total CPU Power :,16.605958090025258,11.588679984398654
Total CPU Power :,24.254547963924615,11.769961822684856
Total CPU Power :,22.601772755065795,11.587406586039444
Total CPU Power :,24.761522667030874,11.779574638323355
Total CPU Power :,24.61558749528496,11.62837707305924
Total CPU Power :,19.75116924332154,11.76929156771081
Total CPU Power :,24.397473393913856,11.605132586457264
Total CPU Power :,23.809971351543386,11.618852750424155
Total CPU Power :,24.72639080966658,11.762794415628532
Total CPU Power :,19.676827727875523,11.75330674902205
Total CPU Power :,22.78100601332139,11.432261746207173
Total CPU Power :,23.605256429582134,11.608745402894854
Total CPU Power :,24.918270313701733,11.419181229216939
Total CPU Power :,24.46689271600042,11.076034322840956
Total CPU Power :,19.931238409865113,11.130567500228198
