Total CPU Power,codeCarbon_time_log_20250321_120951.txt,Sem rodar nada
Total CPU Power :,23.755183155145705,12.522091934246234
Total CPU Power :,23.509418255086118,11.45748608510812
Total CPU Power :,24.71644882520644,11.685435627404392
Total CPU Power :,24.794278170186946,12.005824045132188
Total CPU Power :,26.286472294767723,11.84988798347982
Total CPU Power :,25.218604740927983,11.87006581637537
Total CPU Power :,25.0705955480463,11.816498971078834
Total CPU Power :,23.995467646101176,11.483485600180488
Total CPU Power :,24.197044113262724,12.04579035136605
Total CPU Power :,23.648812324925853,11.887902844888067
Total CPU Power :,23.794021338300745,12.03904259368364
Total CPU Power :,22.88819051295908,11.86455606961268
Total CPU Power :,23.54251689059069,11.780495108406509
Total CPU Power :,23.04663451765473,11.964488449574741
Total CPU Power :,23.482699801249346,11.64828843146542
Total CPU Power :,22.780279543261646,11.71704977603486
Total CPU Power :,23.224664789214945,11.595933455058185
Total CPU Power :,22.885047254789058,11.54335560943949
Total CPU Power :,23.301707722043258,11.908998255275238
Total CPU Power :,22.960292504202435,11.394133991844571
Total CPU Power :,23.94863615418223,11.940298050933091
Total CPU Power :,22.843252874238203,11.691405156111037
Total CPU Power :,23.338408668078745,11.722918532691809
Total CPU Power :,22.57151919249396,11.536895639905365
Total CPU Power :,23.408220095434917,11.85117195195615
Total CPU Power :,22.61033311084841,11.905600575959184
Total CPU Power :,23.076357826833032,11.931499440835756
Total CPU Power :,22.44144131207399,11.72252165351259
Total CPU Power :,22.902765673757084,11.720925293780999
Total CPU Power :,22.427146562245795,11.886931466073722
Total CPU Power :,22.596532873006304,11.933866972135014
Total CPU Power :,23.24749262189183,11.745621351570811
Total CPU Power :,22.499012383253277,11.710608760431858
Total CPU Power :,25.761652833495237,11.699233752306103
Total CPU Power :,22.35466334834451,11.738785388555552
Total CPU Power :,22.50347941281132,11.705108947235555
Total CPU Power :,23.305348893452972,11.52382672121916
Total CPU Power :,22.910764492933176,11.87623301377908
Total CPU Power :,22.856724809023692,11.726583865315913
Total CPU Power :,22.28187991084297,11.731441918566379
Total CPU Power :,23.313524584468286,12.414879027725377
Total CPU Power :,22.873931001336995,11.659385755500937
Total CPU Power :,22.276879480440165,11.924586536185789
Total CPU Power :,22.822537061259016,11.749533234423703
Total CPU Power :,22.76351720746073,11.888084130931558
