Total CPU Power,codeCarbon_time_log_20250319_222231.txt,Sem rodar nada
Total CPU Power :,21.392789485561412,12.833123815081803
Total CPU Power :,24.00428468181371,12.126685375712967
Total CPU Power :,22.75685115678692,12.108322887450232
Total CPU Power :,24.17927092507593,12.129290627478884
Total CPU Power :,25.255150143739787,12.088797821799947
Total CPU Power :,19.241988077351905,11.918605628404126
Total CPU Power :,24.983869907916105,12.099501118076159
Total CPU Power :,23.56521344498377,12.149681936258633
Total CPU Power :,25.073725635626104,12.125993557816761
Total CPU Power :,23.28896269458276,12.076810997043404
Total CPU Power :,22.10358920210191,11.949542844463465
Total CPU Power :,24.378550732715826,12.088052455688798
Total CPU Power :,24.561832285028967,12.089672380044213
Total CPU Power :,25.029252393057327,11.986338530240076
Total CPU Power :,21.525433885165167,12.126292899603618
Total CPU Power :,24.034256074480865,12.082675380685515
Total CPU Power :,23.078849942716104,12.102125195360276
Total CPU Power :,25.02258926731986,12.0910177038482
Total CPU Power :,25.06873453691121,11.937456833220562
Total CPU Power :,20.74510421514932,11.980308842116154
Total CPU Power :,24.840514981035714,11.891440792700902
Total CPU Power :,23.976877821746847,12.078520105694835
Total CPU Power :,24.99320326765724,11.873270835042412
Total CPU Power :,21.859063001735237,12.088769016128477
Total CPU Power :,23.018162812053795,11.966356753625202
Total CPU Power :,23.887863350450974,11.781590586834298
Total CPU Power :,24.633053735780468,11.954631900110288
Total CPU Power :,24.82781571478176,11.645277153827312
Total CPU Power :,21.472752518500783,11.80843389172873
Total CPU Power :,24.246077742855967,11.69859726398595
Total CPU Power :,23.057805516738448,11.94921718469594
Total CPU Power :,25.02831194366859,11.435815490399579
Total CPU Power :,24.918981440074553,11.955891447373663
Total CPU Power :,21.21001873502281,11.779913336318021
Total CPU Power :,24.678703441590304,11.78898095439061
Total CPU Power :,23.883290900193487,11.948438831632227
Total CPU Power :,24.852086255597357,11.97075992884124
Total CPU Power :,22.126329217897773,11.936221645003428
Total CPU Power :,22.33069022423009,11.968865177517124
Total CPU Power :,24.329798424039065,12.064369148758583
Total CPU Power :,24.327416424712574,11.800643981873153
Total CPU Power :,24.974186634379215,11.937502443799001
Total CPU Power :,21.90050605994044,11.973094003665887
Total CPU Power :,23.838400730141217,11.639958875744563
Total CPU Power :,22.900084694505296,12.066705565052082
Total CPU Power :,24.7834055611028,11.435397971445683
Total CPU Power :,25.198157267963236,11.6483341322336
Total CPU Power :,18.727650022805243,11.341304108253846
