Total CPU Power,codeCarbon_time_log_20250320_211853.txt,Sem rodar nada
Total CPU Power :,20.999383156564736,12.695852011063023
Total CPU Power :,23.679862184342575,11.979796784329992
Total CPU Power :,23.48618488185979,12.025556379967568
Total CPU Power :,23.71714815216615,11.832803820503052
Total CPU Power :,23.465361835093933,11.960823136477922
Total CPU Power :,18.592873847400693,11.832674195818749
Total CPU Power :,14.473933315061842,11.979799524213798
Total CPU Power :,14.623302674537356,11.977659434032628
Total CPU Power :,15.764101495134092,12.064682295462763
Total CPU Power :,16.35256605806678,11.988130901230717
Total CPU Power :,23.498342210380724,11.79513094624751
Total CPU Power :,23.55044640821386,11.991386878813108
Total CPU Power :,24.701825839564226,11.818650844316785
Total CPU Power :,25.117346855814894,11.835624002492729
Total CPU Power :,18.52049021898048,12.026304415549241
Total CPU Power :,14.815882850085103,11.797051868097432
Total CPU Power :,14.391662343401519,11.999427164374124
Total CPU Power :,14.21060348120849,11.874325606960623
Total CPU Power :,16.08498464324638,11.653936604429306
Total CPU Power :,22.233658002549586,12.003908032802737
Total CPU Power :,23.884839925069617,12.01003936192206
Total CPU Power :,24.68728781262685,11.996384742579728
Total CPU Power :,24.33818833389365,11.968861347072329
Total CPU Power :,20.300020518444967,11.848542298903062
Total CPU Power :,14.511937629118902,11.854850917265932
Total CPU Power :,14.368336676976394,11.666931125285648
Total CPU Power :,14.107153663112,11.865502364699704
Total CPU Power :,15.914089128606042,11.710320450562316
Total CPU Power :,21.26281863105404,11.920493719659149
Total CPU Power :,24.536163064279904,11.552751036222679
Total CPU Power :,24.340299689149024,11.701925254325896
Total CPU Power :,24.870769575673975,11.905019053922604
Total CPU Power :,20.856689895385212,11.899856480483491
Total CPU Power :,15.851756224602223,11.920237783820506
Total CPU Power :,14.563283275201652,11.863002959449364
Total CPU Power :,14.165694980884792,11.813049446947637
Total CPU Power :,15.739812197255395,11.862551520205951
Total CPU Power :,20.43942011861003,11.853220463656257
Total CPU Power :,24.57364960762151,11.896137427916695
Total CPU Power :,23.82019663593998,11.676762018789223
Total CPU Power :,24.501462771055852,11.515277854620077
Total CPU Power :,20.744712786411842,11.695578492865165
Total CPU Power :,17.293519501712254,11.865856155650555
Total CPU Power :,14.494755658819484,11.920187905813782
Total CPU Power :,14.27266854864513,11.857661238753264
Total CPU Power :,15.406804763869163,11.351160649044068
Total CPU Power :,19.34203360296161,11.179862160736953
Total CPU Power :,24.51983332569684,11.848053427566667
Total CPU Power :,24.03402905204847,11.850424834830365
Total CPU Power :,24.5791814797657,11.861223883186378
Total CPU Power :,20.884461166879223,11.860657334447634
Total CPU Power :,18.423088950119705,11.871884911761297
Total CPU Power :,14.496455022537875,11.863110862395846
Total CPU Power :,14.259285427281815,11.51409900371501
Total CPU Power :,14.956027132342387,11.694541108796866
Total CPU Power :,18.34544788279854,11.341373449562024
Total CPU Power :,24.252908137471746,11.52951674038474
Total CPU Power :,23.70257957215238,11.870144840309253
Total CPU Power :,24.439562357344204,11.699667178207067
Total CPU Power :,22.112884812215523,11.875527909649964
Total CPU Power :,18.58193386618844,11.857088596921217
Total CPU Power :,14.560677673383397,11.84335033980897
Total CPU Power :,14.368553908179802,11.731794191843152
Total CPU Power :,14.869005928552824,11.910380301308281
Total CPU Power :,17.726229109916225,11.875153390628467
Total CPU Power :,23.54223923160938,11.838132076674267
Total CPU Power :,23.246978570261447,11.860266088779445
Total CPU Power :,24.631359547239196,11.671349181336183
Total CPU Power :,23.949770831648,11.732796224198017
Total CPU Power :,18.956673534518377,11.86549352242234
Total CPU Power :,14.56774365558995,11.535173489110532
Total CPU Power :,14.412040306929603,11.858986828466964
Total CPU Power :,14.71144962895136,11.859136181905374
Total CPU Power :,16.545466447392744,12.41159281590143
Total CPU Power :,23.438067182231084,11.919868075302606
Total CPU Power :,23.47258530263203,11.846542340488908
Total CPU Power :,24.636686004336774,11.917316306687598
Total CPU Power :,24.97772195046682,11.88463009977647
Total CPU Power :,19.054547936239604,11.859984271301338
Total CPU Power :,15.025778716353653,11.835120876113253
Total CPU Power :,14.40452072897927,11.885302354254183
Total CPU Power :,14.392919359663175,11.792299626645908
Total CPU Power :,15.775821202455871,11.86718039140471
Total CPU Power :,22.432878133328376,11.70026457078431
Total CPU Power :,23.951546767906134,11.674488073592187
Total CPU Power :,24.643284884136424,11.855638909483863
Total CPU Power :,24.36723774125862,11.85006090742791
Total CPU Power :,20.99724360257914,11.699387481297403
Total CPU Power :,14.769065295864097,11.889828127279449
Total CPU Power :,14.480514473329091,11.679304566734391
Total CPU Power :,14.16674981316807,11.697629990210196
Total CPU Power :,15.900904034167503,11.84766363767031
Total CPU Power :,19.75277832829569,12.223143578011353
