Total CPU Power,codeCarbon_time_log_20250320_213139.txt,Sem rodar nada
Total CPU Power :,21.31123455580691,12.610970403407723
Total CPU Power :,24.140089767701642,12.017031587972276
Total CPU Power :,23.748127176564815,11.864715595788038
Total CPU Power :,23.971390877527586,11.688105267028119
Total CPU Power :,23.77719821714624,12.050079148934966
Total CPU Power :,18.82271525670567,11.683372952681102
Total CPU Power :,23.70724753742703,11.854450346540723
Total CPU Power :,24.521290138432807,11.84684010199073
Total CPU Power :,25.332937979918185,11.868489715713267
Total CPU Power :,24.756886406650054,11.857942720950492
Total CPU Power :,21.219441328055005,11.869279755046593
Total CPU Power :,22.82221406586239,12.032061075808057
Total CPU Power :,25.096838913860584,12.035234871079806
Total CPU Power :,24.64676970328101,11.716920168857518
Total CPU Power :,25.015893815376717,12.059694348581372
Total CPU Power :,20.8384553403506,12.060079934693581
Total CPU Power :,23.134413436494697,11.833525878769013
Total CPU Power :,24.058474067397768,12.081204871784328
Total CPU Power :,23.711023434516907,11.873873575341337
Total CPU Power :,25.055511145139807,11.832920006047905
Total CPU Power :,24.4006531739334,11.841028715175096
Total CPU Power :,20.44775360445205,11.674150713027002
Total CPU Power :,24.305342142400534,11.864856196094179
Total CPU Power :,24.258356128775848,11.555958940974618
Total CPU Power :,25.20082615421467,11.748492710649304
Total CPU Power :,24.871184007649735,11.928650460417868
Total CPU Power :,15.681504524440118,12.274441001943044
Total CPU Power :,13.840195791356766,11.924326028360111
Total CPU Power :,14.93171733496062,11.758844190283387
Total CPU Power :,21.799614159651775,11.776895560943467
Total CPU Power :,23.85570314566011,11.953571087967903
Total CPU Power :,23.821761848725473,11.953691662678597
Total CPU Power :,24.975271037011495,11.943630502342259
Total CPU Power :,24.995774540326067,11.746531668605597
Total CPU Power :,19.763681046359565,11.907123152953837
Total CPU Power :,24.175612111517605,11.904611959509099
Total CPU Power :,24.748659628251026,11.743765321241742
Total CPU Power :,24.528087438540144,11.732724549391907
Total CPU Power :,25.204001361428972,11.749557629517092
Total CPU Power :,21.269408867194382,11.887942656728104
Total CPU Power :,22.800371932093224,11.817313692084712
Total CPU Power :,24.879982930807184,12.027579743128268
Total CPU Power :,24.378958363318038,11.72071086911112
Total CPU Power :,25.11999098654683,11.911563716495642
Total CPU Power :,21.399937442918226,12.104515632668466
Total CPU Power :,22.92625491635456,12.293225777362125
Total CPU Power :,23.94143257890665,11.57568516223884
Total CPU Power :,23.73186880126554,11.765642306054328
Total CPU Power :,24.986303787605575,11.92392742338043
Total CPU Power :,24.20246777523036,11.891174712571413
Total CPU Power :,19.117377847806086,11.780941529859513
Total CPU Power :,23.080570723617,12.010814510145567
Total CPU Power :,25.146391058238194,12.086794347151553
Total CPU Power :,24.46466025319811,11.939166178943475
Total CPU Power :,25.03631589475346,11.559902754748899
Total CPU Power :,21.311176219230724,11.55863589578039
Total CPU Power :,22.631343334228305,11.9893242611489
