Total CPU Power,codeCarbon_time_log_20250320_220552.txt,Sem rodar nada
Total CPU Power :,21.41242131294553,12.863112482465322
Total CPU Power :,24.296141088025976,12.100411395213579
Total CPU Power :,23.98381311498809,12.119361159008585
Total CPU Power :,24.12892291063069,12.151155230344859
Total CPU Power :,24.20966941551587,12.113263469020245
Total CPU Power :,18.77998491382722,12.129934684622027
Total CPU Power :,23.20438395996761,12.158547134257443
Total CPU Power :,24.355727869431156,12.094820447721606
Total CPU Power :,25.40167442627979,11.970145868167462
Total CPU Power :,24.966721381333095,12.128707514782104
Total CPU Power :,20.89856152178836,12.492091124305642
Total CPU Power :,20.377456336184977,12.299853101081505
Total CPU Power :,25.062670792039217,12.152265244495815
Total CPU Power :,24.36093155730328,12.006311401642217
Total CPU Power :,25.01129778948878,12.116598005809685
Total CPU Power :,21.650539409548543,11.816375258445593
Total CPU Power :,21.104462164589542,12.002175871995615
Total CPU Power :,24.240204804277397,12.355316030431322
Total CPU Power :,23.6380018785289,12.314355661261835
Total CPU Power :,25.275533032880272,12.080913094224087
Total CPU Power :,24.747253233834424,12.075585387263413
Total CPU Power :,19.810392551629047,12.15544331395014
Total CPU Power :,23.292304405402234,11.76301026263335
Total CPU Power :,24.06622335899879,11.883523411877057
Total CPU Power :,25.24129852041549,12.011540459445596
Total CPU Power :,24.99792789008576,11.989174525899964
Total CPU Power :,21.102325308948696,12.0217985946495
Total CPU Power :,20.906931348700212,12.179061005813226
Total CPU Power :,25.153517041494993,12.052000481106681
Total CPU Power :,24.562663879870165,12.029373980125092
Total CPU Power :,25.042816217999363,12.027790119750785
Total CPU Power :,21.76624656508388,11.988326580257995
Total CPU Power :,21.27566974595618,11.995177953258832
Total CPU Power :,24.748170156210076,12.296635166593397
Total CPU Power :,23.774696661939604,12.201223492566156
Total CPU Power :,25.022487456513044,11.992952146892046
Total CPU Power :,23.54618785230025,11.982283406561434
Total CPU Power :,19.467426061335892,11.98016568957865
Total CPU Power :,23.507113131433414,11.83777332342562
Total CPU Power :,24.314559161981194,11.831486304070888
Total CPU Power :,25.17299069298327,11.835908878756872
Total CPU Power :,25.30727521679131,11.784593928511573
Total CPU Power :,20.207045675950294,11.993904230065345
Total CPU Power :,21.45926655641902,11.980992472089785
Total CPU Power :,24.94775968445674,11.803575995628186
Total CPU Power :,24.531596367836336,11.862630127988854
Total CPU Power :,25.110878477682075,11.95784348167402
Total CPU Power :,21.83157675365886,12.003914436218388
Total CPU Power :,20.641379004119507,11.964933183452205
Total CPU Power :,25.003156151348286,12.00925812433
Total CPU Power :,23.974683865005463,11.985411551716515
Total CPU Power :,25.054616819590603,11.791130471468644
Total CPU Power :,22.65084396896202,11.967134624752704
Total CPU Power :,20.188467022768805,11.642473259650918
Total CPU Power :,14.406328262816446,11.970651576689168
Total CPU Power :,13.86982203150237,12.033894891757159
