Total CPU Power,codeCarbon_time_log_20250319_223259.txt,Sem rodar nada
Total CPU Power :,21.522468167320255,12.786303354010288
Total CPU Power :,24.116040765680275,12.075702858801744
Total CPU Power :,22.66209848413155,12.08173949401202
Total CPU Power :,24.362879938743053,11.981936501060478
Total CPU Power :,25.329831868392233,12.071641116096151
Total CPU Power :,19.008433565478825,12.10927497452413
Total CPU Power :,23.465125078672862,12.13762068578798
Total CPU Power :,23.82340532771167,12.083339355330088
Total CPU Power :,25.487955997261636,12.102250057563827
Total CPU Power :,24.903829930639073,12.04911762265269
Total CPU Power :,20.73396871357227,12.030761665030157
Total CPU Power :,22.086944626839454,12.09469364902683
Total CPU Power :,24.392576780908232,12.069523486871423
Total CPU Power :,24.487854818711448,12.025806199795225
Total CPU Power :,25.06340493535931,12.076435077170936
Total CPU Power :,20.57148902837682,12.080960641195363
Total CPU Power :,21.521979196060066,12.061023802578992
Total CPU Power :,24.989517623487934,11.913226714978128
Total CPU Power :,24.097382883825375,12.079875772473757
Total CPU Power :,25.117508635625338,11.893809292337842
Total CPU Power :,21.525367701029776,12.029852216018043
Total CPU Power :,22.451600779058463,12.13089793787325
Total CPU Power :,24.823369996145914,12.117040947314962
Total CPU Power :,23.370297261720374,11.777272341532491
Total CPU Power :,25.09790331818965,11.929350596112249
Total CPU Power :,23.17287877119055,11.928963086590183
Total CPU Power :,21.405904214765858,11.925696800599443
Total CPU Power :,24.482993507040174,11.847668257931684
Total CPU Power :,23.44257289694653,11.92770525945636
Total CPU Power :,25.145804177276297,11.897739050989825
Total CPU Power :,25.129262314372045,11.95974538359616
Total CPU Power :,20.03422211418588,11.908636360559862
Total CPU Power :,24.161707921972532,11.954481975935094
Total CPU Power :,23.336034332624696,11.962325729938199
Total CPU Power :,25.234037483965313,11.735661681477584
Total CPU Power :,25.52783511862077,11.914832269439868
Total CPU Power :,19.839783507898066,11.941511941439908
Total CPU Power :,23.60537494603179,12.067271971769557
Total CPU Power :,23.760812876858903,11.899940436012187
Total CPU Power :,24.870482381177442,11.751179281740825
Total CPU Power :,24.836040890927244,11.76894617972081
Total CPU Power :,22.300920971931546,11.93093912755341
Total CPU Power :,21.598834749162524,11.935081187155616
Total CPU Power :,24.45490521983045,11.880587394988922
Total CPU Power :,24.407602393841216,11.730925238369126
Total CPU Power :,25.105746786534585,11.954720554953978
Total CPU Power :,21.912692132610825,11.41256343290035
Total CPU Power :,21.893446205613966,11.94013226202453
Total CPU Power :,24.991684043659657,11.843659607807995
Total CPU Power :,24.12629363559922,11.886961473462204
Total CPU Power :,25.062651491614947,11.889622226676046
Total CPU Power :,21.62068635098502,11.921696038608149
Total CPU Power :,21.486153326080625,11.979456362438981
