Total CPU Power,codeCarbon_time_log_20250320_223107.txt,Sem rodar nada
Total CPU Power :,21.38349132461435,12.787937829427001
Total CPU Power :,24.190286952532855,12.05981217929251
Total CPU Power :,23.833218590496966,12.08372368731196
Total CPU Power :,24.09098379976095,12.071984799902198
Total CPU Power :,23.97428638707454,12.030617989263705
Total CPU Power :,19.07767475277581,12.068954276457546
Total CPU Power :,16.955210143977652,12.093643845273382
Total CPU Power :,23.564140762941673,12.074288213622571
Total CPU Power :,24.30131393689589,12.03321551154885
Total CPU Power :,25.26816023083075,12.090078080739959
Total CPU Power :,25.11713682706862,12.03138708517674
Total CPU Power :,20.74918894181463,12.040316710317102
Total CPU Power :,15.006981571138217,12.046150713720484
Total CPU Power :,22.873715523811814,12.046433285108572
Total CPU Power :,24.774277290010378,12.040627372680168
Total CPU Power :,24.49295147985207,12.05512430816888
Total CPU Power :,25.13874201441084,12.063098470937044
Total CPU Power :,21.771260079057043,12.033844791678527
Total CPU Power :,16.412901080380557,12.080836128793242
Total CPU Power :,21.300685703176338,12.079561641889063
Total CPU Power :,25.076214387970733,12.057518293796528
Total CPU Power :,24.407404127296232,12.053889003690122
Total CPU Power :,25.023772521980757,12.020019914292725
Total CPU Power :,21.270885015761326,11.89099027905539
Total CPU Power :,17.896317852612853,11.97132815448063
Total CPU Power :,19.12083774050781,12.005585519149147
Total CPU Power :,24.571498542851838,11.928742963227979
Total CPU Power :,23.70601726450823,11.961897797973194
Total CPU Power :,24.973916485743377,11.91092338378881
Total CPU Power :,23.576927377677674,11.915493613262605
Total CPU Power :,18.728354847771563,11.94203744058918
Total CPU Power :,17.705415314757396,11.541369613880688
Total CPU Power :,23.661630865828776,11.908136309887716
Total CPU Power :,23.802998870313058,11.904135865745761
Total CPU Power :,25.128894334190733,11.96477974740141
Total CPU Power :,25.44786371276847,11.885709876808665
Total CPU Power :,19.615581670779193,11.914104867156356
Total CPU Power :,15.74554666162368,11.710632453231717
Total CPU Power :,23.08552717429837,11.892693595772291
Total CPU Power :,24.533025236926218,11.710923369858026
Total CPU Power :,24.83929101399211,11.983643093004794
Total CPU Power :,24.825807758000646,11.889831835108033
Total CPU Power :,22.142300466490642,11.74477806203266
Total CPU Power :,14.870799233139987,11.562612764225607
Total CPU Power :,21.679690789757824,11.89122245598237
Total CPU Power :,25.073932270932033,11.922611875513772
Total CPU Power :,24.266794774844172,11.779296099762668
Total CPU Power :,25.087094878385237,11.71397745130463
Total CPU Power :,21.527254551024903,11.946396642906175
Total CPU Power :,17.557045006856406,11.905232404103844
Total CPU Power :,19.36256669327411,11.695220691442367
Total CPU Power :,24.42985036325826,11.907321014166657
Total CPU Power :,23.783901487323448,11.74826584172018
Total CPU Power :,25.083915701003384,11.389663727524267
Total CPU Power :,22.89203032019599,11.73719625818537
Total CPU Power :,18.86721526111025,11.610157429505035
Total CPU Power :,17.609940173613587,12.041499752381853
Total CPU Power :,23.93280618979827,11.898829907343249
Total CPU Power :,23.735162577691575,11.234139105352995
Total CPU Power :,24.90499460996882,11.877060330152883
Total CPU Power :,25.312028216858344,11.895290307913525
Total CPU Power :,19.092255495126984,11.924358643919108
Total CPU Power :,16.10389418030964,11.878536811872397
Total CPU Power :,23.080842104097293,12.276111766243488
