Total CPU Power,codeCarbon_time_log_20250320_214343.txt,Sem rodar nada
Total CPU Power :,21.263696422228673,12.980006575076638
Total CPU Power :,24.129826389805668,12.24147113384176
Total CPU Power :,23.80751359447758,11.914061225469915
Total CPU Power :,24.085586225706546,11.496254229614097
Total CPU Power :,23.49686567238865,11.679766916896867
Total CPU Power :,18.990901243640746,12.110055795591569
Total CPU Power :,14.749091261584914,12.046056277702268
Total CPU Power :,14.630506957930352,11.8127850203145
Total CPU Power :,15.915216266544327,11.900998816404977
Total CPU Power :,17.179903244946,11.963233974411294
Total CPU Power :,24.369658998525757,11.95446115572953
Total CPU Power :,24.35917830761497,11.87094251128676
Total CPU Power :,25.115529252157295,11.82257645595804
Total CPU Power :,24.63975358827382,12.068680864739555
Total CPU Power :,21.49726981194306,12.028382880619702
Total CPU Power :,14.892348555179552,12.105598219332185
Total CPU Power :,14.576543521482748,11.685453283240113
Total CPU Power :,14.383023283445578,12.011323656429132
Total CPU Power :,15.981850637838278,12.023226360686243
Total CPU Power :,22.87602741854437,11.98035402895222
Total CPU Power :,24.796982460018317,12.001410450092568
Total CPU Power :,24.246963062082674,12.032784034463846
Total CPU Power :,24.847241143294777,11.965231487596734
Total CPU Power :,20.605098468679614,11.85221213227523
Total CPU Power :,18.86494392072264,11.686775011992342
Total CPU Power :,14.702057631985905,11.69019746839711
Total CPU Power :,14.722400273029209,11.675536091201646
Total CPU Power :,15.71686634635541,11.924776893056057
Total CPU Power :,20.065400605818443,11.692803080126943
Total CPU Power :,23.735834603991943,11.362627782003528
Total CPU Power :,23.772864994672602,11.724464705320687
Total CPU Power :,24.721325392446147,11.84249866675654
Total CPU Power :,24.71561877039506,11.770446483638748
Total CPU Power :,19.259104389600235,11.52325793078431
Total CPU Power :,14.774382260773447,11.538726947245213
Total CPU Power :,14.49306940114592,11.700696674108194
Total CPU Power :,14.744771405058328,11.386076057449227
Total CPU Power :,15.884231240710847,11.6723938873796
Total CPU Power :,24.222553096710268,11.396358866751775
Total CPU Power :,24.47183916359774,11.859224911348585
Total CPU Power :,24.384006536016106,11.153614827887703
Total CPU Power :,25.11593851744556,11.198683289689752
Total CPU Power :,21.136563446317513,11.530780333682381
Total CPU Power :,15.966077828963611,11.607890040717505
Total CPU Power :,14.661310942446027,11.3411378596752
Total CPU Power :,14.245254723335925,11.557584759026172
Total CPU Power :,15.904243214093082,11.197732947440906
Total CPU Power :,22.113849219193902,11.625405759902144
Total CPU Power :,24.734052039387056,11.69441425054207
Total CPU Power :,23.982916611892087,11.18725076289373
Total CPU Power :,24.855156345461857,11.354967383416549
Total CPU Power :,21.728835836293147,11.19841033626722
Total CPU Power :,18.69637686186255,11.377081646649202
Total CPU Power :,14.625767839769964,11.360642346776086
Total CPU Power :,14.370589573668548,11.502777141320097
Total CPU Power :,15.12045555337744,11.680523392989288
Total CPU Power :,19.254758907544552,11.526208302517253
Total CPU Power :,23.427564675007787,11.019758305570528
Total CPU Power :,23.589191235433717,11.53278987058433
Total CPU Power :,24.96333776123003,11.363985433273246
Total CPU Power :,25.293864042409194,10.683609487503684
Total CPU Power :,16.339998244919077,11.537086712334549
Total CPU Power :,17.595138885436214,11.530875451355264
Total CPU Power :,14.670722145369735,11.40369250161244
Total CPU Power :,14.4288764425837,11.929762124340938
Total CPU Power :,16.171818248215146,11.1814671437686
Total CPU Power :,21.014061411203794,11.687912889375838
Total CPU Power :,23.96805383393376,11.35440752666666
Total CPU Power :,23.716611060100742,11.041354048563576
Total CPU Power :,24.707463125307033,10.848562446235412
Total CPU Power :,24.748398688653072,11.562775308050934
Total CPU Power :,18.84077546847015,11.870648913156188
Total CPU Power :,14.703596595580287,11.19322323011244
Total CPU Power :,14.513546738264187,11.72329759644928
Total CPU Power :,14.708684667206052,11.834837137619415
Total CPU Power :,16.07699115661827,11.575491730543066
Total CPU Power :,24.31797310012734,11.011722008855562
Total CPU Power :,24.42347359294812,11.208924325754898
Total CPU Power :,24.286495547059708,11.04845922229848
Total CPU Power :,24.85029534235118,11.01932974850883
Total CPU Power :,21.00293638611769,11.444261061721457
Total CPU Power :,16.182681523599136,11.346850934460905
Total CPU Power :,14.677173328011925,10.996638764429562
Total CPU Power :,14.13241221125292,11.700932325475842
Total CPU Power :,15.688071136562263,11.669093570128924
Total CPU Power :,21.92662402131559,11.70978509673763
Total CPU Power :,24.77228971818469,10.816452069145535
Total CPU Power :,23.7734321430422,11.144255706975333
Total CPU Power :,24.971030120053943,11.164210599073867
Total CPU Power :,21.85155366220575,11.49803082172427
Total CPU Power :,18.516253521416886,11.532633417347002
Total CPU Power :,14.66878801334295,11.865274937276075
Total CPU Power :,14.503503264583864,11.499538009996503
Total CPU Power :,15.151355920137837,11.67892648122171
Total CPU Power :,18.763513294827977,11.359466208248048
Total CPU Power :,27.337915665410453,11.970923613031422
