Total CPU Power,codeCarbon_time_log_20250320_221816.txt,Sem rodar nada
Total CPU Power :,21.24790462003008,17.639586479819574
Total CPU Power :,24.379328717536836,21.51987913781711
Total CPU Power :,23.674186472477345,14.161012068433143
Total CPU Power :,24.003722386278877,11.672610929702062
Total CPU Power :,24.379061506271807,11.853779945066645
Total CPU Power :,19.83727134094664,11.990575918988217
Total CPU Power :,22.030147329889324,12.060169049238338
Total CPU Power :,25.005940908424556,11.819096029526014
Total CPU Power :,24.365289310584913,12.008400693771527
Total CPU Power :,25.174007058906568,12.024226795840814
Total CPU Power :,21.800814486117215,12.043604270813384
Total CPU Power :,20.665759770471222,11.990484000674359
Total CPU Power :,23.955414213170258,11.86292040835488
Total CPU Power :,23.671697187233978,12.029626366459983
Total CPU Power :,24.970827706641533,11.989647448191546
Total CPU Power :,25.735963200040917,11.85461414704112
Total CPU Power :,19.713881332117005,12.022726620218467
Total CPU Power :,22.73422114196133,11.9899544248965
Total CPU Power :,24.973201814684064,11.856305259818104
Total CPU Power :,24.37171334731622,11.993779852165158
Total CPU Power :,25.03939316654939,11.82844607421227
Total CPU Power :,22.0527457546668,11.893471699040001
Total CPU Power :,21.173784662991533,11.514202401265022
Total CPU Power :,23.660912129209493,11.359418750889363
Total CPU Power :,23.984854354602334,11.738701085765605
Total CPU Power :,25.119735312726593,11.887171709808875
Total CPU Power :,25.06123310203878,11.912511312033205
Total CPU Power :,20.584430934665626,11.822566468300192
Total CPU Power :,22.306936934586776,11.89631906252135
Total CPU Power :,24.896303790091945,11.557617746716131
Total CPU Power :,23.925684329114443,12.286990366736488
Total CPU Power :,24.9958793516967,11.91583454017357
Total CPU Power :,22.54490237088224,11.769674920735056
Total CPU Power :,19.86380010156814,11.762904597571783
Total CPU Power :,23.653450591123462,11.890141069867207
Total CPU Power :,24.67304563597532,11.897545535912462
Total CPU Power :,24.44078011487221,11.776622557015108
Total CPU Power :,25.03058575879697,11.75631469767632
Total CPU Power :,22.133823012431026,11.89079443719239
Total CPU Power :,20.613835463484726,11.897598672885174
Total CPU Power :,13.290676545141116,11.840983812392793
Total CPU Power :,17.98259986323857,11.7082729340152
Total CPU Power :,27.224264605972845,11.922025575778406
Total CPU Power :,28.443352787224217,11.880505550527484
Total CPU Power :,29.378445512062797,11.942181334576993
Total CPU Power :,28.167294262263027,11.584518321345785
Total CPU Power :,27.674077781039177,11.77838411949951
Total CPU Power :,28.363101553591036,11.890068248083356
Total CPU Power :,29.780669262021735,11.874563491810779
Total CPU Power :,27.342837662542696,11.714659671775202
Total CPU Power :,28.798367060470646,11.53306187728066
Total CPU Power :,29.603063046959875,11.956627979748642
Total CPU Power :,26.184471040890326,11.73266104136647
Total CPU Power :,27.37683206728651,11.547814757923343
Total CPU Power :,25.328928752288984,11.888340775637714
Total CPU Power :,24.067264784148584,11.895328488238732
Total CPU Power :,24.979991988110626,11.770475329508107
Total CPU Power :,20.010891266777694,11.720571439669865
Total CPU Power :,13.771313560145378,11.694637322355376
Total CPU Power :,13.426385046881137,11.90044853730202
Total CPU Power :,19.207563268651562,11.899541759311415
Total CPU Power :,22.593507837818837,11.918898754275386
