Total CPU Power,codeCarbon_time_log_20250321_104418.txt,Sem rodar nada
Total CPU Power :,16.581060757832127,12.344728924455891
Total CPU Power :,19.47650697845974,11.876118706676976
Total CPU Power :,17.413247124206052,11.688186963642098
Total CPU Power :,19.012356867654635,11.819921016697213
Total CPU Power :,19.771909224723334,11.844368025367109
Total CPU Power :,16.362467022042672,11.652299188672021
Total CPU Power :,12.285473318597653,11.477166158727808
Total CPU Power :,12.309699119677735,11.707914527329278
Total CPU Power :,13.65154981949915,11.65895030703508
Total CPU Power :,16.335626244448363,11.642401822150996
Total CPU Power :,13.71079282964952,11.833549159702466
Total CPU Power :,13.517837719152185,11.82019204800397
Total CPU Power :,13.306234816709074,11.647217249373345
Total CPU Power :,13.337069729292415,11.491496160829508
Total CPU Power :,14.840750600594198,11.82114066474786
Total CPU Power :,18.035881398475524,11.489043986801716
Total CPU Power :,18.98295786624675,11.65460384970598
Total CPU Power :,17.83837035763293,11.481288597594407
Total CPU Power :,19.004232176746857,11.620127689320602
Total CPU Power :,19.279784348858723,11.821369517662562
Total CPU Power :,16.441569860189578,11.676582673995208
Total CPU Power :,14.488382251488455,11.637967653628545
Total CPU Power :,12.703331590416035,11.64066040456829
Total CPU Power :,12.882737216744236,11.6093365663798
Total CPU Power :,13.151455679262936,11.567528172516871
Total CPU Power :,13.379462951272478,11.579633921950641
Total CPU Power :,16.586176828702403,11.575906955825255
Total CPU Power :,17.824649099296195,11.598352257787004
Total CPU Power :,19.270744304942763,11.741376663673442
Total CPU Power :,19.00638605232747,11.574697147115579
Total CPU Power :,18.616593582073012,11.5755090733749
Total CPU Power :,18.80287455541318,11.742765756755652
Total CPU Power :,15.905213320120591,11.599463452594186
Total CPU Power :,13.133865820675231,11.748045535208627
Total CPU Power :,12.782778094457457,11.586029233742227
Total CPU Power :,13.136294674112271,11.746024298755847
Total CPU Power :,13.640962516635401,11.409343548761115
Total CPU Power :,13.63094286983976,11.908292589902
Total CPU Power :,18.020164711386812,11.754066328111557
Total CPU Power :,18.18255418905173,11.75872043165617
Total CPU Power :,18.511996139213093,11.590474019070921
