Total CPU Power,codeCarbon_time_log_20250320_215534.txt,Sem rodar nada
Total CPU Power :,21.192039695573214,12.757338184051036
Total CPU Power :,24.204258854944037,12.058175605840415
Total CPU Power :,23.813291269910266,12.042582840834724
Total CPU Power :,23.977357578448707,12.004199147147038
Total CPU Power :,23.974221768160994,11.983824055093194
Total CPU Power :,19.070684257542233,12.05064162313805
Total CPU Power :,21.751405231181007,12.114647101493032
Total CPU Power :,24.93927173470863,12.040958003490953
Total CPU Power :,24.35464818928559,12.099256615658893
Total CPU Power :,24.900088068215926,12.012872397349954
Total CPU Power :,21.60893229968737,11.97959605097529
Total CPU Power :,20.584094627572874,11.990802012368235
Total CPU Power :,23.753127455151628,12.111361146847923
Total CPU Power :,23.70346154211321,12.028632573948856
Total CPU Power :,24.875549203152726,11.977969867901066
Total CPU Power :,25.38881230858884,12.029744917198181
Total CPU Power :,19.57450708491636,12.014007849866987
Total CPU Power :,22.258380843424074,11.988767732984666
Total CPU Power :,25.01686140022342,12.041502484883534
Total CPU Power :,24.257180713600327,11.993774330097871
Total CPU Power :,24.99990581333501,12.019195273413924
Total CPU Power :,21.693032639651538,12.071123315461525
Total CPU Power :,21.036531025044678,12.050089206597892
Total CPU Power :,23.86461742314089,11.448601919976936
Total CPU Power :,23.950008376532377,11.930442151681751
Total CPU Power :,24.956027642565395,11.891896186897227
Total CPU Power :,25.444269440246053,11.91894728227296
Total CPU Power :,19.404906610414226,11.919775190844376
Total CPU Power :,22.27967565590391,11.934059101641381
Total CPU Power :,24.813835074458222,11.89402395005649
Total CPU Power :,24.16926699860483,11.899642259527113
Total CPU Power :,24.884615889464612,11.532742650109544
Total CPU Power :,21.436412973596727,11.727114955275287
Total CPU Power :,21.11145585548256,11.535979352957211
Total CPU Power :,23.471035665004138,11.87388923753366
Total CPU Power :,23.99952186334149,11.712878581716843
Total CPU Power :,25.0143350961102,11.575430771982099
Total CPU Power :,25.275050347329213,11.87237182617319
Total CPU Power :,19.996657046495535,11.945137916718762
Total CPU Power :,22.07069965589245,11.927789288376312
Total CPU Power :,24.790620813281574,11.976240695544778
Total CPU Power :,24.01536301530901,11.894355069806162
Total CPU Power :,24.87788794755847,11.750943945588672
Total CPU Power :,21.63208329909497,11.693382069918533
Total CPU Power :,19.910895642476312,11.708763979589655
Total CPU Power :,23.699383940094542,11.937841910594157
Total CPU Power :,24.50703751816691,11.862680263617284
Total CPU Power :,24.832501208936254,11.883507065582807
Total CPU Power :,24.79661078537628,11.556045759626528
Total CPU Power :,21.93880355429259,11.866124237537703
Total CPU Power :,21.07795168942655,11.744970682759515
Total CPU Power :,24.588958703109697,11.743225195982134
Total CPU Power :,23.90795876461405,11.729323496830423
Total CPU Power :,24.76117103716141,11.902735298614397
Total CPU Power :,22.221661845049997,11.877203951510657
Total CPU Power :,18.964917771228997,11.944009801083654
Total CPU Power :,22.170275947714305,12.071520578665961
