Total CPU Power,codeCarbon_time_log_20250319_224407.txt,Sem rodar nada
Total CPU Power :,21.179849950186846,12.836570484498438
Total CPU Power :,23.751971959450927,12.119293184358858
Total CPU Power :,22.226329954441066,11.778750211538826
Total CPU Power :,24.427272443457294,12.121605955325679
Total CPU Power :,24.523104952819388,11.925128899021802
Total CPU Power :,20.14469756050808,11.737221350319482
Total CPU Power :,24.67029016588681,11.787625892992676
Total CPU Power :,23.687604867902387,11.71596351968835
Total CPU Power :,25.142227356130025,12.092707497617718
Total CPU Power :,22.395400644722823,12.123778165360838
Total CPU Power :,22.136373485841794,12.080156163806286
Total CPU Power :,24.33475260954211,12.07486567449094
Total CPU Power :,24.56124904555049,12.117017575389507
Total CPU Power :,24.982303545139253,11.916109524093473
Total CPU Power :,21.47281121933504,11.955735954444643
Total CPU Power :,24.079093847937045,11.92000799951228
Total CPU Power :,23.07434474015548,12.086363881231042
Total CPU Power :,24.869122515630902,11.753622912721209
Total CPU Power :,25.281129974570845,11.928567139567683
Total CPU Power :,20.206566580357503,12.073814513257323
Total CPU Power :,25.234730382502082,12.096164235386526
Total CPU Power :,24.074132789448573,11.913110714625198
Total CPU Power :,24.929972186480708,11.905945325266108
Total CPU Power :,20.91242758465981,11.459104264737148
Total CPU Power :,23.710982535288647,11.608949432834832
Total CPU Power :,23.58398093145731,11.963647503062512
Total CPU Power :,25.05661734951903,11.82610694583353
Total CPU Power :,24.810457975867738,11.821073976205637
Total CPU Power :,21.102716528163764,11.934241743237017
Total CPU Power :,24.60117880806557,11.653854663319741
Total CPU Power :,22.947653649180168,11.627227172306256
Total CPU Power :,24.7545700717176,11.812529696748857
Total CPU Power :,23.70032147266318,11.948199485293793
Total CPU Power :,21.44331494777612,11.92820435600756
Total CPU Power :,24.217141493884235,11.805046721248871
Total CPU Power :,24.09001011700294,11.434890634491033
Total CPU Power :,24.824263486253017,11.434791550026617
Total CPU Power :,21.157581702476175,11.61035099179932
Total CPU Power :,23.862162485793757,11.998885568349976
Total CPU Power :,22.843726988559183,11.957221983777263
Total CPU Power :,24.896493318467996,11.802124975876977
Total CPU Power :,25.25436571852859,11.774362001039586
Total CPU Power :,20.323173947133718,11.943225101965941
Total CPU Power :,24.58810123001053,11.781813556967839
Total CPU Power :,23.479820989526,11.992905880661478
Total CPU Power :,24.69951334868541,11.944787123972983
Total CPU Power :,22.444754852693624,11.800701304722184
Total CPU Power :,19.750967312828067,11.987339074802874
