Total CPU Power,codeCarbon_time_log_20250320_185015.txt,Sem rodar nada
Total CPU Power :,21.36728480297075,12.390144349790164
Total CPU Power :,24.260738807923666,12.012797655394522
Total CPU Power :,24.023737934056825,11.205071192364498
Total CPU Power :,24.164298708964086,11.653913881113754
Total CPU Power :,21.754538779306266,11.322237204278238
Total CPU Power :,20.103150110553333,11.86727731344575
Total CPU Power :,24.278711005828974,11.64841977566502
Total CPU Power :,24.145899855957293,11.496823956320883
Total CPU Power :,25.001046220926128,11.739625858815625
Total CPU Power :,23.058438256223923,11.999657206942109
Total CPU Power :,18.22792735890313,11.537530787659874
Total CPU Power :,23.63423366510842,11.703094520028412
Total CPU Power :,24.096755985311763,11.718694326712093
Total CPU Power :,24.83848792748787,11.703524617536706
Total CPU Power :,24.55533082585534,11.349379325728584
Total CPU Power :,18.842845773547143,11.802000484771701
Total CPU Power :,23.94144568033442,11.322028762371428
Total CPU Power :,24.10447075873211,11.865947942815453
Total CPU Power :,25.263573810078615,11.152754746916177
Total CPU Power :,24.336860555403565,11.627077663106775
Total CPU Power :,21.036543822913817,11.164715647259706
Total CPU Power :,24.93680509087427,11.615894250415892
Total CPU Power :,24.14604410814818,11.84105713779762
Total CPU Power :,24.797385069383107,11.545771283491382
Total CPU Power :,20.89064547029747,11.346311611173453
Total CPU Power :,21.20955753076047,11.15726425165471
Total CPU Power :,25.00222559700454,11.692425880817096
Total CPU Power :,24.245762871660222,11.580231439787628
Total CPU Power :,24.737845837505567,11.75638593137066
Total CPU Power :,20.26398476733762,11.712156273768088
Total CPU Power :,22.89107242462099,11.353019348382238
Total CPU Power :,24.628058324277006,11.520130181801498
Total CPU Power :,24.5320032744242,11.378967024161938
Total CPU Power :,24.748316011037133,11.337076133891596
Total CPU Power :,20.484287552753965,11.195014306039797
Total CPU Power :,23.31695961345504,11.6713965180615
Total CPU Power :,24.058356774960686,11.35914100842561
Total CPU Power :,24.912274511322327,11.680915939829262
Total CPU Power :,25.310873455743938,11.580544755610468
Total CPU Power :,20.103932558340578,10.988973641528888
Total CPU Power :,24.56775573147672,11.486048294290054
Total CPU Power :,24.16563423665024,11.703777302839978
Total CPU Power :,24.925547095729947,11.688740997436453
Total CPU Power :,22.44443809700978,11.684614147700835
Total CPU Power :,21.545885186809667,11.700976977449054
Total CPU Power :,24.895310451896666,11.685996798728715
Total CPU Power :,24.275205128792212,11.590987605531193
Total CPU Power :,24.822964710083088,10.997200513189348
Total CPU Power :,20.262382621555826,11.54684551578015
Total CPU Power :,23.44661689491295,9.132080533048574
