Total CPU Power,codeCarbon_time_log_20250319_211201.txt,Sem rodar nada
Total CPU Power :,20.679409106215303,12.641203738780408
Total CPU Power :,23.46723775307028,11.77167485065193
Total CPU Power :,19.955185402798104,11.976785386340605
Total CPU Power :,24.24421331059099,11.937577754505293
Total CPU Power :,26.33929867065186,11.941651667383693
Total CPU Power :,14.798139125336238,11.97247868187183
Total CPU Power :,23.012268209403462,11.957431255694663
Total CPU Power :,24.01431184909593,11.942932088598985
Total CPU Power :,24.670995364562195,11.973401334602393
Total CPU Power :,25.038078454041734,11.955184660015979
Total CPU Power :,17.52810464905003,11.93734293588249
Total CPU Power :,21.546108751943592,11.960942035303198
Total CPU Power :,25.044986258839636,11.768482784376724
Total CPU Power :,23.895905704842043,11.751729262735031
Total CPU Power :,24.894417613109844,11.930939194574913
Total CPU Power :,19.66494381352629,11.777537423170818
Total CPU Power :,20.45733001627073,11.94935647424851
Total CPU Power :,24.671810390974027,11.760125503292638
Total CPU Power :,23.67128611086665,11.958761427795476
Total CPU Power :,25.008084034814022,11.784969347504344
Total CPU Power :,20.864084111809404,11.771098712036997
Total CPU Power :,18.110348051865888,11.969235600553615
Total CPU Power :,24.14710882982152,11.916923300914027
Total CPU Power :,23.334630144220625,11.704517829284438
Total CPU Power :,25.003944736523597,11.880123979513534
Total CPU Power :,24.83074591656942,11.720172812914196
Total CPU Power :,16.768507830467275,11.872174295233506
Total CPU Power :,24.05515429505374,11.699279151874716
Total CPU Power :,22.946591854650865,11.88518623148961
Total CPU Power :,25.176100337803085,11.73582627016646
Total CPU Power :,25.808399941393436,11.715848284750304
Total CPU Power :,16.02541131694017,11.852458765777076
Total CPU Power :,23.293557556227622,11.84323894718686
Total CPU Power :,23.64538579604096,11.695984826445846
Total CPU Power :,24.812617408871752,11.88385493090402
Total CPU Power :,24.819924663617225,11.882024424698981
Total CPU Power :,17.113696569867713,11.867463569030484
Total CPU Power :,22.093370007174347,11.714570683843705
Total CPU Power :,24.693218211859087,11.878901926948018
Total CPU Power :,24.145164568131204,11.731785338314335
Total CPU Power :,25.065606097155914,11.87713111518016
Total CPU Power :,19.35045133685715,11.869307068644899
Total CPU Power :,20.8566447358311,11.690741161493483
Total CPU Power :,25.130632581351428,11.701363961952298
Total CPU Power :,24.124439187470323,11.879533238045143
Total CPU Power :,25.127371082090846,11.699584907559874
Total CPU Power :,20.965816251803968,11.867698685580535
Total CPU Power :,19.418461492706655,11.877230946878221
Total CPU Power :,24.92745506157639,11.893227191413002
Total CPU Power :,22.47898784355977,11.699653497625851
Total CPU Power :,24.48401372078887,11.711120897853252
Total CPU Power :,23.959131230970687,11.868428316025453
Total CPU Power :,17.14966795909224,11.563663784538296
