Total CPU Power,codeCarbon_time_log_20250319_220752.txt,Sem rodar nada
Total CPU Power :,21.302530484705986,12.76616732291147
Total CPU Power :,23.861788711448852,12.051887398336168
Total CPU Power :,22.93440786723129,11.984160033479398
Total CPU Power :,23.916670564933487,12.082641110511158
Total CPU Power :,24.861088113526314,12.020811949445749
Total CPU Power :,18.25824616695912,11.979177598401805
Total CPU Power :,20.99966283821432,12.03180274009853
Total CPU Power :,24.826934046264675,11.983787339514326
Total CPU Power :,23.845182491112038,12.030462504040496
Total CPU Power :,24.967178709896405,11.862318740870352
Total CPU Power :,22.11285877857583,11.962094415249476
Total CPU Power :,17.49821216399384,11.991175521404656
Total CPU Power :,22.33216170946464,12.014319562671451
Total CPU Power :,24.80850497227852,11.998097775147778
Total CPU Power :,23.947626590532977,12.055559490746688
Total CPU Power :,24.835446375241027,12.057688755852494
Total CPU Power :,20.343622848885435,12.006496504911516
Total CPU Power :,18.323463149546818,11.977570538623329
Total CPU Power :,23.336096779457716,12.040090453992606
Total CPU Power :,24.605468876498506,11.858148905185912
Total CPU Power :,24.450032655457974,11.999450409111137
Total CPU Power :,24.98329991623083,12.009202797369612
Total CPU Power :,19.21479916480603,11.932906130283522
Total CPU Power :,19.62583381169664,11.872738244996862
Total CPU Power :,24.0334639215568,11.706191496237228
Total CPU Power :,23.607253019294813,11.686638109785006
Total CPU Power :,24.989874344005074,11.844512662932777
Total CPU Power :,24.584059025000546,11.928558924000516
Total CPU Power :,19.490385956590092,11.888813536490478
Total CPU Power :,20.5917126908894,11.843492254393414
Total CPU Power :,23.99020406793438,11.94060228426773
Total CPU Power :,22.870251787798853,11.918322608987197
Total CPU Power :,24.844183222718122,11.903043047905914
Total CPU Power :,25.564862921017145,11.918070386999942
Total CPU Power :,18.056657059631103,11.888425216052543
Total CPU Power :,20.74438306767702,11.847056249572866
Total CPU Power :,24.53076395475732,11.868131827873901
Total CPU Power :,22.776854741019278,11.85090408708856
Total CPU Power :,24.747881055495814,11.910401645220897
Total CPU Power :,24.214089493848764,11.705860458729301
Total CPU Power :,17.779044575429158,11.687611790596764
Total CPU Power :,21.880977256813576,11.879952181714378
Total CPU Power :,24.565260800950668,11.837126422097818
Total CPU Power :,23.75536700665603,11.885869768961953
Total CPU Power :,24.84927292827442,11.708461570741802
Total CPU Power :,21.683304094797116,11.70352105969731
Total CPU Power :,17.468750890544968,11.869836681426632
Total CPU Power :,23.458043216987406,11.908524139431776
Total CPU Power :,24.562237147363753,11.854333444785135
Total CPU Power :,23.93012907195234,11.560079038218392
Total CPU Power :,24.837564532727413,11.863292077316993
Total CPU Power :,20.11410014024024,11.683597616256494
Total CPU Power :,18.87438792645265,11.687644116880088
Total CPU Power :,23.755456072004915,11.848475837173975
Total CPU Power :,23.639549838965824,11.842243194869601
Total CPU Power :,24.738068444165183,11.51269747482816
Total CPU Power :,24.62798517562404,11.868359508048611
Total CPU Power :,19.36816606144155,11.518641747695574
Total CPU Power :,20.85593875822178,11.682385029384841
Total CPU Power :,22.990007840853323,11.985243813694787
