Total CPU Power,codeCarbon_time_log_20250321_114311.txt,Sem rodar nada
Total CPU Power :,21.552044359501426,12.867492826092708
Total CPU Power :,24.213222405049603,12.13022620929816
Total CPU Power :,23.715613051457073,11.983145581338219
Total CPU Power :,23.82896302220721,12.111193967860208
Total CPU Power :,24.912140082907257,12.056102373671894
Total CPU Power :,17.530950253353044,12.023306939492466
Total CPU Power :,15.236056464063752,11.914852016222536
Total CPU Power :,17.97266103470118,11.742261559406591
Total CPU Power :,23.727194291596707,11.981386942404399
Total CPU Power :,24.168857371578103,11.872253814874153
Total CPU Power :,25.311166320314346,12.159136651330652
Total CPU Power :,25.166274678521226,11.992159968705023
Total CPU Power :,18.66669940830267,11.933237406636021
Total CPU Power :,15.968185993818437,12.111115458176553
Total CPU Power :,17.886632215194933,12.176304368859496
Total CPU Power :,20.585284898485515,11.942715617074589
Total CPU Power :,24.9635719084953,12.087096308636484
Total CPU Power :,24.569934745366904,12.013130571300639
Total CPU Power :,25.143459121682522,11.917227746641323
Total CPU Power :,20.125215250756074,11.938144118793074
Total CPU Power :,17.247569477130522,12.207320687655503
Total CPU Power :,17.138395351817724,11.951196813219358
Total CPU Power :,20.011228473699116,12.002235621691488
Total CPU Power :,25.197740534444883,11.979077054956498
Total CPU Power :,24.175959184479787,11.894926958634935
Total CPU Power :,25.157361288866706,11.88473262365913
Total CPU Power :,21.805688385751342,11.842651230871988
Total CPU Power :,18.218062432565496,12.076002803192027
Total CPU Power :,15.281636717566982,11.652742441685819
Total CPU Power :,18.481706222517083,11.817228841852378
Total CPU Power :,23.55845398935656,11.639792427138051
Total CPU Power :,24.13740368313402,11.83151577691304
Total CPU Power :,25.292752317743666,12.006245091106305
Total CPU Power :,25.185356628574773,11.640847030022185
Total CPU Power :,18.49434793309661,12.006093307096824
Total CPU Power :,16.289989424675703,11.819114638420112
Total CPU Power :,19.484245503836597,11.642952675211568
Total CPU Power :,20.45251592516618,12.074874716659188
Total CPU Power :,25.16651430439022,11.50230372997394
Total CPU Power :,24.450246303388703,11.668754663382723
Total CPU Power :,25.174238611912234,12.05315537170372
Total CPU Power :,20.174303753795716,11.652459754919294
Total CPU Power :,17.551053776952145,11.645137914445918
Total CPU Power :,16.566372905824487,11.992255813862574
Total CPU Power :,19.980076059090603,11.639175842219068
Total CPU Power :,24.747691705565565,11.971205149920486
Total CPU Power :,23.806090907902067,11.817448807302922
Total CPU Power :,25.07314337652189,11.976185675878535
Total CPU Power :,23.286719280387043,11.637583358006761
Total CPU Power :,17.77797934925347,11.986572194449387
Total CPU Power :,15.028469493772818,11.801596477269209
Total CPU Power :,18.677172223222897,11.799283257340761
Total CPU Power :,23.874656225633675,11.481780200326444
Total CPU Power :,24.23527441112922,11.911760393010642
Total CPU Power :,25.219864600747457,11.486333581544502
Total CPU Power :,25.369710609677597,11.830333511487215
Total CPU Power :,18.34813145179607,11.474138798872824
Total CPU Power :,15.955596344087095,11.511902193256326
Total CPU Power :,18.48643994206406,11.856867474919401
Total CPU Power :,20.674205502523268,11.684734500135779
Total CPU Power :,25.0174855215858,11.638914576798687
Total CPU Power :,24.489002896436503,11.46027699122569
Total CPU Power :,25.20099766215309,11.30650313590418
Total CPU Power :,19.885228023044995,11.816216602794677
Total CPU Power :,17.4390026969741,11.310123650056838
Total CPU Power :,16.796775232024125,11.650465377825013
Total CPU Power :,20.07196888465043,11.986972459012792
Total CPU Power :,24.90330902698904,11.64108864179596
Total CPU Power :,23.825087613163628,11.861524101527774
Total CPU Power :,25.11372276110625,11.70278396595914
Total CPU Power :,22.745666151805008,12.006486052067013
Total CPU Power :,18.302020958057938,11.974350985178848
Total CPU Power :,14.999565088179638,11.817745155116356
Total CPU Power :,18.7731345977336,11.990069896152779
Total CPU Power :,24.972177147610903,12.097526616757266
