Total CPU Power,codeCarbon_time_log_20250320_195828.txt,Sem rodar nada
Total CPU Power :,21.553110181128456,12.720027064278073
Total CPU Power :,24.44354760966563,12.155034848409963
Total CPU Power :,24.24491699893657,12.222742608896633
Total CPU Power :,24.193420925335428,12.205701562284789
Total CPU Power :,24.626978811737686,12.145603411157753
Total CPU Power :,16.485011907313126,12.184815027602806
Total CPU Power :,24.122390268925244,11.959338781460984
Total CPU Power :,24.40985172411101,11.937901272434962
Total CPU Power :,25.612163396179,11.953543275885085
Total CPU Power :,25.720700118323474,12.120914611793943
Total CPU Power :,16.968961446201774,12.16121509112058
Total CPU Power :,23.510726424166805,12.63249187401964
Total CPU Power :,24.520512938281808,12.355000573337826
Total CPU Power :,25.422160059639623,12.11738391185889
Total CPU Power :,25.65888240465036,11.965057679465499
Total CPU Power :,17.729623978358703,12.166607476397559
Total CPU Power :,22.464764489444466,12.033903227421062
Total CPU Power :,24.840049535495005,12.075675434900681
Total CPU Power :,25.452942201804387,11.817701381083841
Total CPU Power :,25.031485340571212,12.115342574402714
Total CPU Power :,19.383753906131062,11.965334922689355
Total CPU Power :,21.719161243473888,12.115767709291427
Total CPU Power :,25.179404517076556,12.108844454848134
Total CPU Power :,24.82751468164322,11.852833858001802
Total CPU Power :,25.26851836362767,11.644170925940685
Total CPU Power :,20.42922128161602,12.001509825478871
Total CPU Power :,20.53103262598742,11.89280481690054
Total CPU Power :,25.38952084681302,11.723308780588027
Total CPU Power :,24.56524734235421,11.530386215815094
Total CPU Power :,25.419374235441843,11.819924538849609
Total CPU Power :,22.361525346931934,11.645748839977927
Total CPU Power :,18.721696031444154,11.832965592084713
Total CPU Power :,24.938511611865657,12.052240370712552
Total CPU Power :,24.373063862808717,11.302182746440765
Total CPU Power :,25.16685228231071,11.80131427050249
Total CPU Power :,23.734918529946963,11.845639738298313
Total CPU Power :,17.65531010287628,11.72977562177635
Total CPU Power :,24.265911486829623,11.57946895813263
Total CPU Power :,24.250687956583103,11.796395422479389
Total CPU Power :,25.294411262277603,11.748321259844097
Total CPU Power :,25.03061862744645,11.608111995125215
Total CPU Power :,16.96342616828651,11.648914729398946
Total CPU Power :,24.02799903655802,11.761104050990404
Total CPU Power :,24.33507255187674,11.768553673339
Total CPU Power :,25.388693402145496,11.616863488466883
Total CPU Power :,25.805067780565423,11.830045931023474
Total CPU Power :,17.530974484590523,11.911971265552294
Total CPU Power :,22.01732110762334,11.633580163604513
Total CPU Power :,25.00705800609436,11.631412053225437
Total CPU Power :,24.69720873079193,11.655187001871143
Total CPU Power :,25.275740543913475,11.305558099247436
Total CPU Power :,20.575323492705603,11.936849555915238
Total CPU Power :,18.12962561412281,11.659207810858058
