diretório,emissões_kg,tempo_segundos,energia_kWh,co2eq_por_segundo,co2eq_por_ano,media_cpu_power,mediana_cpu_power
login,7.400959982515844e-05,101.0078296661377,0.000753,0.000729,22.98729066503922,23.91957049973267,24.350867655601867
singUp,7.533805496401254e-05,104.83587074279785,0.000766,0.000714,22.53021965182543,23.395331979137605,24.079302231605404
singUpAndLogin,8.58258625787354e-05,125.8065836429596,0.000873,0.000717,22.607518050417156,22.10445555360028,23.59495977567948
logout,7.325044003082718e-05,100.0274543762207,0.000745,0.000734,23.14766384093484,23.91685566448907,24.210896101367407
loginAndLogout,7.675995447829047e-05,106.69795751571655,0.00078,0.000715,22.551051254029456,23.4338023005048,24.088945060335952
loginInvalidEmail,7.376730857656561e-05,101.26874589920044,0.00075,0.000719,22.68851505184159,23.77263695899544,24.22143834541132
loginInvalidPassword,7.395864886459592e-05,101.70374846458435,0.000752,0.00072,22.694495177518608,23.749701430059833,23.74758301333632
updateProfile,8.09334592360327e-05,114.16090035438538,0.000823,0.000727,22.935465048883838,23.07728116460131,24.260713572672344
createArticle,0.00011400222421299162,181.14267444610596,0.001159,0.000641,20.206194890966717,20.179984044827755,21.64502404604361
deleteArticle,7.343816934442388e-05,98.00066137313843,0.000747,0.000752,23.70260384313573,24.57935773373906,24.858989047189212
createAndDeleteArticle,0.0001110975627773748,175.94784283638,0.00113,0.000622,19.604997633615103,20.251830992611215,22.48227781703589
updateArticle,7.824953832578128e-05,111.29074549674988,0.000796,0.000688,21.69543370580596,22.848452583440338,23.900259817237917
createComment,7.83294401691883e-05,106.40079259872437,0.000796,0.000727,22.933235476362125,24.10512115122397,24.398915779268727
deleteComment,7.322378724954099e-05,98.6359932422638,0.000745,0.000747,23.54436205875184,24.245111422997688,24.619615755629376
createAndDeleteComment,7.97181593150475e-05,107.41447496414185,0.000811,0.000744,23.47081115840185,24.29306125814175,24.63634422353602
filterTag,7.240816876841206e-05,98.13270831108093,0.000736,0.000724,22.82550012426155,24.15009383618634,24.61294573654183
favoriteAndUnfavoriteArticle,7.446412668241003e-05,99.01772689819336,0.000757,0.000742,23.397716468334707,24.663809993717987,24.857652957111746
loginAndCreateArticle,0.00011193558542040272,180.0231647491455,0.001138,0.000638,20.122645286817118,19.90060897181943,20.64653154608324
loginAndDeleteArticle,7.9914614867822e-05,109.28277778625488,0.000813,0.000745,23.49530438114627,23.894317511238064,24.61640782188336
loginCreateAndDeleteArticle,0.00011829820312864372,188.47943663597107,0.001203,0.000604,19.060078141486123,20.16336059334831,21.56473026188917
loginCreateComment,8.336930544433028e-05,116.87271475791931,0.000848,0.000722,22.781298369126116,23.272910469317335,23.88448748077009
loginCreateAndDeleteComment,8.572920539799834e-05,118.82381820678711,0.000872,0.000728,22.948903304593156,23.56355391772559,24.277216916444
loginAndDeleteComment,7.904936132391391e-05,110.04726958274841,0.000804,0.000702,22.12806677902864,23.38567064820469,24.238557675474624
loginAndUpdateProfile,8.466169559160536e-05,123.2728796005249,0.000861,0.000658,20.75626423281534,22.256280829743407,23.699077410246392
loginCreateArticleAndComment,0.00012492597647691667,199.90017437934875,0.00127,0.000658,20.76619449654767,20.016660117012588,20.988597581987516
singupLoginAndLogout,8.846989590040358e-05,129.7003881931305,0.0009,0.000666,21.00292888595507,22.097179699570635,23.684734877964143
loginFiltertagComment,8.704794660449909e-05,123.89937734603882,0.000885,0.000677,21.352655441989427,22.855938709130378,23.82906220851285
loginCreateAndUpdateArticle,0.0001270487008240046,203.52618741989136,0.001292,0.000653,20.607390937928514,19.989050727871327,19.376360146087467
createAndUpdateArticle,0.00012051017607277317,193.01036834716797,0.001225,0.000612,19.29168919944105,19.995764433159053,19.574190889937757
createAndCommentArticle,0.00012007062458157473,189.3100552558899,0.001221,0.000615,19.40818548909273,20.36612857800597,21.98209319281772
loadPages,5.679110376288199e-05,80.6115174293518,0.000577,0.000703,22.18557151350526,22.94841487373422,22.61034773121087
loadPagesAndWait,3.531147841792301e-05,70.83851933479309,0.000359,0.000447,14.10753934489714,15.387075500036584,13.670914116500285
