Total CPU Power,codeCarbon_time_log_20250325_222353.txt,Sem rodar nada
Total CPU Power :,21.50875397733635,13.288045682297144
Total CPU Power :,24.449345318046937,12.548569506660261
Total CPU Power :,23.602655484131162,12.508539479400751
Total CPU Power :,23.81270372247013,12.569261534709055
Total CPU Power :,26.98056674107514,12.544980590626942
Total CPU Power :,19.112240440203962,12.439611465580782
Total CPU Power :,14.767812811743553,12.4315305879459
Total CPU Power :,14.529324758189187,12.442009413491059
Total CPU Power :,15.62356353122487,12.437967686615853
Total CPU Power :,18.933895884801174,12.429961866743982
Total CPU Power :,23.62983193082132,12.423679280189562
Total CPU Power :,25.775743366884676,12.39559435698417
Total CPU Power :,24.695922483538737,12.399405464147375
Total CPU Power :,25.329048141433145,12.323125663816286
Total CPU Power :,24.14718648790578,12.327184224085652
Total CPU Power :,15.589013703790345,12.40005630177562
Total CPU Power :,14.603128859307725,12.625812071280437
Total CPU Power :,14.403025843995671,12.374696505872953
Total CPU Power :,16.385003347440755,12.414280047255748
Total CPU Power :,22.29630022216414,12.384625706947
Total CPU Power :,24.960173856314714,12.35519588696976
Total CPU Power :,23.471271206820912,12.38628372204287
Total CPU Power :,24.97911286761627,12.316643447433853
Total CPU Power :,26.18449995249209,12.227969291708854
Total CPU Power :,17.577964636767778,12.240523097779423
Total CPU Power :,14.827455519715294,12.211363762852725
Total CPU Power :,14.483566367710495,12.229139608703674
Total CPU Power :,16.19543702192963,12.285000546697177
Total CPU Power :,18.994394248594606,12.263300306946919
Total CPU Power :,24.556883132924444,12.28408015402844
Total CPU Power :,24.344974752123477,12.242864198850826
Total CPU Power :,25.25582054347885,12.338332447677592
Total CPU Power :,24.732540639602977,12.334534517870708
Total CPU Power :,22.59267737647677,12.331481265393581
Total CPU Power :,14.976851334882179,12.491282296766993
Total CPU Power :,14.551695999259291,12.219623557716716
Total CPU Power :,14.446302076051873,12.188637478970728
Total CPU Power :,17.932628571593753,12.275561278241303
Total CPU Power :,20.84789191830908,12.31127051901111
Total CPU Power :,24.766580763693593,12.233967877603872
Total CPU Power :,23.386428248074484,12.218896872855428
Total CPU Power :,24.931879901588825,12.21727817797427
Total CPU Power :,26.18527620194518,12.21198063852491
Total CPU Power :,17.859149770531726,12.213954954931095
Total CPU Power :,15.141195177389562,12.344745809824381
Total CPU Power :,14.499840941039043,12.262491853190683
Total CPU Power :,14.888745928153511,12.200593175366574
Total CPU Power :,20.0229955789726,12.245446175406935
Total CPU Power :,23.73528090253038,12.247797098819028
Total CPU Power :,24.370425311328667,12.237777788083156
Total CPU Power :,25.18931390667813,12.253774519508617
Total CPU Power :,25.191868662504227,12.213903370710934
Total CPU Power :,21.77499714916292,12.210678894730517
Total CPU Power :,14.819107661739176,12.19951739565088
Total CPU Power :,14.474762720562424,12.21724608272107
Total CPU Power :,14.682002269390738,12.231619396911917
Total CPU Power :,17.818821687519154,12.224849109138914
Total CPU Power :,22.528456632441443,12.255064404833634
Total CPU Power :,25.27212033218082,12.235975677021225
Total CPU Power :,24.373664409302044,12.262958059402061
Total CPU Power :,25.03021641068024,12.777109048365421
Total CPU Power :,25.125957076158418,12.365067692016664
Total CPU Power :,15.67455465916812,12.272041344402108
Total CPU Power :,14.690925165006774,12.2771505310259
Total CPU Power :,14.779254265125402,12.202150727340948
Total CPU Power :,15.37094148129825,12.295097112688962
Total CPU Power :,22.792788368750873,12.223021577738635
Total CPU Power :,24.783488980398932,12.230662293109365
Total CPU Power :,23.6038476201675,12.292156103236753
Total CPU Power :,24.874134321592756,12.232450414383639
Total CPU Power :,25.937417932883204,12.24217909694549
Total CPU Power :,17.390403693299323,12.263154749138813
Total CPU Power :,14.90258241886637,12.270302775692302
Total CPU Power :,14.476236190822146,12.27744205988858
Total CPU Power :,15.213662324018484,12.256069544841914
Total CPU Power :,19.40166093604278,12.375542388541906
Total CPU Power :,23.947413216403667,12.225370607548925
Total CPU Power :,24.25007480444245,12.49271491481394
Total CPU Power :,25.213063175426186,12.184786443703109
Total CPU Power :,24.890733128281642,12.221720209840507
Total CPU Power :,22.55039347544678,12.289176610870438
Total CPU Power :,14.887255349892214,12.322908536390841
Total CPU Power :,14.791267595265435,12.226023824519665
Total CPU Power :,14.399834425698485,12.204476582352642
Total CPU Power :,17.59748119263348,12.240884297510835
Total CPU Power :,23.70556676598075,12.242957889511064
Total CPU Power :,24.93450451376722,12.297231051406094
Total CPU Power :,24.46832740917113,12.234275690266287
Total CPU Power :,25.086929355915704,12.307005936322268
Total CPU Power :,24.369718975391837,12.294666111048622
Total CPU Power :,14.938311865208375,12.258799360047366
Total CPU Power :,14.57693658837825,12.308290858647888
Total CPU Power :,14.884236884462299,12.256018952615472
Total CPU Power :,17.25987791580604,12.250433812278601
Total CPU Power :,21.98209319281772,12.231451828290917
