Total CPU Power,codeCarbon_time_log_20250325_151148.txt,Sem rodar nada
Total CPU Power :,21.372716532525576,13.139230710492685
Total CPU Power :,24.436194048490126,12.441367387173162
Total CPU Power :,24.08186317572151,12.404105144656326
Total CPU Power :,24.018964717819667,12.457589225473601
Total CPU Power :,26.064609404461503,12.510194080164958
Total CPU Power :,18.6433453694405,12.409890230190943
Total CPU Power :,14.72971805257405,12.410787928600522
Total CPU Power :,14.541446585772443,12.363536166110055
Total CPU Power :,15.55543505890801,12.368821867435347
Total CPU Power :,23.423992432214696,12.39410684720811
Total CPU Power :,25.135495186358078,12.503650692872073
Total CPU Power :,24.425380607918147,12.397847052848284
Total CPU Power :,24.768600646883044,12.395017449083786
Total CPU Power :,25.26519240182066,12.362231222085114
Total CPU Power :,15.76509869154894,12.391694879290034
Total CPU Power :,14.441225894009674,12.3620467529304
Total CPU Power :,14.406212960051946,12.397122467875109
Total CPU Power :,14.812849850780504,12.414308884798205
Total CPU Power :,24.236471300560908,12.343461677869938
Total CPU Power :,24.75380863094497,12.348059237561289
Total CPU Power :,24.27925039017445,12.401962969391645
Total CPU Power :,24.83278490005304,12.324109886800407
Total CPU Power :,23.414540922170705,12.330909428692815
Total CPU Power :,15.094678959131937,12.205233274235058
Total CPU Power :,14.313898120861735,12.237224624391796
Total CPU Power :,14.496766002610183,12.243142091060275
Total CPU Power :,18.371867055270783,12.172649373620677
Total CPU Power :,23.3962697722278,12.263614749246015
Total CPU Power :,24.46269120105159,12.188680391040382
Total CPU Power :,24.815258555827516,12.223223720986683
Total CPU Power :,25.690905669742524,12.179529098212884
Total CPU Power :,20.32068033895128,12.23576745213844
Total CPU Power :,14.973919756480251,12.236816775819156
Total CPU Power :,15.412976908758688,12.171067227723363
Total CPU Power :,14.329914051044028,12.20578912590231
Total CPU Power :,21.472593499541272,12.20464569941178
Total CPU Power :,24.654982888723268,12.203694431656372
Total CPU Power :,23.990648123187153,12.165670735484433
Total CPU Power :,24.468756509287232,12.16586425405989
Total CPU Power :,25.64938015174625,12.209055042231835
Total CPU Power :,16.47000447849429,12.255929648396402
Total CPU Power :,14.44109433079885,12.133968760904228
Total CPU Power :,14.312608531497478,12.190255216910774
Total CPU Power :,15.155898591207972,12.210356379360888
Total CPU Power :,23.229834250583863,12.17474387739067
Total CPU Power :,25.00220743440059,12.202807312537788
Total CPU Power :,24.132850167393094,12.158385023313777
Total CPU Power :,24.722663566830875,12.179458803386074
Total CPU Power :,23.890979745746215,12.162618552984442
Total CPU Power :,14.973396182968486,12.161380937187621
Total CPU Power :,14.355785854176368,12.216650825850376
Total CPU Power :,14.508884583319437,12.369474320438707
Total CPU Power :,17.076107932486654,12.097381423739003
Total CPU Power :,23.60326831456777,12.122179068605275
Total CPU Power :,24.064969470810627,12.173114402584572
Total CPU Power :,24.799129195701994,12.209495838600727
Total CPU Power :,25.023694867883673,12.142536468570468
Total CPU Power :,20.98117579524173,12.262230610199051
Total CPU Power :,15.041564945039788,12.112056270943233
Total CPU Power :,14.401988083487518,12.198859942125146
Total CPU Power :,14.578626517344237,12.128742875429177
Total CPU Power :,20.791193106448635,12.122180262560779
Total CPU Power :,24.016834832199656,12.126961451932942
Total CPU Power :,23.61531153584115,12.127039686432807
Total CPU Power :,24.59086587917418,12.168045103233512
Total CPU Power :,26.186600130117625,12.148446293555029
Total CPU Power :,17.482455257888756,12.098333432263235
Total CPU Power :,14.477749839201536,12.146237745970645
Total CPU Power :,14.437246501591654,12.090829468169975
Total CPU Power :,14.48392279775461,12.169566194254944
Total CPU Power :,22.610490000714734,12.183532227479422
Total CPU Power :,24.995400489295555,12.119315638597474
Total CPU Power :,24.121465609589816,12.127277640412004
Total CPU Power :,24.721906658274005,12.116686398305607
Total CPU Power :,24.572257688464088,12.183128413745713
Total CPU Power :,15.100790112939933,12.131531327145247
Total CPU Power :,14.455622775520018,12.136972583326756
Total CPU Power :,14.25226770711011,12.21824920091729
Total CPU Power :,16.351954561195697,12.131013503165104
Total CPU Power :,23.686585242526856,12.164506967935973
Total CPU Power :,24.571862609181803,12.154807341804778
Total CPU Power :,24.941134442591025,12.125477764544293
Total CPU Power :,24.514886322666815,12.119372987567862
Total CPU Power :,22.354065633357045,12.127632938034864
Total CPU Power :,14.593107529031201,12.163627369559833
Total CPU Power :,14.377563700536868,12.847369926430542
Total CPU Power :,14.789876027334577,12.166241488403067
Total CPU Power :,18.979592193610983,12.170729156453838
