Total CPU Power,codeCarbon_time_log_20250325_160220.txt,Sem rodar nada
Total CPU Power :,21.642490327587698,13.20152597277339
Total CPU Power :,24.413873487370157,12.492477962854231
Total CPU Power :,23.888003862157568,12.428296629999847
Total CPU Power :,23.300427239634832,12.471351900026484
Total CPU Power :,26.7085009816302,12.517685603136712
Total CPU Power :,23.295589176662872,12.437968768231002
Total CPU Power :,23.844848140338865,12.472823122144952
Total CPU Power :,24.746778697451358,12.472383874354081
Total CPU Power :,25.112892322397588,12.458276427477827
Total CPU Power :,24.749902854010223,12.43464585741147
Total CPU Power :,24.1588027861845,12.47256653293034
Total CPU Power :,23.54659009681866,12.44968099358087
Total CPU Power :,25.077610522223537,12.43744857803461
Total CPU Power :,24.22287356783479,12.475734378186147
Total CPU Power :,24.972489679530735,12.428640578854631
Total CPU Power :,25.04858012371387,12.570450158990038
Total CPU Power :,22.38432778064492,12.505053245461363
Total CPU Power :,24.71887207053362,12.424914819740524
Total CPU Power :,24.28271496723459,12.446349512993853
Total CPU Power :,24.843811813681906,12.524835085654418
Total CPU Power :,25.650394435882518,12.491592517137525
Total CPU Power :,22.507108403462308,12.454094758720304
Total CPU Power :,23.631949971709833,12.37724745957094
Total CPU Power :,24.05757419712055,12.318198879267177
Total CPU Power :,24.81392441044116,12.346587368092509
Total CPU Power :,25.94569423743045,12.358388905740531
Total CPU Power :,22.006321118620143,12.288935382096996
Total CPU Power :,24.712422720023817,12.326136332933194
Total CPU Power :,24.838079533192655,12.304547059345479
Total CPU Power :,24.81370671165351,12.345279612768495
Total CPU Power :,25.317216573419472,12.386684891616191
Total CPU Power :,25.017324525955907,12.417126222498778
Total CPU Power :,22.43012921402701,12.404877023497855
Total CPU Power :,25.36081625312834,12.378965644960175
Total CPU Power :,24.364369782534276,12.40905403270986
Total CPU Power :,25.07377301000315,12.312488806607258
Total CPU Power :,25.88923178696248,12.393808692809005
Total CPU Power :,21.765022709335895,12.351274363594293
Total CPU Power :,24.312549179604346,12.354062282126689
Total CPU Power :,23.723472829101606,12.305087988929104
Total CPU Power :,24.80880167885606,12.310965271738842
Total CPU Power :,26.43349977544684,12.319521551381488
Total CPU Power :,22.333628320982097,12.273657373101347
Total CPU Power :,23.44830072658777,12.256183810702026
Total CPU Power :,24.34883607187622,12.241832746628893
Total CPU Power :,25.206437812992142,12.306849839319245
Total CPU Power :,25.336723625091967,12.290324011766687
Total CPU Power :,23.14535538239501,12.341781422779663
Total CPU Power :,24.01314122569146,12.271488274423
Total CPU Power :,24.983229658965747,12.373180476631413
Total CPU Power :,24.560265727048222,12.274456117997422
Total CPU Power :,25.09102608955355,12.26969947617276
Total CPU Power :,25.143466418999292,12.276367177678829
Total CPU Power :,21.781533323916353,12.28968633010096
