Total CPU Power,codeCarbon_time_log_20250325_220740.txt,Sem rodar nada
Total CPU Power :,21.39422949010757,13.446190145864174
Total CPU Power :,24.639009115244512,12.883244064023714
Total CPU Power :,23.74853175095905,12.409915245101482
Total CPU Power :,23.78904823451273,12.440400002754801
Total CPU Power :,26.807835253520324,12.526813648976438
Total CPU Power :,19.118447572478036,12.470293780315544
Total CPU Power :,14.61884648271161,12.407494242147969
Total CPU Power :,14.654318515789976,12.495806781438477
Total CPU Power :,15.453137484671723,12.401906937570693
Total CPU Power :,18.76115401735351,12.447793710857146
Total CPU Power :,20.851612804608653,12.433360650934056
Total CPU Power :,24.864084954837203,12.452100810128668
Total CPU Power :,24.548021092223273,12.357303445152052
Total CPU Power :,24.90835967202865,12.44202708075137
Total CPU Power :,24.402548400636782,12.33180301496985
Total CPU Power :,16.330204585984596,12.367010309309762
Total CPU Power :,14.769974068977518,12.836616279754393
Total CPU Power :,14.371304049013355,12.374050147110177
Total CPU Power :,15.44124296017431,12.29602715839578
Total CPU Power :,18.269000702376356,12.299578025974737
Total CPU Power :,23.64336952952747,12.32693810628591
Total CPU Power :,24.088567826790435,12.454468948809428
Total CPU Power :,24.96356743999041,12.433733255008262
Total CPU Power :,24.72562348055289,12.229191234303142
Total CPU Power :,21.976717278537688,12.220675532272683
Total CPU Power :,14.513682595248861,12.220146698608106
Total CPU Power :,14.396335914353973,12.296259983271323
Total CPU Power :,14.574887445517618,12.256804722231513
Total CPU Power :,17.693675318823615,12.292042270349329
Total CPU Power :,20.193499680822644,12.252812856796409
Total CPU Power :,25.412145221371947,12.245722651335011
Total CPU Power :,23.931237701240416,12.333488817112878
Total CPU Power :,25.280693169080934,12.288882892811756
Total CPU Power :,24.377740528198903,12.174319743278094
Total CPU Power :,17.44797845538019,12.151750996602265
Total CPU Power :,14.838647884119522,12.403902695564337
Total CPU Power :,14.455586363314138,12.208806040092956
Total CPU Power :,15.263315304564236,12.231544997465768
Total CPU Power :,18.270675086451174,12.172090360214085
Total CPU Power :,22.807772870265694,12.213167899402109
Total CPU Power :,24.611792154210086,12.335837505530648
Total CPU Power :,24.74132427744252,12.191381881252742
Total CPU Power :,24.71132916022614,12.165469345193411
Total CPU Power :,22.77102086999911,12.15537225766423
Total CPU Power :,14.986188248334939,12.218862852688416
Total CPU Power :,14.580325375062884,12.216097797028592
Total CPU Power :,14.439513377728641,12.321788289884834
Total CPU Power :,17.628141633127704,12.315265208651544
Total CPU Power :,19.46567826058699,12.182872242589932
Total CPU Power :,24.454863106031077,12.176698709263883
Total CPU Power :,23.384490408242034,12.631704222868832
Total CPU Power :,24.831801742647457,12.216920383905341
Total CPU Power :,26.554612914345572,12.29705007335012
Total CPU Power :,17.303949423087058,12.190229995544147
Total CPU Power :,14.48096823185683,12.19360460058502
Total CPU Power :,14.434793289767326,12.231385114167109
Total CPU Power :,15.102473217109555,12.20592771565922
Total CPU Power :,17.990369573355267,12.2146812605273
Total CPU Power :,22.809336825157587,12.228559174012757
Total CPU Power :,24.55442488060348,12.15300630905699
Total CPU Power :,24.61566156653116,12.167268272013986
Total CPU Power :,24.79810813412821,12.157361520309289
Total CPU Power :,23.12101150750257,12.176757734501772
Total CPU Power :,14.629989964331264,12.31676241693985
Total CPU Power :,14.484482120229586,12.187440872868637
Total CPU Power :,14.717434827706958,12.277263187872393
Total CPU Power :,17.54983550503423,12.1950992400737
Total CPU Power :,19.574190889937753,12.300417385087675
Total CPU Power :,24.249633949679765,12.210451647580966
Total CPU Power :,23.377030135503436,12.17324937499143
Total CPU Power :,24.689407901027753,12.189781382920922
Total CPU Power :,26.070792562018333,12.243501720589583
Total CPU Power :,17.334941727837094,12.199585747797613
Total CPU Power :,14.528325642088143,12.220392530106462
Total CPU Power :,14.490869775055547,12.245841568904982
Total CPU Power :,15.044009341153611,12.241662536818774
Total CPU Power :,18.22072577089021,12.327571709202964
Total CPU Power :,22.343980420704334,12.167119157660348
Total CPU Power :,24.52337506839543,12.37984994673096
Total CPU Power :,24.596912399737697,12.239858677912528
Total CPU Power :,24.880155871421536,12.274786522380753
Total CPU Power :,23.699950085624206,12.701129915076738
Total CPU Power :,15.747221917339134,12.314449582415254
Total CPU Power :,14.409894224683315,12.251123742215984
Total CPU Power :,14.253616258676887,12.181601056754246
Total CPU Power :,16.32430675560418,12.249953925466565
Total CPU Power :,18.442273485915365,12.174246071782983
Total CPU Power :,23.754204265821894,12.171194639676587
Total CPU Power :,23.7084998308277,12.148371233702933
Total CPU Power :,24.868094809953224,12.195674211560151
Total CPU Power :,26.290446148771036,12.202398843011126
Total CPU Power :,19.456323194504748,12.19904311450672
Total CPU Power :,14.558896251163844,12.152937452073651
Total CPU Power :,14.44852111986954,12.18793158645833
Total CPU Power :,14.77086164970642,12.16366968572144
Total CPU Power :,18.150460624004804,12.315655495691066
Total CPU Power :,20.430677041762802,12.211402075798762
