Total CPU Power,codeCarbon_time_log_20250324_204450.txt,Sem rodar nada
Total CPU Power :,21.69851290046068,13.26200313760021
Total CPU Power :,24.424211251389362,12.559030751063133
Total CPU Power :,22.565457798011643,12.618843187799296
Total CPU Power :,24.6033234835183,12.60658446220297
Total CPU Power :,26.31862617990328,12.541471548321788
Total CPU Power :,19.4345093263896,12.550505109142398
Total CPU Power :,14.64843680453013,12.525595949267297
Total CPU Power :,14.643607847925566,12.618141882417252
Total CPU Power :,16.06204619806027,12.582945460171644
Total CPU Power :,16.05151412423239,12.518816124763113
Total CPU Power :,16.12804923017789,12.547969789134461
Total CPU Power :,18.081850415660387,12.618558886040656
Total CPU Power :,24.244454205078487,12.656985287755644
Total CPU Power :,24.161017062115388,12.613869735750779
Total CPU Power :,24.541999570829503,12.517498207966485
Total CPU Power :,25.290137444840653,12.486864346664664
Total CPU Power :,23.535708641473125,12.568844250403243
Total CPU Power :,14.808697266572379,12.558267092640799
Total CPU Power :,14.705099501445005,12.523152590342981
Total CPU Power :,14.719395852328573,12.55328478524026
Total CPU Power :,19.049483236040295,12.535498637848542
Total CPU Power :,24.114332199024027,12.573395348249095
Total CPU Power :,23.16451380750088,12.540023109441922
Total CPU Power :,24.96458742722103,12.426443602698123
Total CPU Power :,26.114894451239657,12.417620109862305
Total CPU Power :,19.12218273778132,12.44354361554354
Total CPU Power :,14.682865369616314,12.429597960747332
Total CPU Power :,14.442051822419192,12.45899244007544
Total CPU Power :,14.66918395378766,12.49226404100423
Total CPU Power :,19.757901937274116,12.51025518397185
Total CPU Power :,24.244737592808193,12.37251970226076
Total CPU Power :,23.324459365251602,12.431080106737937
Total CPU Power :,25.019271992907303,12.444715321396595
Total CPU Power :,26.158367235628017,12.45231053690792
Total CPU Power :,19.57237602770119,12.390774699042097
Total CPU Power :,14.843688571188757,12.376674134864214
Total CPU Power :,15.329696058660947,12.374814256121153
Total CPU Power :,14.97024492690066,12.402860133351384
Total CPU Power :,21.840197633512098,12.39877334385116
Total CPU Power :,24.916627934588195,12.362184937795393
Total CPU Power :,24.165407800658556,12.440553343062229
Total CPU Power :,25.085639288482074,12.3893287363702
Total CPU Power :,25.088192573171522,12.347538400779731
Total CPU Power :,15.766242469967933,12.386837507783287
Total CPU Power :,14.64429126054452,12.38893322746437
Total CPU Power :,14.542893564656097,12.464503937880671
Total CPU Power :,15.60964794103825,12.425453264918682
Total CPU Power :,24.144511812310096,12.318107481806605
Total CPU Power :,23.847366297010126,12.330863313849365
Total CPU Power :,24.65714359126747,12.330698278473124
Total CPU Power :,24.964560505405856,12.386916754793319
Total CPU Power :,23.193774763090406,12.359884535409103
Total CPU Power :,15.19768450846793,12.314759048933977
Total CPU Power :,14.483400690643732,12.346757697388302
Total CPU Power :,14.54341118286016,12.312012602206693
Total CPU Power :,19.11275282891847,12.301823693024275
Total CPU Power :,24.149926901913368,12.443258565412808
Total CPU Power :,23.045702847942334,12.349649907456921
Total CPU Power :,24.79344522633322,12.367050383729541
Total CPU Power :,26.025897289822286,12.26177278942601
Total CPU Power :,18.987660241488783,12.309901413543251
Total CPU Power :,14.650604686321877,12.470971370453139
Total CPU Power :,14.466001706782817,12.324369822775518
Total CPU Power :,14.523090654122655,12.36631087037978
Total CPU Power :,21.645024046043606,12.36896482388673
Total CPU Power :,24.820997697440458,12.325108573791987
Total CPU Power :,23.999924448441238,12.303415165873547
Total CPU Power :,24.827739638725955,12.379968510868851
Total CPU Power :,25.03453530777733,12.319945583619532
Total CPU Power :,15.964759637179213,12.304345303266873
Total CPU Power :,14.713598446691277,12.293530613479891
Total CPU Power :,14.549497919037448,12.34955376844405
Total CPU Power :,15.629792735879391,12.35149585718461
Total CPU Power :,23.967248339884875,12.380692343540542
Total CPU Power :,23.96454686680715,12.281211799057175
Total CPU Power :,24.594325585031797,12.31571326327536
Total CPU Power :,24.865869288243292,12.380280489646747
Total CPU Power :,23.4327192770303,12.355575155910794
Total CPU Power :,14.747894892873031,12.306968233693846
Total CPU Power :,14.526914137436012,12.302463150290654
Total CPU Power :,14.484721085353135,12.290673605921034
Total CPU Power :,18.594207772436736,12.29980774487335
Total CPU Power :,23.967045199794057,12.360825743348743
Total CPU Power :,23.072547977842145,12.302856828318681
Total CPU Power :,24.698169730606377,12.30700612001183
Total CPU Power :,26.11256066258143,12.294582101075829
Total CPU Power :,19.227469710077138,12.968201370489906
Total CPU Power :,14.587831390676747,12.36879289537725
Total CPU Power :,14.438793759475917,12.553136533960979
Total CPU Power :,14.42365098579055,12.33876561556176
Total CPU Power :,20.828591520954745,12.329967463508082
