Total CPU Power,codeCarbon_time_log_20250325_154109.txt,Sem rodar nada
Total CPU Power :,21.29964525769806,13.199203543592606
Total CPU Power :,24.60484604059072,12.43730925843034
Total CPU Power :,23.90980381582561,12.452866395289478
Total CPU Power :,23.37113395294351,12.516251516028037
Total CPU Power :,26.509473335764987,12.475080569571096
Total CPU Power :,23.225149489022442,12.483546410336423
Total CPU Power :,23.875236280805193,12.422239649392349
Total CPU Power :,24.114395713849422,12.419907348256483
Total CPU Power :,24.895184050295132,12.43476858601272
Total CPU Power :,25.11532177396652,12.38241041200406
Total CPU Power :,23.039363309752126,12.3182038886422
Total CPU Power :,23.789821467343213,12.392904179414638
Total CPU Power :,24.826152254804732,12.460343978379802
Total CPU Power :,24.361904059723788,12.370294674039704
Total CPU Power :,24.791997018437513,12.439202885257206
Total CPU Power :,24.71349415663092,12.326703299825342
Total CPU Power :,22.32518252791053,12.309400595425217
Total CPU Power :,24.843566749580475,12.408155851165535
Total CPU Power :,24.149418693358463,12.321404163340727
Total CPU Power :,24.747784479462947,12.414946299012856
Total CPU Power :,25.07161050625573,12.36290887310182
Total CPU Power :,21.54155900224462,12.3051110911694
Total CPU Power :,24.61702417264054,12.294101938839965
Total CPU Power :,24.073494168562082,12.232478147385562
Total CPU Power :,24.81398368630606,12.371033503739003
Total CPU Power :,25.765394909975594,12.262307699983158
Total CPU Power :,22.044920973694193,12.155088002356214
Total CPU Power :,23.57290672611531,12.227008501478164
Total CPU Power :,24.049602754916503,12.120129433010899
Total CPU Power :,25.036491922145625,12.19204935993552
Total CPU Power :,25.916139915019265,12.2376495467412
Total CPU Power :,22.217864072586735,12.206872576690804
Total CPU Power :,24.435927498813662,12.285716522456003
Total CPU Power :,24.09975547485555,12.225526901239217
Total CPU Power :,25.009375875538815,12.209615227593714
Total CPU Power :,25.092369853359436,12.293985199324283
Total CPU Power :,23.10770442970406,12.237126408373378
Total CPU Power :,23.649935764384313,12.222274577938137
Total CPU Power :,24.876989617100154,12.215048761412188
Total CPU Power :,24.34855760068226,12.210785257388451
Total CPU Power :,24.787311368336553,12.253974219131756
Total CPU Power :,24.537083375102927,12.246443998059798
Total CPU Power :,22.410940829031794,12.2067669172698
Total CPU Power :,24.90784145485588,12.152529884192443
Total CPU Power :,24.178226151072884,12.203178624597284
Total CPU Power :,24.759703987402915,12.247639656855418
Total CPU Power :,24.474994099476536,12.21139360339018
Total CPU Power :,20.013490607896347,12.219167016323583
Total CPU Power :,23.71597523251893,12.245944998493979
Total CPU Power :,23.77421050047547,12.277167350068606
Total CPU Power :,24.720408288052056,12.241628167461366
Total CPU Power :,26.163214869945612,12.299264775068673
Total CPU Power :,22.165935867559178,12.226900905088742
Total CPU Power :,25.216722181700124,12.152462201373377
