Total CPU Power,codeCarbon_time_log_20250324_205700.txt,Sem rodar nada
Total CPU Power :,23.8942852366791,13.269819043745164
Total CPU Power :,23.210778646733026,12.491191737794917
Total CPU Power :,25.130511426598794,12.527326951154222
Total CPU Power :,25.035045242239285,12.487227295881745
Total CPU Power :,24.280635522922157,12.491106657066776
Total CPU Power :,23.919294796289762,12.501997410737413
Total CPU Power :,23.638736849939114,12.445356403219716
Total CPU Power :,25.19626634547213,12.434010095731676
Total CPU Power :,24.858989047189215,12.553171676534859
Total CPU Power :,26.04523189390192,12.523826092588589
Total CPU Power :,24.174074561998157,12.485111849269966
Total CPU Power :,22.97177825633122,12.498320968299577
Total CPU Power :,25.049187043042103,12.449799617341494
Total CPU Power :,25.911054526499075,12.458671839090044
Total CPU Power :,24.758472427196157,12.504127104457227
Total CPU Power :,24.92139586163514,12.473852488048239
Total CPU Power :,22.745524932177755,12.440709353466097
Total CPU Power :,25.23571364207591,12.521128846893074
Total CPU Power :,26.401140069180617,12.51028021937894
Total CPU Power :,22.780046463021574,12.47435066515849
Total CPU Power :,24.856224683142404,12.557821271047283
Total CPU Power :,22.741082177547398,12.485742502521804
Total CPU Power :,25.151744741299655,12.536080299919286
Total CPU Power :,26.505208654645116,12.338561122716733
Total CPU Power :,23.798118486243272,12.456198917863682
Total CPU Power :,25.172689875143266,12.422038153454334
Total CPU Power :,24.04677159628033,12.491974833173545
Total CPU Power :,25.17184084170199,12.428604422952132
Total CPU Power :,25.615936102226645,12.369741000436045
Total CPU Power :,23.68653755463042,12.415806225017072
Total CPU Power :,24.949242526639903,12.357750349151248
Total CPU Power :,24.215571863062866,12.436464259431757
Total CPU Power :,25.131689283893646,12.383883869075008
Total CPU Power :,24.94235772143182,12.377559680316303
Total CPU Power :,22.93284832346972,12.335498398151772
Total CPU Power :,24.966553725413867,12.379137803549
Total CPU Power :,24.31910676292627,12.396249331665599
Total CPU Power :,25.1096690259193,12.379283968059633
Total CPU Power :,25.30379106418823,12.324230695969533
Total CPU Power :,23.841329060078305,12.347340320703367
Total CPU Power :,23.863679968620858,12.324837498747701
Total CPU Power :,24.63546624638367,12.339469057810902
Total CPU Power :,24.99983224260113,12.36313359328191
Total CPU Power :,25.84624531135159,12.338005578700349
Total CPU Power :,24.164345739025762,12.303905701860014
Total CPU Power :,23.163052490844013,12.301600672151709
Total CPU Power :,25.166794848956773,12.267446410466642
Total CPU Power :,25.392242471513786,12.396164465183034
Total CPU Power :,24.540392772909524,12.438726706104175
Total CPU Power :,,12.74616568596983
