Total CPU Power,codeCarbon_time_log_20250325_155154.txt,Sem rodar nada
Total CPU Power :,21.49435378176817,13.15052539316611
Total CPU Power :,24.87571270612608,12.458150184757562
Total CPU Power :,24.012948382231546,12.519068191503186
Total CPU Power :,23.142312151605907,12.516277214985108
Total CPU Power :,26.633488167978168,12.446314196515386
Total CPU Power :,24.435324393011765,12.490669891578547
Total CPU Power :,25.18395080953139,12.398975272052278
Total CPU Power :,24.445240525590823,12.453603079935482
Total CPU Power :,24.80948298397868,12.53054275610383
Total CPU Power :,25.850348936461753,12.494430348598193
Total CPU Power :,21.490225052500957,12.515842408484023
Total CPU Power :,25.045408973837105,12.485980237093287
Total CPU Power :,24.28746485543506,12.429109365171962
Total CPU Power :,24.98765603610275,12.45696328026703
Total CPU Power :,25.380584493909762,12.48503305269231
Total CPU Power :,21.730769307570046,12.458188396889158
Total CPU Power :,24.898869041131395,12.497814272911121
Total CPU Power :,24.536593656664024,12.490798326903844
Total CPU Power :,24.907960720022032,12.405758947669218
Total CPU Power :,24.071408087254078,12.427815923419288
Total CPU Power :,21.850153020274032,12.441180765528301
Total CPU Power :,24.54400119985892,12.42739628321931
Total CPU Power :,24.95440812484855,12.401034234322486
Total CPU Power :,24.513688157732673,12.319765235794224
Total CPU Power :,24.29317241239016,12.281069679001394
Total CPU Power :,23.22247758596497,12.362699848737064
Total CPU Power :,24.630692967981023,12.314099539025923
Total CPU Power :,25.109525238617987,12.3099879107168
Total CPU Power :,25.8470339378934,12.310460909619959
Total CPU Power :,23.767599110816164,12.261357285721465
Total CPU Power :,23.790710194121342,12.271144975136268
Total CPU Power :,24.10705731469718,12.331429029711215
Total CPU Power :,25.27391212319519,12.298996505112042
Total CPU Power :,26.127817862758448,12.306989957214435
Total CPU Power :,22.675273909624106,12.261305623712499
Total CPU Power :,24.608568169879298,12.278327869782364
Total CPU Power :,24.047149306338444,12.286426695498927
Total CPU Power :,24.648801364901203,12.303418774951203
Total CPU Power :,25.919799213782436,12.299945250094588
Total CPU Power :,21.670052876939085,12.232044020123954
Total CPU Power :,24.922987285687004,12.287558080756911
Total CPU Power :,24.63066334137946,12.360295245745515
Total CPU Power :,24.962513232706847,12.296477005182846
Total CPU Power :,25.496530547210256,12.302714560064302
Total CPU Power :,21.264112368721282,12.270998725266917
Total CPU Power :,25.215504386296164,12.269771823900596
Total CPU Power :,24.33627402030362,12.252386537565506
Total CPU Power :,24.918059687278127,12.251160245992905
Total CPU Power :,25.381921637463588,12.295854695153436
Total CPU Power :,19.305007487511762,12.42433175573804
