Total CPU Power,codeCarbon_time_log_20250325_163120.txt,Sem rodar nada
Total CPU Power :,21.25557385228836,13.349588139280486
Total CPU Power :,24.534051572581458,12.524449586248101
Total CPU Power :,24.35101076797468,12.55871281266769
Total CPU Power :,23.490479546854893,12.513447152413796
Total CPU Power :,26.631580981518194,12.526641459369651
Total CPU Power :,25.887571147879374,12.553695646187025
Total CPU Power :,24.651103285313066,12.455615257799053
Total CPU Power :,24.32648435447962,12.47158748519171
Total CPU Power :,24.828517490859205,12.482661811172267
Total CPU Power :,25.734470463161266,12.440250054439865
Total CPU Power :,24.410580086236564,12.453763098509704
Total CPU Power :,25.006336483870733,12.479406002121314
Total CPU Power :,24.52714829184615,12.484074456212104
Total CPU Power :,25.06197207205652,12.388179562615381
Total CPU Power :,25.351101289093553,12.442067348272976
Total CPU Power :,23.85591915613364,12.461298037556462
Total CPU Power :,24.945691330949394,12.50133887378421
Total CPU Power :,24.498475951970402,12.4998354117963
Total CPU Power :,25.03737930454583,12.505825170071596
Total CPU Power :,25.600976115314108,12.515625256137056
Total CPU Power :,24.00483469488004,12.471844252554455
Total CPU Power :,24.244390665684122,12.43484872908141
Total CPU Power :,25.065930460555077,12.482522535169837
Total CPU Power :,24.994541707541813,12.342850120759824
Total CPU Power :,25.909521638075212,12.326199607914905
Total CPU Power :,23.583816656116927,12.323140122266333
Total CPU Power :,24.295011435239562,12.341844230339973
Total CPU Power :,24.886788423364283,12.3700447896732
Total CPU Power :,25.927902408168606,12.34550595804215
Total CPU Power :,25.255045685255915,12.431225067945674
Total CPU Power :,24.23864118416634,12.338774498324806
Total CPU Power :,23.608180234042635,12.364483077054288
Total CPU Power :,24.897879795221833,12.41927751500887
Total CPU Power :,26.396094928544763,12.397779092047143
Total CPU Power :,24.020575916357565,12.32823951473316
Total CPU Power :,25.14314541638721,12.321698180230952
Total CPU Power :,24.1932113459102,12.36368319626456
Total CPU Power :,24.963581037572517,12.342224778593113
Total CPU Power :,25.720943878135156,12.314328377498976
Total CPU Power :,23.75495909916793,12.321605006878952
Total CPU Power :,25.052582764710976,12.332169735215968
Total CPU Power :,24.339675144876306,12.326677374492593
Total CPU Power :,24.957327816792187,12.35001594805488
Total CPU Power :,22.077662119925503,12.311048718336655
Total CPU Power :,23.71300938665425,12.371119873937646
Total CPU Power :,25.202680288935586,12.285574308410721
Total CPU Power :,24.14556316112677,12.304676628167988
Total CPU Power :,24.9045712806154,12.312695061784472
Total CPU Power :,25.486740010564553,12.309757994212465
Total CPU Power :,24.219267556383194,12.314734492825796
