Total CPU Power,codeCarbon_time_log_20250325_161238.txt,Sem rodar nada
Total CPU Power :,21.62963656597146,13.606389580515634
Total CPU Power :,24.794898397041507,12.737716040100189
Total CPU Power :,24.03408367489985,12.523859582394616
Total CPU Power :,23.594973704384795,12.473559989424315
Total CPU Power :,26.6701431423902,12.459335754522236
Total CPU Power :,22.907559682459695,12.502544936333974
Total CPU Power :,24.899257407781,12.542919367769132
Total CPU Power :,24.6311052277727,12.835609031085363
Total CPU Power :,25.151529986196714,12.642575060572065
Total CPU Power :,24.954316135832507,12.47183013451913
Total CPU Power :,21.698251901167893,12.463501655733761
Total CPU Power :,24.807125590465052,12.50603369989881
Total CPU Power :,24.568868667503917,12.471837859903006
Total CPU Power :,25.057668480971337,12.503273841628243
Total CPU Power :,23.58428167861404,12.579302770260377
Total CPU Power :,23.518539404697464,12.489067349155615
Total CPU Power :,24.235422307718665,12.452970566235404
Total CPU Power :,25.137726018004727,12.420030172966534
Total CPU Power :,25.466080034257715,12.440705110354672
Total CPU Power :,23.16344145316335,12.428811964445087
Total CPU Power :,24.265733784215413,12.491381995940799
Total CPU Power :,23.753838045925004,12.432100890010636
Total CPU Power :,24.855257098106886,12.415035105061932
Total CPU Power :,26.60659832763004,12.301304855936875
Total CPU Power :,21.748686013144393,12.275447244556425
Total CPU Power :,25.006507018415647,12.300381050915709
Total CPU Power :,24.81812710327894,12.309402888478933
Total CPU Power :,24.87174626769987,12.385562208972427
Total CPU Power :,24.98031844889425,12.276729957259414
Total CPU Power :,21.494904886045553,12.342461877193163
Total CPU Power :,24.94511098093341,12.304505754622056
Total CPU Power :,25.026792134164765,12.29909864092111
Total CPU Power :,24.932276051547827,12.347399791054118
Total CPU Power :,24.15562077559352,12.341917574620805
Total CPU Power :,22.774256995619435,12.300774132795278
Total CPU Power :,24.200486248950018,12.292288833353133
Total CPU Power :,25.225325761701008,12.324104700663266
Total CPU Power :,25.09432818148384,12.351827252998755
Total CPU Power :,23.549097707463808,12.308075933590692
Total CPU Power :,24.049804357390233,12.345472022866096
Total CPU Power :,23.938210557858387,12.359419941082919
Total CPU Power :,25.16057878225353,12.44159877543498
Total CPU Power :,26.364648554944687,12.394788668410444
Total CPU Power :,17.455839840675242,12.352433309037565
Total CPU Power :,21.78511063180764,12.33984877276703
Total CPU Power :,24.594786245310953,12.356187657403408
Total CPU Power :,25.013524713418914,12.321565897204351
Total CPU Power :,24.766666832927864,12.377445962030498
Total CPU Power :,23.50256259714631,12.279472631330586
Total CPU Power :,24.063037403474834,12.483355315655402
