Total CPU Power,codeCarbon_time_log_20250325_224319.txt,Sem rodar nada
Total CPU Power :,21.39816696629642,13.205627280224013
Total CPU Power :,24.57809973441956,12.505160139878189
Total CPU Power :,23.6429645074898,12.543396830176121
Total CPU Power :,23.536728086652094,12.512714671540232
Total CPU Power :,26.8263069456073,12.47311134949711
Total CPU Power :,25.776112337000484,12.474015731716598
Total CPU Power :,24.672344823232724,12.482471023600594
Total CPU Power :,23.818871511060042,12.497413021206924
Total CPU Power :,22.96704295881358,12.566212771295586
Total CPU Power :,23.26322973998774,12.431703920765177
Total CPU Power :,22.778458077148425,12.428090804448344
Total CPU Power :,22.734116685746223,12.4907278924717
Total CPU Power :,22.44210784356148,12.442474301628813
Total CPU Power :,22.137249125369323,12.437009029124681
Total CPU Power :,22.747892101496824,12.538243886475051
Total CPU Power :,22.2578102390506,12.420332760088469
Total CPU Power :,23.72582429547142,12.437374631671606
Total CPU Power :,22.084412215310106,12.479902496111233
Total CPU Power :,22.705199080271502,12.422113684262744
Total CPU Power :,22.05652933704336,12.443587814217329
Total CPU Power :,22.774993859792126,12.502883694587812
Total CPU Power :,22.0517644444211,12.459695796340585
Total CPU Power :,22.96170886052345,12.42234148889452
Total CPU Power :,22.0241007921046,12.294945478934181
Total CPU Power :,21.979622909071402,12.30214181672496
Total CPU Power :,22.447417472049846,12.280124708668156
Total CPU Power :,21.867530467256433,12.251689610876117
Total CPU Power :,22.48919801453935,12.296349593295712
Total CPU Power :,22.00863501973482,12.374622999473031
Total CPU Power :,22.81548169386174,12.30867597546942
Total CPU Power :,21.891660883099295,12.340429532395019
Total CPU Power :,22.137707779495866,12.278977502040966
Total CPU Power :,23.314553995942237,12.36965753849949
Total CPU Power :,22.063151871263905,12.274766333586257
Total CPU Power :,26.670978981213114,12.285216525702522
Total CPU Power :,21.83200981663077,12.304901585381407
Total CPU Power :,22.228258868029638,12.28734781199269
Total CPU Power :,22.514455897745055,12.249340169801332
Total CPU Power :,21.90656836775143,12.329500144480178
Total CPU Power :,22.61034773121087,12.293831638434089
Total CPU Power :,24.145395486336803,12.501559332384648
