Total CPU Power,codeCarbon_time_log_20250325_225306.txt,Sem rodar nada
Total CPU Power :,21.180644131614265,13.144973337902034
Total CPU Power :,24.273599046936205,12.437729831602258
Total CPU Power :,23.372894559706555,12.420772898666474
Total CPU Power :,23.405784268109585,12.35631359131681
Total CPU Power :,26.66684721055,12.471310490667909
Total CPU Power :,18.7650076912865,12.423339820498517
Total CPU Power :,13.54800776011874,12.365108526478569
Total CPU Power :,13.648346813907034,12.44262887860929
Total CPU Power :,14.193046132730823,12.420218851917982
Total CPU Power :,13.446097794451513,12.476655860508577
Total CPU Power :,13.500134976094511,12.440535712250263
Total CPU Power :,13.508038934273488,12.39666061693133
Total CPU Power :,13.383374824945617,12.4053356080998
Total CPU Power :,13.745341659249116,12.420217629008024
Total CPU Power :,13.681543757869733,12.566249965385618
Total CPU Power :,13.417886479797449,12.442709263724286
Total CPU Power :,14.723958580871942,12.36973711074414
Total CPU Power :,13.745193927139088,12.390472060701688
Total CPU Power :,14.004921961872897,12.393215597221213
Total CPU Power :,13.40838095415793,12.436959557225629
Total CPU Power :,13.400361405206521,12.45929874882532
Total CPU Power :,13.360625195376462,12.368691005156291
Total CPU Power :,13.298044995763867,12.403342644357588
Total CPU Power :,13.673922599820397,12.2581498298827
Total CPU Power :,13.296515699321331,12.274415549841562
Total CPU Power :,13.667905633180176,12.28782795723176
Total CPU Power :,13.32692497515713,12.327342420906406
Total CPU Power :,14.000468607568457,12.407507120263727
Total CPU Power :,13.295067058506381,12.24265833481673
Total CPU Power :,13.865249947655832,12.278955551021959
Total CPU Power :,13.242500488856573,12.43782246729389
Total CPU Power :,13.41021862016497,12.2877052545927
Total CPU Power :,13.311979745457538,12.295814936734091
Total CPU Power :,16.74973238298616,12.25547875523236
Total CPU Power :,16.90061156385965,12.287004005765223
Total CPU Power :,15.515537616752548,12.554225148721716
