Total CPU Power,codeCarbon_time_log_20250324_130313.txt,Sem rodar nada
Total CPU Power :,21.291884396068923,13.066170784877444
Total CPU Power :,24.284917508201712,12.341117308647469
Total CPU Power :,22.506983113991094,12.392926910671735
Total CPU Power :,24.36828424337273,12.289070174557368
Total CPU Power :,26.51239738268966,12.302373235338237
Total CPU Power :,17.229447575936952,12.329353553678468
Total CPU Power :,22.46418281327042,12.319816911344232
Total CPU Power :,25.295960074079005,12.317807377744066
Total CPU Power :,24.11215153413353,12.318695197042143
Total CPU Power :,25.10597560531891,12.347243793484672
Total CPU Power :,24.350867655601867,12.321183198228438
Total CPU Power :,22.103614633817717,12.41362450878779
Total CPU Power :,24.610109002884638,12.399438242960013
Total CPU Power :,24.408828937306232,12.348248792194385
Total CPU Power :,25.04395210865468,12.340094280161821
Total CPU Power :,23.734170380081235,12.37193384643302
Total CPU Power :,22.72688929060809,12.375434356964233
Total CPU Power :,24.813635625399957,12.353319380119567
Total CPU Power :,24.36720480773001,12.362997900480657
Total CPU Power :,25.025499956999475,12.306949009064807
Total CPU Power :,23.39633557983332,12.27101251067042
Total CPU Power :,24.149239944783556,12.314235814642984
Total CPU Power :,24.03976820282306,12.293583544077173
Total CPU Power :,25.50913504905447,12.199763400385656
Total CPU Power :,24.942701091237108,12.194670076978282
Total CPU Power :,23.228812567666786,12.254364525496
Total CPU Power :,23.756526818326464,12.22287634123707
Total CPU Power :,23.538981076799878,12.431807445984195
Total CPU Power :,25.10680664485506,12.235722714712008
Total CPU Power :,25.250806611242385,12.246280251034614
Total CPU Power :,22.96644790981831,12.465715199662874
Total CPU Power :,23.95709851183115,12.205504280290295
Total CPU Power :,23.254089332968416,12.212494838495122
Total CPU Power :,25.080917595338114,12.186343103813456
Total CPU Power :,26.02223327396565,12.210525763277365
Total CPU Power :,22.45238094693123,12.194321220223122
Total CPU Power :,24.383126780601472,12.180537242660362
Total CPU Power :,22.952803367866764,12.218818569985755
Total CPU Power :,25.102038815717084,12.189255590749823
Total CPU Power :,26.354078501538154,12.194507791893573
Total CPU Power :,21.526440087950952,12.32182797160715
Total CPU Power :,24.924230614959,12.223218225411463
Total CPU Power :,23.34676690143066,12.297338055255905
Total CPU Power :,24.778778770223415,12.212036021698129
Total CPU Power :,25.847764733581368,12.268056621486888
Total CPU Power :,21.193484247534826,12.21261017926919
Total CPU Power :,24.908380036364115,12.211328750852255
Total CPU Power :,24.048111816635707,12.177056717652805
Total CPU Power :,24.958466430165345,12.194949940408593
Total CPU Power :,24.829491419772484,12.207887583685272
Total CPU Power :,19.734895158403074,12.269486019131737
