Total CPU Power,codeCarbon_time_log_20250325_164329.txt,Sem rodar nada
Total CPU Power :,21.4281676856706,13.390310509529815
Total CPU Power :,24.55946348957899,12.833825700676714
Total CPU Power :,23.697066083594752,12.572364451729177
Total CPU Power :,23.375871086205763,12.447007346872763
Total CPU Power :,26.396141424296076,12.480253425737887
Total CPU Power :,18.759264255740522,12.42958516661554
Total CPU Power :,14.639384577322366,12.47249144702211
Total CPU Power :,14.448507346415692,12.42291776444467
Total CPU Power :,15.387260073740102,12.486467352813355
Total CPU Power :,18.782416317570817,12.383459909894729
Total CPU Power :,23.526248976609214,12.390239733915537
Total CPU Power :,23.732012890173063,12.412609065079089
Total CPU Power :,24.83564173412855,12.367319480992483
Total CPU Power :,26.095085224354392,12.36595584162734
Total CPU Power :,18.92494222960547,12.526170589813109
Total CPU Power :,14.654278555982714,12.425055537018812
Total CPU Power :,14.421396416288738,12.44255335812198
Total CPU Power :,14.306849050813213,12.362749516510416
Total CPU Power :,19.001597431532467,12.38981983078104
Total CPU Power :,24.16817174558224,12.368325391991672
Total CPU Power :,23.51075756194708,12.4174761042396
Total CPU Power :,24.513153645573446,12.330977290368432
Total CPU Power :,26.231454561839726,12.351390681248649
Total CPU Power :,17.460611409284837,12.271645861714292
Total CPU Power :,14.942391689252243,12.282281466471368
Total CPU Power :,14.260472076586346,12.263652899880407
Total CPU Power :,14.753902822489591,12.2182771591498
Total CPU Power :,19.3289841402877,12.263911109200654
Total CPU Power :,24.81175148016414,12.227792985099757
Total CPU Power :,24.180666127939975,12.202375371765616
Total CPU Power :,24.8753757338127,12.240008075523216
Total CPU Power :,25.384850280145976,12.276394371541231
Total CPU Power :,16.724277852410708,12.353377120042206
Total CPU Power :,14.716793166220922,12.330695200962039
Total CPU Power :,14.401970968128902,12.263146308882893
Total CPU Power :,14.702794123359283,12.58538494194325
Total CPU Power :,20.305368119109392,12.406087158216524
Total CPU Power :,24.659621390813797,12.249962420413615
Total CPU Power :,24.06099384454346,12.527936791831623
Total CPU Power :,24.532728994744975,12.231974679611264
Total CPU Power :,24.42554302597553,12.202010635691073
Total CPU Power :,16.49999026051537,12.2709968558231
Total CPU Power :,14.78294800971634,12.22858901223215
Total CPU Power :,14.384650536948957,12.304828076153475
Total CPU Power :,15.029923937534695,12.24024407954675
Total CPU Power :,20.58014806766795,12.27678100398878
Total CPU Power :,24.82919738073212,12.27080132301437
Total CPU Power :,24.03865503374254,12.231787216551119
Total CPU Power :,24.716066569772288,12.582614984771558
Total CPU Power :,23.66403591551716,12.541946945695216
Total CPU Power :,16.14042415129328,12.329150069612956
Total CPU Power :,14.451050875737039,12.455753522315568
Total CPU Power :,14.298025017110964,12.479951500703335
Total CPU Power :,15.190681443080528,12.386231291282007
Total CPU Power :,21.826520741507114,12.214774867786033
Total CPU Power :,24.57103210271116,12.233322300128092
Total CPU Power :,24.060652198126608,12.282273631639276
Total CPU Power :,24.657218249574118,12.284871387469606
Total CPU Power :,23.23463876066485,12.290296522130234
Total CPU Power :,15.883173111890494,12.247636403315314
Total CPU Power :,14.33555566113364,12.201125883336356
Total CPU Power :,14.32642217059033,12.183062375346879
Total CPU Power :,15.482928265739245,12.17256206165236
Total CPU Power :,22.12487788860451,12.25478114512459
Total CPU Power :,24.51935315285171,12.308126464913407
Total CPU Power :,24.407080815990863,12.193805338251632
Total CPU Power :,24.56722992344963,12.206534433818435
Total CPU Power :,22.87129614906556,12.211361984103087
Total CPU Power :,15.60321734541876,12.232330579318402
Total CPU Power :,14.349013287111916,12.15541485250521
Total CPU Power :,14.390433362522899,12.204109953867263
Total CPU Power :,15.52822782220791,12.226298774154042
Total CPU Power :,23.23311379400336,12.192834409019579
Total CPU Power :,23.854807367268783,12.226325248648951
Total CPU Power :,24.675488313151348,12.268625577758856
Total CPU Power :,24.305676334773526,12.230028827801348
Total CPU Power :,22.519949734271606,12.194096944215199
Total CPU Power :,14.62626268839576,12.221890110846042
Total CPU Power :,14.373715200340026,12.918796930934155
Total CPU Power :,14.22341780462014,12.271525345142088
Total CPU Power :,16.45529894031991,12.442038741836456
Total CPU Power :,23.30476158750913,12.150681183254795
Total CPU Power :,23.8247478793426,12.293238356884665
Total CPU Power :,24.798030926879747,12.223429714374596
Total CPU Power :,25.38390494622501,12.204191789672358
Total CPU Power :,20.712915024498532,12.211949186194714
Total CPU Power :,15.127755603444113,12.212907941934777
Total CPU Power :,14.359870737420605,12.192823615391639
Total CPU Power :,14.331178559631503,12.220564309717224
Total CPU Power :,17.675014203285837,12.16222679427533
Total CPU Power :,,12.366543239593536
