Total CPU Power,codeCarbon_time_log_20250325_174045.txt,Sem rodar nada
Total CPU Power :,21.59959325599567,13.35293584382236
Total CPU Power :,25.176244348550778,12.569489502591805
Total CPU Power :,24.10931845190057,12.586507229914908
Total CPU Power :,23.99792362718425,12.519007954283161
Total CPU Power :,27.009514117332337,12.639772090709794
Total CPU Power :,19.435845652874576,12.56892046002223
Total CPU Power :,24.133091449067024,12.496957202681587
Total CPU Power :,25.131838103723037,12.584017332179352
Total CPU Power :,25.379127930237853,12.563371551004936
Total CPU Power :,25.262695009352726,12.535054303292434
Total CPU Power :,22.23558425546062,12.808901352852718
Total CPU Power :,16.139552378913223,12.953079280679662
Total CPU Power :,22.90240960837606,12.620439196930331
Total CPU Power :,25.232676485587348,12.624603620709422
Total CPU Power :,24.759871497988925,12.74516649525269
Total CPU Power :,25.37819825857862,12.543764108504282
Total CPU Power :,23.86940461666791,12.578414633067725
Total CPU Power :,21.54925920125455,12.650091907713453
Total CPU Power :,25.31452322491138,12.553464135938594
Total CPU Power :,24.508251360553224,12.521800411101555
Total CPU Power :,25.070108017592357,12.616554844376008
Total CPU Power :,25.52804991331167,12.51668180896651
Total CPU Power :,20.315380418246598,12.550758011756981
Total CPU Power :,24.12235596303419,12.386714577068323
Total CPU Power :,24.358267517947148,12.446497796940992
Total CPU Power :,25.26314244741619,12.497138293804337
Total CPU Power :,26.413165010397172,12.452256110323022
Total CPU Power :,19.378103782911257,12.487544286660013
Total CPU Power :,23.657392317216118,13.484229327827213
Total CPU Power :,24.964249074230672,12.499268999329479
Total CPU Power :,25.106286567330482,12.453293287524657
Total CPU Power :,25.204184229085794,12.438692211537019
Total CPU Power :,23.350793308155875,12.432570183198617
Total CPU Power :,22.082934184066353,12.361107882380924
Total CPU Power :,25.473602679813837,12.391468159595124
Total CPU Power :,24.616407821883357,12.552265793824976
Total CPU Power :,25.29933834373593,12.758548584002426
Total CPU Power :,24.699327247204764,12.407409012575808
Total CPU Power :,20.71063402536571,12.323958507883024
Total CPU Power :,24.91260266679702,12.415150651888107
Total CPU Power :,23.922374077327223,12.386087010608907
Total CPU Power :,25.26023459920723,12.4385099132223
Total CPU Power :,26.795770376114334,12.382351836510633
Total CPU Power :,19.733649526585502,12.35179713423554
Total CPU Power :,23.840411573322662,12.348599804364333
Total CPU Power :,24.44556742823728,12.406195197683157
Total CPU Power :,25.459972013843625,12.292406859245482
Total CPU Power :,25.83334699006161,12.346420934458877
Total CPU Power :,21.292971411998046,12.324370762874365
Total CPU Power :,23.14833400725322,12.293957977909704
Total CPU Power :,25.24846428179694,12.356738598780824
Total CPU Power :,24.959073449262746,12.292345718960709
Total CPU Power :,25.31949259478264,12.408301542270351
Total CPU Power :,23.326937842640785,12.36428070944932
Total CPU Power :,21.949614575406706,12.324163473439642
