Total CPU Power,codeCarbon_time_log_20250325_184401.txt,Sem rodar nada
Total CPU Power :,21.483671462914483,13.119755717523105
Total CPU Power :,24.703701298560453,12.416292691422587
Total CPU Power :,24.006480944134513,12.43041375980524
Total CPU Power :,23.812349809500173,12.423201466519174
Total CPU Power :,26.73053405307511,12.503084769527929
Total CPU Power :,19.333518043495573,12.468344093068513
Total CPU Power :,22.561004728182265,12.40542583791486
Total CPU Power :,24.915965984625267,12.381762959738985
Total CPU Power :,24.416945078830373,12.465772077327303
Total CPU Power :,25.1004308969648,12.429149249599282
Total CPU Power :,23.50699601469612,12.417437140556705
Total CPU Power :,19.950081181895868,12.436474707794966
Total CPU Power :,24.545334405888227,12.426091336060544
Total CPU Power :,23.700396990458486,12.37865713265917
Total CPU Power :,24.724740063651954,12.451638817052194
Total CPU Power :,26.263931894184516,12.434758040102908
Total CPU Power :,18.39727347409303,12.45474497070001
Total CPU Power :,23.13794625537629,12.460427676933591
Total CPU Power :,24.296010393371525,12.430665707109158
Total CPU Power :,24.950070711993547,12.458584920577692
Total CPU Power :,24.615826663025928,12.430184255817402
Total CPU Power :,22.82237138413283,12.454204113385362
Total CPU Power :,20.349185319216172,12.384679476482946
Total CPU Power :,24.971023811498487,12.29606080704863
Total CPU Power :,24.342142327687316,12.286009959575347
Total CPU Power :,24.94453230061597,12.221284849597641
Total CPU Power :,24.49111576870776,12.218719236738984
Total CPU Power :,18.62079823682833,12.285226029552694
Total CPU Power :,23.95765156970877,12.259631994554482
Total CPU Power :,24.178946832665563,12.316426599889034
Total CPU Power :,24.959285510826593,12.26963464316077
Total CPU Power :,26.408700964844424,12.300062370640093
Total CPU Power :,20.483177709874564,12.282505277950241
Total CPU Power :,21.61564880689273,12.377997580467326
Total CPU Power :,25.309703539113855,12.251152261583211
Total CPU Power :,24.2596929469382,12.261142532919987
Total CPU Power :,24.981656050330752,12.286286019015295
Total CPU Power :,23.728271588869042,12.230380425414344
Total CPU Power :,19.53761893788686,12.270971986294763
Total CPU Power :,24.380164843173425,12.262868513132606
Total CPU Power :,23.450457826988732,12.326577446337977
Total CPU Power :,24.7768583223385,12.237821531957831
Total CPU Power :,26.28789407412159,12.23744941215443
Total CPU Power :,17.610855923821962,12.243229015874979
Total CPU Power :,23.496541113692608,12.296116778446962
Total CPU Power :,24.184426055201747,12.26328252915465
Total CPU Power :,24.987721981396447,12.334153607705646
Total CPU Power :,24.80000341734164,12.260286866967752
Total CPU Power :,22.37239994419717,12.251602196865942
Total CPU Power :,20.137802963117906,12.231186161771882
Total CPU Power :,25.025037373409926,12.272496235512
Total CPU Power :,24.21742240401105,12.28000823391462
Total CPU Power :,24.97573695236204,12.265504156680068
Total CPU Power :,24.2693857434633,12.220887058382518
Total CPU Power :,18.7912254230376,12.265778944817988
Total CPU Power :,20.718887982230324,12.485491247593572
