Total CPU Power,codeCarbon_time_log_20250324_194223.txt,Sem rodar nada
Total CPU Power :,21.368862362979893,13.078642204061438
Total CPU Power :,24.38551194928472,12.36918771117423
Total CPU Power :,22.68741756318299,12.423347500997998
Total CPU Power :,24.13757655912243,12.37877266796671
Total CPU Power :,26.418287074566567,12.348378102480352
Total CPU Power :,20.21158338918095,12.462359067812754
Total CPU Power :,22.237002514911843,12.361977117866724
Total CPU Power :,24.33227775763776,12.342096575295662
Total CPU Power :,24.256679603827788,12.380636945493645
Total CPU Power :,24.96200572152988,12.296231548708679
Total CPU Power :,23.097793777799453,12.438818591687665
Total CPU Power :,21.40305293923165,12.38137217494951
Total CPU Power :,24.652140983692767,12.302944663463387
Total CPU Power :,24.077307613967708,12.37284256349594
Total CPU Power :,24.708325799716107,12.318221974423812
Total CPU Power :,24.390419970826034,12.335412908815464
Total CPU Power :,19.962038756270413,12.41412989789377
Total CPU Power :,24.708977549585583,12.303812631247734
Total CPU Power :,23.106262969346613,12.340109319529601
Total CPU Power :,24.59896797131019,12.324466572881459
Total CPU Power :,26.005346849153035,12.303270145351703
Total CPU Power :,19.249294140022208,12.309366374264282
Total CPU Power :,23.69007873567339,12.314279016491588
Total CPU Power :,22.945077483259045,12.219463482526042
Total CPU Power :,24.768672677185684,12.194915108138028
Total CPU Power :,26.10239425446544,12.181268006348676
Total CPU Power :,20.152900362097757,12.176428760571508
Total CPU Power :,23.47377026706859,12.26029777283032
Total CPU Power :,24.392401962086602,12.187808332994006
Total CPU Power :,24.864702828532586,12.180989006777132
Total CPU Power :,24.369918373357716,12.185752050647796
Total CPU Power :,23.070652913648992,12.245506803935486
Total CPU Power :,22.026392632420634,12.242281991874613
Total CPU Power :,24.346724001335357,12.181314392696947
Total CPU Power :,24.004521796158276,12.21470316431272
Total CPU Power :,24.797227120936643,12.159624573254739
Total CPU Power :,23.735460209622087,12.161193644687433
Total CPU Power :,20.44566143383227,12.141486932800404
Total CPU Power :,24.43515722022471,12.18555522505938
Total CPU Power :,23.584337364869615,12.201383743466039
Total CPU Power :,24.740913341775958,12.186090775413598
Total CPU Power :,25.380049952182215,12.166832617458915
Total CPU Power :,19.502406798010263,12.200429389683299
Total CPU Power :,24.100582506704193,12.132439482657459
Total CPU Power :,22.84629479768386,12.196261805939946
Total CPU Power :,24.72788441737674,12.164674061716832
Total CPU Power :,25.96339144765005,12.215331800632017
Total CPU Power :,19.294886907457904,12.160624953537456
Total CPU Power :,23.46951794266217,12.202337054900505
Total CPU Power :,23.288287945848438,12.18149368754647
Total CPU Power :,24.857306943760758,12.138718406415922
Total CPU Power :,24.81370761932358,12.20003201680852
Total CPU Power :,22.073018642768922,12.177529916638093
Total CPU Power :,20.203889510132267,12.530331657925407
