Total CPU Power,codeCarbon_time_log_20250325_185455.txt,Sem rodar nada
Total CPU Power :,21.322438717367966,13.267844057050421
Total CPU Power :,24.278639217473874,12.742714551869076
Total CPU Power :,23.623636673601087,12.659874177093306
Total CPU Power :,23.551997217864674,12.428838730763724
Total CPU Power :,26.31586328154062,12.397963818805039
Total CPU Power :,18.748459666552144,12.513232457236425
Total CPU Power :,16.079177033055846,12.492995510261082
Total CPU Power :,23.67034844055872,12.475431977897154
Total CPU Power :,23.846528915562782,12.48761636912189
Total CPU Power :,24.791533601934823,12.39386504542329
Total CPU Power :,25.6539210356019,12.376094512896747
Total CPU Power :,20.26097623699603,12.395033204853757
Total CPU Power :,15.342436699677535,12.39044052394894
Total CPU Power :,23.47650181379287,12.39003487122609
Total CPU Power :,24.014234870456075,12.410026286552288
Total CPU Power :,24.851603944707662,12.369971408099914
Total CPU Power :,24.914006966032773,12.483191307442363
Total CPU Power :,21.621007073920698,12.348177760955057
Total CPU Power :,14.746308090648862,12.394802218929653
Total CPU Power :,23.303018647048575,12.315332253753466
Total CPU Power :,24.06951820662013,12.371977350674356
Total CPU Power :,24.975628673537248,12.394274666090627
Total CPU Power :,24.59662001197217,12.297141560674492
Total CPU Power :,22.058086906791246,12.21800211214553
Total CPU Power :,14.566973414920616,12.207340514505262
Total CPU Power :,23.003382451073154,12.271094681659333
Total CPU Power :,24.404269440992802,12.21452340028308
Total CPU Power :,25.37892063089368,12.294856584159078
Total CPU Power :,24.427861693945406,12.262660453316135
Total CPU Power :,23.727806379934066,12.215260482276543
Total CPU Power :,14.722023966916808,12.217825424837654
Total CPU Power :,22.30360134950096,12.279929092708844
Total CPU Power :,24.55159031136203,12.354561890660506
Total CPU Power :,24.316183757652468,12.203863246764909
Total CPU Power :,24.765786954431114,12.175955352210568
Total CPU Power :,22.78179472815316,12.16420992104285
Total CPU Power :,15.582080568791712,12.24864373981407
Total CPU Power :,21.579427118001565,12.185142194323305
Total CPU Power :,24.664531911782092,12.206970625909474
Total CPU Power :,24.277244980364994,12.216831612005
Total CPU Power :,24.7533901755109,12.24524524794233
Total CPU Power :,22.892805135869246,12.243300097710936
Total CPU Power :,16.318295509567736,12.245388843183392
Total CPU Power :,21.108716091654102,12.257071782027843
Total CPU Power :,24.873287256084396,12.208695383827733
Total CPU Power :,24.25757681849183,12.256148393846605
Total CPU Power :,24.707417782190902,12.197492700506888
Total CPU Power :,23.600035681825194,12.309181936406775
Total CPU Power :,16.124253384211936,12.206748603827473
Total CPU Power :,20.391777226255954,12.2048155460127
Total CPU Power :,24.894920112990658,12.227069317502027
Total CPU Power :,23.9847014716813,12.267980847378778
Total CPU Power :,24.58657672240691,12.270368556903014
Total CPU Power :,23.302655712643073,12.202323500902596
Total CPU Power :,16.31444414938437,12.160864646718805
Total CPU Power :,20.25084615178868,12.184166784458002
Total CPU Power :,24.859858846602098,12.209583370284928
Total CPU Power :,24.113402704157874,12.204486218447691
Total CPU Power :,24.704730000638445,12.183056673363946
Total CPU Power :,23.87626283115208,12.173413170965082
Total CPU Power :,16.26313331959657,12.189883065734469
Total CPU Power :,18.544352757353916,12.25220094273405
