Total CPU Power,codeCarbon_time_log_20250325_180846.txt,Sem rodar nada
Total CPU Power :,21.56473026188917,13.297332975505878
Total CPU Power :,24.098436208838812,12.776908184453907
Total CPU Power :,23.555702450909315,12.766594459069635
Total CPU Power :,23.22905956640475,12.491037206678014
Total CPU Power :,26.71252637439798,12.467468444587645
Total CPU Power :,19.232880570110066,12.507956484432295
Total CPU Power :,14.872298245240682,12.489224758715652
Total CPU Power :,14.533128731403362,12.884075105209211
Total CPU Power :,15.57020207247089,12.460970947682057
Total CPU Power :,16.368811896282974,12.381191620301825
Total CPU Power :,24.220332711302532,12.783304493304884
Total CPU Power :,24.928560922974867,12.8729089271145
Total CPU Power :,24.124637990375028,12.48922089276986
Total CPU Power :,24.822590717455352,12.377220531049607
Total CPU Power :,23.650687802657004,12.44993827382506
Total CPU Power :,15.898988538111936,12.38412369841502
Total CPU Power :,14.50834348221948,12.44858919472551
Total CPU Power :,14.305207077205896,12.407563071087948
Total CPU Power :,15.408892317066877,12.404984826263151
Total CPU Power :,22.188696964374845,12.345960643700971
Total CPU Power :,24.80422672290927,12.404862495333465
Total CPU Power :,23.843454662359886,12.352744381804222
Total CPU Power :,24.86250973149616,12.343609162403613
Total CPU Power :,25.57792041608277,12.21102153159735
Total CPU Power :,16.776569997979877,12.236214078200678
Total CPU Power :,14.56587404828892,12.24969928790383
Total CPU Power :,14.36718822416226,12.23923040344327
Total CPU Power :,15.348856296393814,12.379740005049214
Total CPU Power :,19.601021345227966,12.277035003963162
Total CPU Power :,24.017241798997723,12.261369441500404
Total CPU Power :,24.02828281476566,12.227862274840295
Total CPU Power :,24.97108275315585,12.250410249463208
Total CPU Power :,25.6688292497881,12.305215902259828
Total CPU Power :,20.600344179571056,12.228385976244246
Total CPU Power :,14.862818892842043,12.232727397840812
Total CPU Power :,14.456742835268125,12.262479127430243
Total CPU Power :,14.394382245727,12.317398066780866
Total CPU Power :,16.257752366706544,12.255915960398253
Total CPU Power :,24.228905698431415,12.217183221714603
Total CPU Power :,24.632026693860276,12.274844801648609
Total CPU Power :,24.369788641594116,12.492063992924574
Total CPU Power :,24.8718184717005,12.295329626373917
Total CPU Power :,23.452147435100603,12.279064682464597
Total CPU Power :,15.728615497638136,12.228663634547294
Total CPU Power :,14.448981051335481,12.208672309188962
Total CPU Power :,14.417880226196285,12.226523694658395
Total CPU Power :,15.570520622495078,12.273704765897804
Total CPU Power :,22.364221829967423,12.326035465754089
Total CPU Power :,24.9027297769117,12.249457015053888
Total CPU Power :,23.87840482171065,12.227370691042873
Total CPU Power :,24.761695043234145,12.242641022795159
Total CPU Power :,25.34980261152278,12.31519297909782
Total CPU Power :,16.731300978355215,12.260870711762761
Total CPU Power :,14.707154318838484,12.244089925683774
Total CPU Power :,14.435806111309512,12.264659972080672
Total CPU Power :,14.974099216048364,12.222063539640097
Total CPU Power :,19.66775295303293,12.17736813261738
Total CPU Power :,23.719643117435023,12.259894213393851
Total CPU Power :,23.85744123466795,12.249686721007297
Total CPU Power :,24.84198378903997,12.218851494593249
Total CPU Power :,26.115017199026916,12.228912711432612
Total CPU Power :,19.969871616456746,12.221416127364197
Total CPU Power :,14.840725571674078,12.211490814617472
Total CPU Power :,14.508930952686757,12.222466271919732
Total CPU Power :,14.458876074751776,12.25787878986769
Total CPU Power :,16.971649337475668,12.21280502712944
Total CPU Power :,23.774073063369908,12.281718200439496
Total CPU Power :,24.786891179240442,12.214337304397576
Total CPU Power :,24.70968437708526,12.233773191710215
Total CPU Power :,24.761986383074213,12.482750525109036
Total CPU Power :,22.998673559744503,12.455324364121152
Total CPU Power :,15.48762364089539,12.305019601101316
Total CPU Power :,14.5596707602977,12.286463978941482
Total CPU Power :,14.463666463376184,12.331707987266329
Total CPU Power :,15.806424454252163,12.25126200835873
Total CPU Power :,23.02577183329026,12.331834813691119
Total CPU Power :,24.869562833708628,12.283973027438924
Total CPU Power :,24.363283431678042,12.203870782262793
Total CPU Power :,24.889228318545108,12.392803937828967
Total CPU Power :,24.406818547596334,12.257494901652668
Total CPU Power :,16.49709741680943,12.270919530274757
Total CPU Power :,14.61534689450235,12.27448529758558
Total CPU Power :,14.376986050976036,12.2078979498053
Total CPU Power :,15.17275167575759,12.215739378952334
Total CPU Power :,20.657600501310235,12.271739955769455
Total CPU Power :,24.124675646193225,12.219906424187224
Total CPU Power :,23.639443069762837,12.320577391916084
Total CPU Power :,25.01630487544132,12.257440992961904
Total CPU Power :,26.224653186676107,12.220237185253831
Total CPU Power :,18.30471524297657,12.25561665674423
Total CPU Power :,14.94287981683634,12.327770204781048
Total CPU Power :,14.53348189249129,12.300973710999656
Total CPU Power :,14.670422483681978,12.220955336836253
Total CPU Power :,18.148617588631645,12.232706796894366
Total CPU Power :,26.11331680397613,12.436935805184275
