Total CPU Power,codeCarbon_time_log_20250325_183118.txt,Sem rodar nada
Total CPU Power :,21.486432784637095,13.256045465090175
Total CPU Power :,24.808117703743083,12.63261086511278
Total CPU Power :,23.830146668962023,12.522677578327231
Total CPU Power :,23.728210438368478,12.459742766126281
Total CPU Power :,26.76847416807345,12.540442810017108
Total CPU Power :,18.933714412944074,12.503691798529303
Total CPU Power :,23.24465533350961,12.536083622829256
Total CPU Power :,24.414382253696125,12.882246516624692
Total CPU Power :,23.53347347534559,12.740914109199828
Total CPU Power :,24.987963480216052,12.534125895541926
Total CPU Power :,26.418229114165403,12.453908091143212
Total CPU Power :,19.79844493412702,12.533217198722133
Total CPU Power :,22.487806173603882,12.562409571840712
Total CPU Power :,25.069951048228326,12.499916353817952
Total CPU Power :,24.3205836115563,12.52557599697454
Total CPU Power :,25.023780017306244,12.504926005836749
Total CPU Power :,25.326587876640257,12.524249076458716
Total CPU Power :,18.132214961556098,12.605695771788444
Total CPU Power :,23.831202310273927,12.521511807939257
Total CPU Power :,25.196392215642174,12.488731660749616
Total CPU Power :,24.42172564264068,12.577752180111494
Total CPU Power :,25.04662241077848,12.46307423391732
Total CPU Power :,23.784502176109594,13.554152140979024
Total CPU Power :,18.811918097333994,12.483042661215187
Total CPU Power :,23.934632824113464,12.361371719548012
Total CPU Power :,25.086408386715433,12.366048601800639
Total CPU Power :,24.431005693887833,12.69529308344675
Total CPU Power :,25.07678438610895,12.597778671729943
Total CPU Power :,23.38307648297737,12.351311949513008
Total CPU Power :,21.38618185733754,12.34733470994593
Total CPU Power :,23.52065066951081,12.321835724690649
Total CPU Power :,24.27748625083741,12.34197099709535
Total CPU Power :,25.029120704027715,12.387469568191483
Total CPU Power :,25.02524954942593,12.347762438783143
Total CPU Power :,22.454370024013365,12.298788800963889
Total CPU Power :,20.78994782851523,12.345092258970462
Total CPU Power :,23.644555516966395,12.348599323718702
Total CPU Power :,23.953240361674702,12.356089337445924
Total CPU Power :,25.12138405608292,12.337483791753641
Total CPU Power :,25.85631147689873,12.332191107516358
Total CPU Power :,20.57856167038126,12.341566103121444
Total CPU Power :,22.43782989498709,12.325289348234733
Total CPU Power :,24.392438565249904,12.361217321133866
Total CPU Power :,23.45339861476593,12.319209143015438
Total CPU Power :,25.120705528305518,12.391435737957536
Total CPU Power :,26.451530941095307,12.391501779957967
Total CPU Power :,19.460553459866485,12.332169720826428
Total CPU Power :,22.531856209588025,12.384926140711341
Total CPU Power :,25.204228846454367,12.389630712927433
Total CPU Power :,24.015755569677605,12.400255667156458
Total CPU Power :,24.906861326088816,12.404666172144934
Total CPU Power :,25.43932371725119,12.350591538679877
Total CPU Power :,18.033195707392494,12.376782495256235
Total CPU Power :,23.16565826062256,12.39062487165219
Total CPU Power :,25.16896978833556,12.351317577521044
Total CPU Power :,24.276947582050592,12.344578055710286
Total CPU Power :,24.99977618757085,12.31941793605935
Total CPU Power :,24.370633637362825,12.355864896714262
Total CPU Power :,18.44312853736574,12.318835371273545
Total CPU Power :,24.98594364057153,12.441385282570932
