Total CPU Power,codeCarbon_time_log_20250325_215329.txt,Sem rodar nada
Total CPU Power :,21.49613836459851,13.234542907631386
Total CPU Power :,24.412535461104728,12.56638354197471
Total CPU Power :,23.81670478576876,12.617522568148479
Total CPU Power :,23.4139078357343,12.496529129084996
Total CPU Power :,27.04390547000516,12.535163214689767
Total CPU Power :,19.140583078828943,12.563720106713527
Total CPU Power :,15.192971312085271,12.531693746252978
Total CPU Power :,14.760507883873416,12.550313983622253
Total CPU Power :,15.963130499494545,12.610929237039077
Total CPU Power :,16.87139647386398,12.471225880573574
Total CPU Power :,19.555587810311096,12.470717269237536
Total CPU Power :,24.128241688628037,12.502923174268489
Total CPU Power :,24.329257932813515,12.443761902975126
Total CPU Power :,25.127661242048298,12.425079708856002
Total CPU Power :,24.886923261171766,12.439080087789256
Total CPU Power :,22.667236020638427,12.461488969249249
Total CPU Power :,15.342976190021927,12.401539529658791
Total CPU Power :,14.69991728473911,12.432500713481833
Total CPU Power :,14.504793721734691,12.391436976540616
Total CPU Power :,16.541289555002045,12.454131268126044
Total CPU Power :,18.573375912252356,12.496880625555653
Total CPU Power :,23.02468975273437,12.4057618863898
Total CPU Power :,24.49834835936181,12.429931739870725
Total CPU Power :,24.900858671678805,12.296090863167109
Total CPU Power :,24.757816221523722,12.269711694478943
Total CPU Power :,23.149240672251494,12.51054103717763
Total CPU Power :,15.221402423316784,12.327813046610862
Total CPU Power :,15.514661416544604,12.324801604061523
Total CPU Power :,15.38975232009626,12.291497762096364
Total CPU Power :,16.16197553978824,12.34688117694987
Total CPU Power :,18.64919218742007,12.288839275826858
Total CPU Power :,22.717085881250995,12.331515598420385
Total CPU Power :,24.83222075635399,12.379789860771568
Total CPU Power :,24.637447764445128,12.268191716924793
Total CPU Power :,24.89265296959695,12.314480246181585
Total CPU Power :,23.157943827778837,12.408723436487392
Total CPU Power :,15.549276430532396,12.302562992763892
Total CPU Power :,14.5263278258295,12.274392068940692
Total CPU Power :,14.497213817126289,12.317494746232578
Total CPU Power :,15.816327463812826,12.282145684133958
Total CPU Power :,18.563749822414856,12.322209103701374
Total CPU Power :,22.39549811234873,12.297354133167055
Total CPU Power :,24.674139241754784,12.295170921606992
Total CPU Power :,24.559027690927394,12.240156242207357
Total CPU Power :,25.00212611591636,12.336412533737015
Total CPU Power :,23.380652689760872,12.351260524724745
Total CPU Power :,16.207756504846596,12.325354039642528
Total CPU Power :,14.776054433804996,12.346136611727681
Total CPU Power :,14.576689983008984,12.298018124413614
Total CPU Power :,16.05711978719208,12.291634444142357
Total CPU Power :,18.80635935722305,12.29813404857452
Total CPU Power :,21.94194906676919,12.254376494828685
Total CPU Power :,24.848721188813663,12.238707450251013
Total CPU Power :,24.317746977795725,12.294034538115458
Total CPU Power :,25.008185315957785,12.280741020054583
Total CPU Power :,23.768477786731868,12.375025043372512
Total CPU Power :,16.114372885315095,12.385413169133773
Total CPU Power :,14.607381345903297,12.368040829291651
Total CPU Power :,14.455306885901612,12.291380561842097
Total CPU Power :,15.896110679759959,12.290762537212808
Total CPU Power :,18.55449005789047,12.34522098999232
Total CPU Power :,21.21529139721316,12.330176118905236
Total CPU Power :,25.320988825825104,12.361630913616466
Total CPU Power :,24.219066097754336,12.301394132677588
Total CPU Power :,25.00010340167713,12.335783469360694
Total CPU Power :,23.990681680914008,12.638547448687333
Total CPU Power :,15.945743042498648,12.822337147658647
Total CPU Power :,14.73436622650156,12.525079784335919
Total CPU Power :,14.50076510968923,12.822083537878404
Total CPU Power :,15.477074062842597,12.568209962661895
Total CPU Power :,18.360283510828182,12.335264314646743
Total CPU Power :,21.73811484501134,12.374471275912118
Total CPU Power :,25.198299266979596,12.359711787246301
Total CPU Power :,24.174061511674463,12.348185039671899
Total CPU Power :,24.92316231125897,12.364762099718208
Total CPU Power :,24.264407157550213,12.405986131524692
Total CPU Power :,16.12656686595094,12.350134089602076
Total CPU Power :,14.755000690070668,12.333636907380564
Total CPU Power :,14.505384930818158,12.336006304421726
Total CPU Power :,15.32398340493199,12.344398016756355
Total CPU Power :,18.33778657138838,12.524588076070003
Total CPU Power :,20.829890463482894,12.354977609650813
Total CPU Power :,24.921082695432112,12.322708748259034
Total CPU Power :,24.41845772561255,12.337486476094888
Total CPU Power :,25.069681661911666,12.333945302782329
Total CPU Power :,24.403841802496114,12.316448617519045
Total CPU Power :,16.251223365287572,12.330809564693148
Total CPU Power :,14.660244012381327,12.310737683841877
Total CPU Power :,14.673422148867127,12.34072293301101
Total CPU Power :,15.343983440221008,12.313973617916064
Total CPU Power :,18.457780743373924,12.338453057322925
Total CPU Power :,20.644699976817012,12.332316697083831
Total CPU Power :,24.92745032903467,12.280022522077157
Total CPU Power :,24.196363724399514,12.25365375932658
Total CPU Power :,24.997421857643495,12.2950375856975
Total CPU Power :,25.23221540462303,12.28895808723204
Total CPU Power :,16.526028677607243,12.305575591805061
Total CPU Power :,14.769541861905415,12.269695737264264
Total CPU Power :,14.533330033030621,12.322948740754919
Total CPU Power :,15.511963038247094,12.323946149902444
Total CPU Power :,18.3308958710588,12.275790603352858
Total CPU Power :,19.19713248186384,12.42328330177274
