Total CPU Power,codeCarbon_time_log_20250325_191035.txt,Sem rodar nada
Total CPU Power :,21.64508151561789,13.225014404052493
Total CPU Power :,24.754207644473112,12.606601254226266
Total CPU Power :,23.699979003893656,12.693512685788239
Total CPU Power :,23.42563628042457,12.585157148879047
Total CPU Power :,26.81901745589929,12.410551451811738
Total CPU Power :,19.24988842838621,12.421069898367097
Total CPU Power :,14.924278178181353,12.458723345360173
Total CPU Power :,14.470842229349413,12.350444092689939
Total CPU Power :,15.501899997674634,12.489162380394346
Total CPU Power :,16.943957728589936,12.460465067626634
Total CPU Power :,23.309515443996354,12.356230364422466
Total CPU Power :,24.997059873094543,12.357081229045699
Total CPU Power :,23.984567146572278,12.379721792655884
Total CPU Power :,24.908902449607044,12.348969762807114
Total CPU Power :,25.63488940368564,12.66290300158277
Total CPU Power :,17.024546157762305,12.363213361049029
Total CPU Power :,14.900362227664942,12.389630086952003
Total CPU Power :,14.546325717795293,12.411033350201402
Total CPU Power :,15.244231933991696,12.402583645140277
Total CPU Power :,17.783762332474353,12.37704037499529
Total CPU Power :,23.500038701108046,12.415066964901577
Total CPU Power :,25.10579413420513,12.611188983537007
Total CPU Power :,24.26245768919021,12.297444212153975
Total CPU Power :,24.87893029907004,12.264318225720615
Total CPU Power :,23.646234528110558,12.81565430102468
Total CPU Power :,15.872083719292384,12.422668431332884
Total CPU Power :,14.463360609233877,12.262169665808017
Total CPU Power :,15.646217066026376,12.327187303708548
Total CPU Power :,15.402133310252658,12.314676973637354
Total CPU Power :,20.332113648357144,12.326458073509635
Total CPU Power :,23.897838495535076,12.233436919248122
Total CPU Power :,24.200458774552043,12.25150562748016
Total CPU Power :,25.050184829137493,12.322347083544159
Total CPU Power :,24.98916619404173,12.234588026821251
Total CPU Power :,21.82475231491643,12.2339187752362
Total CPU Power :,14.677814071322496,12.24263137120135
Total CPU Power :,14.51837058788341,12.262511282619531
Total CPU Power :,14.302588444210247,12.224384372204744
Total CPU Power :,15.96899537318159,12.190861468255857
Total CPU Power :,23.216655658802242,12.302121618927668
Total CPU Power :,24.475879175774914,12.246030652332747
Total CPU Power :,23.167618920338317,12.235637814042589
Total CPU Power :,24.93794363678514,12.286902046097886
Total CPU Power :,26.43217798134392,12.214393680306376
Total CPU Power :,17.96924644476219,12.397620037867853
Total CPU Power :,14.729742877602279,12.232718456660074
Total CPU Power :,14.67716244339299,12.259200488557099
Total CPU Power :,14.799570006934823,12.278546512758599
Total CPU Power :,17.40809089237552,12.257234450377567
Total CPU Power :,23.204772912288867,12.292535450220461
Total CPU Power :,25.090419590709214,12.245697179849254
Total CPU Power :,24.235392775043568,12.261029788514557
Total CPU Power :,24.93914350747419,12.26270028915308
Total CPU Power :,23.695743464294626,12.245233713815933
Total CPU Power :,16.32794986903494,12.455292525505687
Total CPU Power :,14.593869787941365,12.275492303011466
Total CPU Power :,14.3274262633622,12.233954626534839
Total CPU Power :,15.60552245816841,12.498986147956652
Total CPU Power :,17.428759710880673,12.277047984329249
Total CPU Power :,14.14582819180256,12.268358727576345
Total CPU Power :,16.76941583866422,12.181601290287228
Total CPU Power :,23.743033665337922,12.209953278352758
Total CPU Power :,23.564371523047697,12.185200087754698
Total CPU Power :,24.814447380206886,12.212714717428566
Total CPU Power :,26.29729030953112,12.253742867828542
Total CPU Power :,18.940614575669247,12.217453020994455
Total CPU Power :,15.204011816841538,12.167744790492677
Total CPU Power :,14.40658344681128,12.17543384211827
Total CPU Power :,14.388513234238479,12.245836849680547
Total CPU Power :,17.70577675147805,12.217501190336662
Total CPU Power :,22.430549760349713,12.28441823375506
Total CPU Power :,24.783625772140105,12.177478064684953
Total CPU Power :,24.040447179298095,12.233006705351
Total CPU Power :,24.748095934788815,12.165734149753822
Total CPU Power :,25.445198331080956,12.181425360728062
Total CPU Power :,16.586583698020192,12.198302475712632
Total CPU Power :,14.944260732474975,12.205851336365512
Total CPU Power :,14.409518868978536,12.227889751813128
Total CPU Power :,15.115837831898592,12.55497719921474
Total CPU Power :,17.962748075141512,12.41608185074961
Total CPU Power :,22.312414660808788,12.291512002885659
Total CPU Power :,25.06129235589166,12.237775344723726
Total CPU Power :,24.211601453143004,12.241261256915418
Total CPU Power :,24.94745462491331,12.275908559644105
Total CPU Power :,24.370002597755736,12.284254958879893
Total CPU Power :,16.045416179067374,12.350311361928956
Total CPU Power :,14.520696940127078,12.278968743812495
Total CPU Power :,14.90971208782908,12.211816727307559
Total CPU Power :,15.150813017306199,12.19942720498775
Total CPU Power :,19.036712727651008,12.270744032977204
Total CPU Power :,23.922621436436977,12.221970615986052
Total CPU Power :,24.294187930883595,12.218904735314227
Total CPU Power :,24.98143663913921,12.23299834183854
Total CPU Power :,24.649542244640692,12.247377259602183
Total CPU Power :,23.16811864902418,12.316316340193113
Total CPU Power :,14.744880764141877,12.156704741663198
Total CPU Power :,14.600106428873456,12.225274233175037
Total CPU Power :,14.359140947763855,12.192025834850606
Total CPU Power :,15.941876031689398,12.22146520832271
Total CPU Power :,22.419658750299842,12.297514950188956
