Total CPU Power,codeCarbon_time_log_20250325_182051.txt,Sem rodar nada
Total CPU Power :,21.510150943417546,13.124804946301369
Total CPU Power :,24.040755443158353,12.50474450638782
Total CPU Power :,23.599632264435538,12.43478914780757
Total CPU Power :,23.27017338609424,12.368894318474432
Total CPU Power :,26.292338582035022,12.33696404345297
Total CPU Power :,19.369428407601596,12.38762665139327
Total CPU Power :,22.373278526329646,12.346431076108335
Total CPU Power :,24.607638385494276,12.394470460771277
Total CPU Power :,23.811653858417312,12.333761046314008
Total CPU Power :,24.613291506919133,12.379231820620932
Total CPU Power :,25.52001056148509,12.376545709437748
Total CPU Power :,18.575468387292663,12.398174788440743
Total CPU Power :,22.689239673042557,12.335635340977763
Total CPU Power :,24.981028523784378,12.386246660658642
Total CPU Power :,23.99089985320763,12.444000873018869
Total CPU Power :,24.61285504500491,12.328369919095124
Total CPU Power :,23.6697310444096,12.366142315578449
Total CPU Power :,18.698192110693455,12.383979346487642
Total CPU Power :,23.70092431244557,12.470577067037802
Total CPU Power :,23.889477632380288,12.356793697490408
Total CPU Power :,24.787673731942146,12.391806515170787
Total CPU Power :,24.3595366944576,12.353064720958466
Total CPU Power :,22.584015454938616,12.344631789410728
Total CPU Power :,21.344880864354213,12.242145181023776
Total CPU Power :,23.88448748077009,12.252789004560112
Total CPU Power :,23.477870758347883,12.256280068932393
Total CPU Power :,24.690997824492648,12.237719141875544
Total CPU Power :,26.370932422734345,12.314766398643393
Total CPU Power :,19.725738667259854,12.235156246562612
Total CPU Power :,22.087696495466894,12.264088963940212
Total CPU Power :,24.720436698124676,12.18510392691794
Total CPU Power :,23.754815336493653,12.218829054565466
Total CPU Power :,24.467294637035753,12.338469215123899
Total CPU Power :,25.045318170368166,12.212552579981399
Total CPU Power :,17.726654917027414,12.252461652255207
Total CPU Power :,23.075639229588464,12.249706969261016
Total CPU Power :,24.84788654454681,12.242003776551565
Total CPU Power :,24.01113172324539,12.27386859398301
Total CPU Power :,24.649420155570418,12.285650567164776
Total CPU Power :,23.726139635381085,12.305942528583383
Total CPU Power :,19.144403247774324,12.262250377693112
Total CPU Power :,23.86761715348084,12.260260695001712
Total CPU Power :,23.95832818804758,12.201320098073374
Total CPU Power :,24.848595533398754,12.296516735803731
Total CPU Power :,24.583078822655736,12.310552172637554
Total CPU Power :,22.477346952638722,12.267569104070706
Total CPU Power :,20.26078261060542,12.234619413762726
Total CPU Power :,23.598176920464955,12.219974359273646
Total CPU Power :,23.606971949277533,12.260227693681038
Total CPU Power :,24.809606507524094,12.270936519315546
Total CPU Power :,25.916628343644255,12.245279467519307
Total CPU Power :,19.417649735171512,12.256484929603628
Total CPU Power :,21.64947452630072,12.237602728788387
Total CPU Power :,24.557857593887217,12.285794985028545
Total CPU Power :,24.06706297428109,12.200117938059048
Total CPU Power :,24.639556880090595,12.218834490081932
Total CPU Power :,24.932616818258243,12.201488921838747
Total CPU Power :,18.128721053486178,12.19146622890771
Total CPU Power :,25.48250598894014,12.50559039988481
