Total CPU Power,codeCarbon_time_log_20250325_214106.txt,Sem rodar nada
Total CPU Power :,21.737567400310805,13.27166501662831
Total CPU Power :,24.17610673721568,12.571845256541005
Total CPU Power :,23.46835142445266,12.585186382323096
Total CPU Power :,23.20489806530237,12.50379686299888
Total CPU Power :,26.69878479154835,12.49117510587039
Total CPU Power :,19.34755473324452,12.539377148317035
Total CPU Power :,19.27029954615574,12.460279622297234
Total CPU Power :,23.676401245037425,12.507008589447672
Total CPU Power :,23.78268050106655,12.4576180098898
Total CPU Power :,24.80572664123902,12.521735914396992
Total CPU Power :,24.831341571475846,12.451702847270926
Total CPU Power :,21.788469168566913,12.484956952270414
Total CPU Power :,18.02056955651959,12.47284282951221
Total CPU Power :,23.74571449153146,12.444060508400048
Total CPU Power :,24.23566002989528,12.495181789755597
Total CPU Power :,24.717278300429925,12.527555166947769
Total CPU Power :,24.836478552552062,12.568697089442496
Total CPU Power :,22.896005297426164,12.557539879920721
Total CPU Power :,16.923470121105304,12.46671199907943
Total CPU Power :,23.4513011873051,12.44034327626763
Total CPU Power :,24.599506612698956,12.507457561289327
Total CPU Power :,24.121681435552087,12.512135724298401
Total CPU Power :,24.721334195107037,12.4832769891197
Total CPU Power :,22.75876921397168,12.36866340493316
Total CPU Power :,17.45772980855629,12.314257267906507
Total CPU Power :,22.9492899611746,12.3170170194627
Total CPU Power :,24.56693298941024,12.401431316798371
Total CPU Power :,24.01328862098259,12.351516468999034
Total CPU Power :,25.461998574253144,12.328241524565687
Total CPU Power :,23.875443915959142,12.306856403350913
Total CPU Power :,18.619945381790153,12.274577754466508
Total CPU Power :,22.128226596707545,12.316883513105518
Total CPU Power :,24.893590623488496,12.40582767607724
Total CPU Power :,23.98278955108077,12.321894930598075
Total CPU Power :,24.877447978726117,12.282488959098492
Total CPU Power :,24.219473104988307,12.340708143088047
Total CPU Power :,17.68153059093217,12.338689727226809
Total CPU Power :,21.893075337390762,12.44152352137051
Total CPU Power :,24.69199877003774,12.327695932842934
Total CPU Power :,23.976057764405937,12.339870492513839
Total CPU Power :,24.709630646051945,12.334746274959395
Total CPU Power :,24.4946801167926,12.29305225889647
Total CPU Power :,17.300308548317414,12.29972070850503
Total CPU Power :,22.244884006413894,12.318584968291495
Total CPU Power :,24.86246293106452,12.284041710474579
Total CPU Power :,23.691949523837767,12.260621002407028
Total CPU Power :,24.54131818993079,12.244200546155604
Total CPU Power :,25.419239788893265,12.266443736162419
Total CPU Power :,16.674925401109387,12.32388790313652
Total CPU Power :,21.949575009563695,12.299153493067575
Total CPU Power :,24.53033379555092,12.262590443787722
Total CPU Power :,23.435942347460823,12.288078315247573
Total CPU Power :,24.516258399367096,12.297811219707999
Total CPU Power :,25.721027873852858,12.364505745956574
Total CPU Power :,16.693735638152937,12.271613511215282
Total CPU Power :,21.86633522039416,12.297263756239202
Total CPU Power :,24.39111239497759,12.331344101556798
Total CPU Power :,23.0663580086737,12.29577147772969
Total CPU Power :,24.773887418216738,12.325107006824558
Total CPU Power :,26.060989084042646,12.30803800517171
Total CPU Power :,17.873285286294884,12.310865459245512
Total CPU Power :,21.145189947529282,12.296869837082351
