Total CPU Power,codeCarbon_time_log_20250324_195301.txt,Sem rodar nada
Total CPU Power :,21.448931969061434,13.37439723709152
Total CPU Power :,24.221438345411322,12.740024340908846
Total CPU Power :,23.264613951597124,12.815321464554769
Total CPU Power :,24.404325007406317,12.577666801673688
Total CPU Power :,26.364301477616873,12.541286921159514
Total CPU Power :,19.437707126519555,12.456764199246374
Total CPU Power :,23.151449376222903,12.588700088404716
Total CPU Power :,23.708008322939456,12.549124301111615
Total CPU Power :,25.05228993722172,12.54615746725945
Total CPU Power :,24.78870278091199,12.520365320087269
Total CPU Power :,22.506468300764045,12.427039411161005
Total CPU Power :,23.92259695460074,12.498148836902365
Total CPU Power :,23.150800897190386,12.430124477283291
Total CPU Power :,25.085007286918856,12.40406097723338
Total CPU Power :,25.42170589061432,12.453042133737766
Total CPU Power :,22.07362792682206,12.446724425542001
Total CPU Power :,23.723764333357337,12.445141313085085
Total CPU Power :,22.9667831549785,12.47025992582244
Total CPU Power :,24.96223527048582,12.445707002798665
Total CPU Power :,25.894101966683102,12.457732382274704
Total CPU Power :,21.716706266533695,12.493068504992728
Total CPU Power :,23.90009347895104,12.49289709012336
Total CPU Power :,23.017478453194695,12.491522775282085
Total CPU Power :,24.65739705816077,12.272163476525154
Total CPU Power :,26.12686187632392,12.322993162618038
Total CPU Power :,21.124218379562468,12.329349188505638
Total CPU Power :,24.70524272595418,12.262911568593337
Total CPU Power :,22.857428236812883,12.655321801993493
Total CPU Power :,24.96998407579004,12.379519458747858
Total CPU Power :,26.21535574552044,12.311278534279532
Total CPU Power :,21.622224908816236,12.248556751384807
Total CPU Power :,25.165256558315676,12.270837433006193
Total CPU Power :,22.71677968300659,12.422350428687258
Total CPU Power :,25.13139648205888,12.324706145727399
Total CPU Power :,26.372731195878814,12.284826973147098
Total CPU Power :,20.69812569054092,12.229234350900857
Total CPU Power :,24.8391247855195,12.314257962097017
Total CPU Power :,23.0445716607086,12.271050952010492
Total CPU Power :,24.5086247456667,12.293664621949643
Total CPU Power :,26.33911146703027,12.269662737726838
Total CPU Power :,20.29356613058625,12.280615267170319
Total CPU Power :,24.755997132302383,12.244844690568586
Total CPU Power :,23.1564870284623,12.332839231044892
Total CPU Power :,24.67855543396094,12.338151986636742
Total CPU Power :,26.305413829916453,12.309720377890374
Total CPU Power :,20.367301673546503,12.303391444419002
Total CPU Power :,24.741812258468197,12.27448176416964
Total CPU Power :,23.521848004554563,12.270321896800281
Total CPU Power :,24.7836071082514,12.39535732095746
Total CPU Power :,25.681232198327997,12.319214468148273
Total CPU Power :,18.841090358720603,12.306438811169164
