Total CPU Power,codeCarbon_time_log_20250324_200246.txt,Sem rodar nada
Total CPU Power :,21.516167885886166,13.180343019362452
Total CPU Power :,24.258956454694925,12.471114953951837
Total CPU Power :,22.6984446506883,12.503127981587884
Total CPU Power :,24.379501352580668,12.48154795168317
Total CPU Power :,26.430315443761142,12.504381148430928
Total CPU Power :,20.948472529641585,12.604757256632693
Total CPU Power :,23.897355305741236,12.577485864239133
Total CPU Power :,23.084802295654633,12.497002484637662
Total CPU Power :,24.970334574174345,12.503501188027073
Total CPU Power :,25.850837739275224,12.465452129385518
Total CPU Power :,19.512418563315236,12.409523174393723
Total CPU Power :,23.2224567727718,12.492404850931996
Total CPU Power :,23.747583013336317,12.446860820709057
Total CPU Power :,24.895026383571597,12.468714914986881
Total CPU Power :,24.75752916398514,12.419780975997432
Total CPU Power :,22.89178447493269,12.37968518386655
Total CPU Power :,23.23827308930238,12.415980716829736
Total CPU Power :,23.69532902859896,12.404078095277896
Total CPU Power :,25.076537294117788,12.392629134766976
Total CPU Power :,24.520227519013947,12.378653084177351
Total CPU Power :,22.645204996557762,12.446755385048768
Total CPU Power :,23.297193356301754,12.44908852657583
Total CPU Power :,23.443661260817624,12.4551408506261
Total CPU Power :,25.00191126019601,12.373774994554013
Total CPU Power :,24.89685233243417,12.295522016047022
Total CPU Power :,22.488026612740494,12.299879636193731
Total CPU Power :,23.705299646886427,12.331405385544842
Total CPU Power :,22.95607644291458,12.367996828822516
Total CPU Power :,25.01991512441552,12.286255698341794
Total CPU Power :,25.36770943494127,12.305670755583956
Total CPU Power :,21.71844396194365,13.346563488209373
Total CPU Power :,23.72707490436052,12.313802845907183
Total CPU Power :,23.183099066806932,12.338213076659772
Total CPU Power :,25.0238237237332,12.266920630697442
Total CPU Power :,26.315668369733814,12.707330283420218
Total CPU Power :,22.055796103577613,12.487644768195919
Total CPU Power :,23.78172753817331,12.404914769520133
Total CPU Power :,22.929663059008437,12.372519797603376
Total CPU Power :,24.90341628492693,12.270233072224675
Total CPU Power :,25.661873347226475,12.294269035817067
Total CPU Power :,21.617627927272792,12.356167801327102
Total CPU Power :,23.796366270887205,12.259293220239021
Total CPU Power :,22.959977597111756,12.28494761902214
Total CPU Power :,24.880341110405073,12.278476921179273
Total CPU Power :,26.010443075725387,12.273132272210223
Total CPU Power :,21.541195466624924,12.239003680859454
Total CPU Power :,24.158610243834946,12.249155440377676
Total CPU Power :,22.8983491871384,12.263717330157977
Total CPU Power :,24.933700129975744,12.283625970773592
Total CPU Power :,26.102315264788405,12.37694948415116
Total CPU Power :,20.621056296546488,12.292471626819623
