Total CPU Power,codeCarbon_time_log_20250324_192225.txt,Sem rodar nada
Total CPU Power :,21.284760660555932,13.18076334206038
Total CPU Power :,24.10891925154315,12.575963782800347
Total CPU Power :,22.91468009657582,12.571154537390033
Total CPU Power :,23.78525902266993,12.595475604593762
Total CPU Power :,26.462739237476935,12.46260636905021
Total CPU Power :,22.643715049879756,12.538881885261986
Total CPU Power :,24.52553565182036,12.562410318242273
Total CPU Power :,22.836964792777145,12.538372332182842
Total CPU Power :,24.690078675054174,12.504306915802074
Total CPU Power :,26.48939168513018,12.486743255639523
Total CPU Power :,20.566582498332686,12.428962882853225
Total CPU Power :,24.76190190663957,12.534400223626081
Total CPU Power :,23.195821355345792,12.545731644298428
Total CPU Power :,24.616669482745692,12.545499796189935
Total CPU Power :,26.30258562682269,12.531288667958334
Total CPU Power :,20.451820371780595,12.526929368043922
Total CPU Power :,24.727813970803624,12.460852634579977
Total CPU Power :,23.5412847277627,12.511478822917148
Total CPU Power :,24.851719051926057,12.48391220885189
Total CPU Power :,25.64198785783015,12.456013411416414
Total CPU Power :,21.137386473139845,12.405210343283235
Total CPU Power :,24.57153622662936,12.458772641639264
Total CPU Power :,23.86731485935233,12.48459192608693
Total CPU Power :,24.76778472186964,12.358918300399745
Total CPU Power :,25.957033310259686,12.384113746206271
Total CPU Power :,21.1208510855848,12.334576463824366
Total CPU Power :,24.80629455027437,12.310108697656077
Total CPU Power :,24.210896101367407,12.328921989910521
Total CPU Power :,24.783494811826856,12.385452775554075
Total CPU Power :,25.23176713221911,12.372448316860073
Total CPU Power :,21.50989835951138,12.334200229316007
Total CPU Power :,24.377281101071674,12.328232068989648
Total CPU Power :,24.16991410426041,12.385400048143273
Total CPU Power :,24.901874401180976,12.384682131914232
Total CPU Power :,24.04413150320257,12.332258974575714
Total CPU Power :,22.26618913285557,12.316015171726136
Total CPU Power :,24.308121014907787,12.330215562099
Total CPU Power :,24.327467127229657,12.378717917864892
Total CPU Power :,24.94637621959901,12.297539652294901
Total CPU Power :,23.399828829644438,12.321755495416959
Total CPU Power :,23.0686077506106,12.305985739040759
Total CPU Power :,23.819174765179742,12.314643321039734
Total CPU Power :,24.664669368178647,12.338154759246839
Total CPU Power :,24.836511335595468,12.45474362776373
Total CPU Power :,23.424846541395606,12.331527934029054
Total CPU Power :,23.59122153446411,12.312006535599902
Total CPU Power :,23.57523264627034,12.424024727697173
Total CPU Power :,25.0842606036772,12.396879864931213
Total CPU Power :,25.099006375152623,12.333931791110547
Total CPU Power :,23.056422967345107,12.353318015410652
Total CPU Power :,22.434012961613448,12.618213506639224
