Total CPU Power,codeCarbon_time_log_20250324_133623.txt,Sem rodar nada
Total CPU Power :,21.010712511829826,13.235040931931074
Total CPU Power :,24.081652681503773,12.855441614162848
Total CPU Power :,22.74285371424683,12.662890120293937
Total CPU Power :,23.80391426913518,12.43582813880432
Total CPU Power :,26.355847820565476,12.477735997762347
Total CPU Power :,18.79959934696051,12.463667770623191
Total CPU Power :,23.407240807937843,12.37854428639537
Total CPU Power :,23.958882944239114,12.372600012882783
Total CPU Power :,24.901958629915416,12.337392053979302
Total CPU Power :,24.456859694166777,12.361831681284027
Total CPU Power :,22.17621830808363,12.392168503682228
Total CPU Power :,21.995445951025676,12.375568277788991
Total CPU Power :,24.497634503369017,12.381685423680338
Total CPU Power :,24.209660968739954,12.365395580786723
Total CPU Power :,24.89108562189335,12.366741023097909
Total CPU Power :,23.148792010582582,12.418898564476775
Total CPU Power :,21.163123385101766,12.383492363448708
Total CPU Power :,24.676257963651775,12.394399080484046
Total CPU Power :,24.079302231605404,12.392658698911092
Total CPU Power :,24.728556970294903,12.301574921822466
Total CPU Power :,24.037819449317546,12.344060430735626
Total CPU Power :,19.805360042258307,12.35945562691177
Total CPU Power :,24.887408817152444,12.365126432914428
Total CPU Power :,23.90062949883421,12.200767907561659
Total CPU Power :,24.607865909328513,12.20906331168538
Total CPU Power :,24.39312232734816,12.195665968191172
Total CPU Power :,19.44530285393094,12.22893949076298
Total CPU Power :,25.05156660254495,12.218489892647623
Total CPU Power :,24.140651520225877,12.170853556414205
Total CPU Power :,24.712186814065795,12.202352568811861
Total CPU Power :,25.674038749726222,12.21412626772235
Total CPU Power :,19.88074815443162,12.20855174671437
Total CPU Power :,24.10376203553508,12.369189674037983
Total CPU Power :,22.770663421187894,12.169926734022146
Total CPU Power :,24.830365187882382,12.23721678350982
Total CPU Power :,26.17281924097021,12.259799365837647
Total CPU Power :,19.335262171811234,12.264470004176513
Total CPU Power :,23.51802563577216,12.192092831691623
Total CPU Power :,23.27538644171658,12.197214666648783
Total CPU Power :,24.976185558634608,12.186877363656206
Total CPU Power :,25.55697445410917,12.283310548027167
Total CPU Power :,20.210079688840803,12.171052919718168
Total CPU Power :,23.414036708066632,12.137283332597189
Total CPU Power :,23.737531818284708,12.17629194277
Total CPU Power :,24.856893577180454,12.237784045367349
Total CPU Power :,24.564030272231072,12.22833704648815
Total CPU Power :,21.519218627038754,12.272797309147172
Total CPU Power :,22.472092584067795,12.189906309105602
Total CPU Power :,24.272875096570687,12.407709508615822
Total CPU Power :,24.199865283086222,12.192234220721366
Total CPU Power :,24.725672723806134,12.204722022529698
Total CPU Power :,22.801499530403618,12.160767836613582
Total CPU Power :,19.017053763083588,12.347008228496172
