Total CPU Power,codeCarbon_time_log_20250324_191152.txt,Sem rodar nada
Total CPU Power :,21.336914528376457,13.177907132284016
Total CPU Power :,24.101707023567403,12.47004520577756
Total CPU Power :,23.05356543541706,12.520044257872396
Total CPU Power :,23.76618290592694,12.476107687309408
Total CPU Power :,26.170650865820242,12.380055694732478
Total CPU Power :,14.799517274425273,12.370172781601601
Total CPU Power :,13.569514227352604,12.343746547037496
Total CPU Power :,16.32307862699796,12.372945495048786
Total CPU Power :,19.833842748030506,12.408687168548704
Total CPU Power :,23.594959775679477,12.377896915532926
Total CPU Power :,23.202371302823817,12.35506042278093
Total CPU Power :,24.84004720998091,12.357812120433932
Total CPU Power :,25.196242853016013,12.396122660449745
Total CPU Power :,17.409561499555878,12.28559501039252
Total CPU Power :,13.90365125418277,12.258094872880298
Total CPU Power :,16.07770091639693,12.342097022255087
Total CPU Power :,17.61806211679421,12.365809832660668
Total CPU Power :,23.8024129956096,12.354626242422377
Total CPU Power :,22.837027824552543,12.41678157413963
Total CPU Power :,24.82934057296114,12.302997931364773
Total CPU Power :,25.566651508556625,12.30220517197773
Total CPU Power :,20.067746796077923,12.346619962303052
Total CPU Power :,19.73306294256466,12.345025100953272
Total CPU Power :,24.732571282682077,12.14668870972597
Total CPU Power :,23.61952087088429,12.19298047498734
Total CPU Power :,24.61011784222776,12.159859288038684
Total CPU Power :,25.685488374380142,12.20695403285108
Total CPU Power :,17.621463222536576,12.286562758052808
Total CPU Power :,21.2839554505195,12.187952832869588
Total CPU Power :,24.27379695853146,12.199072964197788
Total CPU Power :,24.728372973370124,12.210683572144662
Total CPU Power :,25.098615325069737,12.15940113036368
Total CPU Power :,23.84648990712395,12.346977625832988
Total CPU Power :,16.233225126340532,12.243536384852113
Total CPU Power :,23.112149064316288,12.20415497977821
Total CPU Power :,23.53354672758785,12.237425860736735
Total CPU Power :,24.679891461488307,12.207426766022909
Total CPU Power :,24.725775057822908,12.241580068683765
Total CPU Power :,21.905340207458202,12.27596836752165
Total CPU Power :,16.897072223444145,12.175405540110331
Total CPU Power :,23.662798841474242,12.221440742313664
Total CPU Power :,23.304649654993632,12.196226187796649
Total CPU Power :,24.858606933254723,12.175507268133392
Total CPU Power :,24.648070900310252,12.212858796585953
Total CPU Power :,21.2562402021285,12.191542348461446
Total CPU Power :,19.186238197302707,12.22483964641041
Total CPU Power :,24.42612194535125,12.206053307752619
Total CPU Power :,22.63091611345654,12.245301488518225
Total CPU Power :,24.75756241661911,12.300887894924907
Total CPU Power :,26.251135925874237,12.25526414748615
Total CPU Power :,18.29338333354309,12.32867524499716
Total CPU Power :,20.344371753779797,12.251666721541413
Total CPU Power :,24.659750427420793,12.241346095064474
Total CPU Power :,23.90184118823264,12.233856671497177
Total CPU Power :,24.740579318194413,12.231832986241841
Total CPU Power :,24.103598494532037,12.258895236390051
Total CPU Power :,17.029375217946544,12.225211528801122
Total CPU Power :,23.186166351142923,12.189921792021757
Total CPU Power :,23.622214011293973,12.190392473772446
Total CPU Power :,24.79138852208243,12.192303289547242
Total CPU Power :,24.54025092502794,12.209602541378821
Total CPU Power :,22.04350959971368,12.263466638552032
Total CPU Power :,18.120724322691515,12.256599634401807
