Total CPU Power,codeCarbon_time_log_20250325_211543.txt,Sem rodar nada
Total CPU Power :,21.24592548368854,13.216482144658013
Total CPU Power :,24.21416101374312,12.419075771387602
Total CPU Power :,23.684734877964143,12.498039688812176
Total CPU Power :,23.448654170055523,12.435574766834625
Total CPU Power :,26.667280182148506,12.36865706926914
Total CPU Power :,18.995614322707524,12.458513903970648
Total CPU Power :,17.30018108032305,12.44550934586573
Total CPU Power :,20.97754216144468,12.471248280137358
Total CPU Power :,24.777092221500197,12.575509315414854
Total CPU Power :,24.277658653066773,12.446253200784733
Total CPU Power :,24.934544921342763,12.42280210575966
Total CPU Power :,23.769147902280473,13.413333694273605
Total CPU Power :,16.58748754452707,12.423979664498072
Total CPU Power :,18.7092481370963,12.421062311980217
Total CPU Power :,24.187770208678007,12.35054108207098
Total CPU Power :,23.2324137532925,12.355069206467128
Total CPU Power :,24.989453261603188,13.407535857695716
Total CPU Power :,26.297318740327302,12.40782011122824
Total CPU Power :,18.327090930832696,12.38649014187339
Total CPU Power :,15.231535950183854,12.33859023264766
Total CPU Power :,22.949393711395857,12.327312571070978
Total CPU Power :,24.285222157869594,12.31167477302443
Total CPU Power :,25.009987656819007,12.310792213720418
Total CPU Power :,24.572615537764438,12.256235750979817
Total CPU Power :,22.202296119996458,12.183901502621147
Total CPU Power :,16.752610496808526,12.287615426550726
Total CPU Power :,19.426147093749655,12.191828867152454
Total CPU Power :,24.718046587274127,12.222249685660007
Total CPU Power :,24.199081647892537,12.201289913530191
Total CPU Power :,24.82607205041552,12.20257744992808
Total CPU Power :,24.809972507061925,12.195097911996147
Total CPU Power :,16.72998999810253,12.171160295981542
Total CPU Power :,17.39093368764525,12.366466298909216
Total CPU Power :,23.69957239561458,12.244590509774634
Total CPU Power :,23.50192721226896,12.181980446275794
Total CPU Power :,24.65635608747685,12.256338604527302
Total CPU Power :,26.058763263635495,12.201682802422896
Total CPU Power :,19.79416209332813,12.191790779233852
Total CPU Power :,15.8150153979403,12.2787300277252
Total CPU Power :,21.24199996352364,12.156918012505537
Total CPU Power :,24.543349195932915,12.221964759217355
Total CPU Power :,24.309078117132646,12.309782811084022
Total CPU Power :,24.983697008902986,12.158264114045783
Total CPU Power :,23.007464109901637,12.22227016382916
Total CPU Power :,16.43772677358885,12.190123528026751
Total CPU Power :,19.09430228002888,12.180500049839383
Total CPU Power :,24.83929544112019,12.17987944718908
Total CPU Power :,23.80966054846763,12.181807470531359
Total CPU Power :,24.787817264522516,12.248053765655026
Total CPU Power :,25.431779745579533,12.166971160175136
Total CPU Power :,16.922757350115408,12.246373205060623
Total CPU Power :,16.296878286505045,12.202413784867595
Total CPU Power :,23.521694169254292,12.154858557631858
Total CPU Power :,23.54729207541794,12.181389878092949
Total CPU Power :,24.958013370673623,12.20031412838776
Total CPU Power :,25.431024922378423,12.202902333232268
Total CPU Power :,20.1741629353532,12.295902027260533
Total CPU Power :,16.97532546365244,12.163618534863716
Total CPU Power :,20.759833583574437,12.235915602676746
Total CPU Power :,24.961147522875017,12.177201918653905
Total CPU Power :,24.142620142813865,12.18625267897094
Total CPU Power :,24.96471823452345,12.219735228297262
Total CPU Power :,23.847407173519827,12.199632395114056
Total CPU Power :,16.32032939156851,12.22364158221661
Total CPU Power :,17.7542841812983,12.647469064734173
