Total CPU Power,codeCarbon_time_log_20250325_153014.txt,Sem rodar nada
Total CPU Power :,20.857548516103154,12.92988154138582
Total CPU Power :,24.10236531391446,12.295310215506634
Total CPU Power :,23.501070611527563,12.2683620687675
Total CPU Power :,23.123075972045797,12.219353649789745
Total CPU Power :,26.265387640639396,12.305473246376877
Total CPU Power :,19.026248778835857,12.210647610606387
Total CPU Power :,21.108143925685958,12.206358392211486
Total CPU Power :,24.872217624034086,12.236074737150249
Total CPU Power :,23.913315242124806,12.336365358623485
Total CPU Power :,24.512315806887127,12.248380910103446
Total CPU Power :,24.542363064991772,12.262263872647514
Total CPU Power :,17.40020545084399,12.253859248306295
Total CPU Power :,23.387393810570803,12.21857153869475
Total CPU Power :,23.685336907094385,12.260375127465151
Total CPU Power :,24.60455527104957,12.279056858256473
Total CPU Power :,25.66033914341486,12.270811968697224
Total CPU Power :,18.64156914263489,12.228385321801076
Total CPU Power :,21.466594465783498,12.26593909135929
Total CPU Power :,24.980378383595315,12.23446567919931
Total CPU Power :,24.266399108693673,12.245301742532599
Total CPU Power :,24.554465109781155,12.256928182339344
Total CPU Power :,24.510686844191447,12.208373456632115
Total CPU Power :,18.069371106649857,12.325873343298504
Total CPU Power :,23.648942539069395,12.138658772304652
Total CPU Power :,23.47435201526164,12.14748832656735
Total CPU Power :,24.406342946020104,12.11994505338019
Total CPU Power :,26.069576369091063,12.110510988764869
Total CPU Power :,17.444612675005573,12.204992966768529
Total CPU Power :,22.250048131811244,12.153316401484174
Total CPU Power :,24.50655062821162,12.149126804152838
Total CPU Power :,24.586781442704627,12.144918004758534
Total CPU Power :,24.167899178060356,12.132723336643727
Total CPU Power :,22.92908883495078,12.173965192063694
Total CPU Power :,18.597818038892107,12.13164098016209
Total CPU Power :,24.279835568914976,12.526902407512944
Total CPU Power :,23.742044892197875,12.305653901901536
Total CPU Power :,24.3786831451173,12.163480176701137
Total CPU Power :,24.90233653193,12.126731315542843
Total CPU Power :,16.29657322589962,12.114897783438389
Total CPU Power :,22.839467048949448,12.35871501572608
Total CPU Power :,24.11196373064364,12.223760923088976
Total CPU Power :,24.51941715742196,12.5178257328441
Total CPU Power :,24.130128402160064,12.314465441228444
Total CPU Power :,22.472513214157182,12.133054930755673
Total CPU Power :,18.904616886282383,12.125427830907594
Total CPU Power :,24.61214229770044,12.141412416110555
Total CPU Power :,23.77528926490746,12.150068372674628
Total CPU Power :,24.30462366855991,12.148182866699766
Total CPU Power :,25.009897931910842,12.244770294010383
Total CPU Power :,16.610798767330458,12.1075132579409
Total CPU Power :,22.917741716666743,12.127588206722555
Total CPU Power :,23.887204392351027,12.068280024457472
Total CPU Power :,24.44047436016763,12.146244591785226
Total CPU Power :,24.85826274128467,12.095889034563688
Total CPU Power :,21.163902098575132,12.064698179917304
Total CPU Power :,18.22206758935813,12.094411246973163
