Total CPU Power,codeCarbon_time_log_20250324_202204.txt,Sem rodar nada
Total CPU Power :,21.511888793394398,13.24018728350482
Total CPU Power :,24.46969072529578,12.424759077054373
Total CPU Power :,22.726716139548447,12.437441998692272
Total CPU Power :,24.465852961565748,12.418441259480849
Total CPU Power :,26.43573841855996,12.414349004039293
Total CPU Power :,19.799985025322513,12.525800691851382
Total CPU Power :,20.973905400958955,12.461022165458347
Total CPU Power :,25.077513619684222,12.850406626862794
Total CPU Power :,23.996880068234216,12.64270406034788
Total CPU Power :,24.911924125116357,12.442769996816642
Total CPU Power :,25.631021254056662,12.386165890392379
Total CPU Power :,15.949494743880868,12.41759089507431
Total CPU Power :,23.954602333840697,12.51202690150973
Total CPU Power :,23.99547906910867,12.482351238094047
Total CPU Power :,24.971104249750137,12.413778612431502
Total CPU Power :,24.658083102284284,12.427694316714872
Total CPU Power :,22.60930634385936,12.392376621161832
Total CPU Power :,18.94280710464898,12.354507390931632
Total CPU Power :,24.792780886655397,12.476673608127966
Total CPU Power :,22.94829119761497,12.391161828524552
Total CPU Power :,24.92680413483694,12.404987353612503
Total CPU Power :,26.45539099783851,12.417612312957829
Total CPU Power :,18.214938786244304,12.315600537049006
Total CPU Power :,21.543948623056753,12.260662196170708
Total CPU Power :,24.833806200546594,12.272860789800408
Total CPU Power :,24.232235951687986,12.242502149574992
Total CPU Power :,24.956795365331654,12.243349451195375
Total CPU Power :,24.543545652652487,12.279238563849022
Total CPU Power :,17.009508935809095,12.170510098182055
Total CPU Power :,23.409683127321703,12.20811041188541
Total CPU Power :,23.338733552664205,12.163510151877338
Total CPU Power :,25.111033524139778,12.237153587474305
Total CPU Power :,25.16011588559791,12.250542827277524
Total CPU Power :,21.058321914204406,12.236851244397597
Total CPU Power :,19.8575607371761,12.20441034373403
Total CPU Power :,24.70791267080154,12.169545638120184
Total CPU Power :,24.32698523418917,12.212628653387654
Total CPU Power :,25.132779803980235,12.239924872186705
Total CPU Power :,25.682278524260443,12.207097172691752
Total CPU Power :,16.15213643012988,12.182960510030187
Total CPU Power :,22.874958028349866,12.209331641401999
Total CPU Power :,24.28919119365671,12.247265383048063
Total CPU Power :,24.510092902400167,12.239943806440717
Total CPU Power :,25.038988757439757,12.138478812387254
Total CPU Power :,23.430912794530215,12.224804174991913
Total CPU Power :,18.534911966602678,12.163115267892353
Total CPU Power :,24.297499800476388,12.208598266688014
Total CPU Power :,23.185838459731382,12.254818242260077
Total CPU Power :,24.951776787140812,12.20465554583089
Total CPU Power :,26.234534854288285,12.236163158220144
Total CPU Power :,18.712519763575106,12.211477041747942
Total CPU Power :,21.463115985259172,12.208340530968044
Total CPU Power :,24.819772365434495,12.277085271338542
Total CPU Power :,24.089112195473753,12.216225492026767
Total CPU Power :,24.94238242908891,12.210167840743376
Total CPU Power :,24.883702239760694,12.143994162728648
Total CPU Power :,16.446922044736258,12.189459988068561
Total CPU Power :,22.298493363080677,12.377123150536908
