Total CPU Power,CreateAndCommentArticle_power_results.gsheet,Sem rodar nada
Total CPU Power :,21.95528722778592,12.487785173906355
Total CPU Power :,24.09149856500681,11.799141262640534
Total CPU Power :,22.007736942406225,11.802819013055412
Total CPU Power :,23.989137436745054,11.8036407520677
Total CPU Power :,25.898183486439635,11.46303201304204
Total CPU Power :,17.537412595673857,11.804692854952986
Total CPU Power :,13.288114378125153,11.65262431832481
Total CPU Power :,12.926680354930706,11.803085470558766
Total CPU Power :,13.562999842169079,11.281855811402322
Total CPU Power :,13.99145347419529,11.825806132043517
Total CPU Power :,20.344546391770415,11.819005085188886
Total CPU Power :,24.59057119413517,11.614541612969829
Total CPU Power :,23.794153297363856,11.645420849889117
Total CPU Power :,25.13382480736278,11.636308642076342
Total CPU Power :,24.377972056250076,11.617484998451866
Total CPU Power :,19.24005497729453,11.671192157340242
Total CPU Power :,13.319591724133755,11.484906761803606
Total CPU Power :,12.948881184083852,11.621134096835117
Total CPU Power :,12.911641418437402,11.460597966552768
Total CPU Power :,13.3090912910058,11.620274096071093
Total CPU Power :,17.612650103826955,11.79845435467499
Total CPU Power :,24.16350728008565,10.947009719851875
Total CPU Power :,24.353611748776405,11.418440227541764
Total CPU Power :,24.20968432973693,11.730427748751275
Total CPU Power :,25.05606063397391,11.78512940159101
Total CPU Power :,20.65947541059529,12.177349130536916
Total CPU Power :,13.065197708443074,11.407527741959436
Total CPU Power :,12.858520234992639,11.588740384611954
Total CPU Power :,12.928657962500687,11.552370790703888
Total CPU Power :,13.397001649373273,11.379689470398281
Total CPU Power :,17.25589606338533,11.589478141326756
Total CPU Power :,23.79038472565396,11.54895494364553
Total CPU Power :,25.197050223605217,11.734933724393327
Total CPU Power :,24.073856604727496,11.384435428371733
Total CPU Power :,25.122464269326816,12.05142434326702
Total CPU Power :,21.747185430352808,11.746038825339904
Total CPU Power :,13.607349340048424,11.597119106580914
Total CPU Power :,12.909536940383346,11.216688045375378
Total CPU Power :,13.028235025720399,11.733236285813028
Total CPU Power :,13.164631083352019,11.72385285202504
Total CPU Power :,16.853099430381885,11.74313877761768
Total CPU Power :,22.96790837441111,11.544717263954686
Total CPU Power :,25.015975330756174,11.378502511386769
Total CPU Power :,23.360020008987217,11.374114872690477
Total CPU Power :,24.867709510631595,11.735489158335774
Total CPU Power :,22.854179273091276,11.571994930363223
Total CPU Power :,13.336813052798362,11.391798719904616
Total CPU Power :,13.07104864927417,11.542972345003708
Total CPU Power :,12.864274476656657,11.733234062210164
Total CPU Power :,13.204285063395185,11.702148577419159
Total CPU Power :,14.23291643465906,11.537073323509341
Total CPU Power :,23.592320108902015,11.542103796392654
Total CPU Power :,24.753174868490063,11.361562036373167
Total CPU Power :,23.323314161533148,11.530582882685557
Total CPU Power :,24.946768525939778,11.709336757956807
Total CPU Power :,25.143732007730815,11.187254703864735
Total CPU Power :,13.665954015435414,11.391111783582286
Total CPU Power :,12.99318182698599,11.70296834346728
Total CPU Power :,12.873833176638701,11.187261269940176
Total CPU Power :,13.008265621366267,11.539106141116523
Total CPU Power :,13.285444953734375,11.358822380926174
Total CPU Power :,24.26983856512323,11.3582421993596
Total CPU Power :,24.500023659550017,11.704398081409972
Total CPU Power :,22.820753578642933,11.537033221024265
Total CPU Power :,25.204536266117746,11.905380123331936
Total CPU Power :,24.924802624863258,11.545176594425016
Total CPU Power :,15.451777404988048,11.56069386321329
Total CPU Power :,12.997541710402315,11.356476745217309
Total CPU Power :,12.862264315662063,11.524974975512276
Total CPU Power :,12.788471890809333,11.57032778708392
Total CPU Power :,13.60068001539895,11.549100234946504
Total CPU Power :,21.700471674464694,11.354578718443996
Total CPU Power :,24.11499592742028,11.97501172626115
Total CPU Power :,23.026439898276912,11.673093318442621
Total CPU Power :,25.048753899257857,12.02985411609165
Total CPU Power :,25.977772231026595,11.738770111164117
Total CPU Power :,16.247535533991407,11.553851116852748
Total CPU Power :,12.997361608300668,11.184820760515965
Total CPU Power :,12.951818685678669,11.71628382139055
Total CPU Power :,12.822616102963126,11.523147564016448
Total CPU Power :,13.58024660786594,11.728833247564962
Total CPU Power :,20.71942092571249,11.36028133434942
Total CPU Power :,23.949432003392534,11.529147080508766
Total CPU Power :,23.535409744859262,11.527299873596673
Total CPU Power :,25.254994224063324,11.531213578397749
Total CPU Power :,25.34532904844243,11.704789862746333
Total CPU Power :,18.189858357679107,11.376607369825779
Total CPU Power :,13.361233035336467,11.692423430278266
Total CPU Power :,12.986174688229589,11.716339054308728
Total CPU Power :,12.740415279819368,11.361739274832306
Total CPU Power :,13.491131825719627,11.181036203245828
Total CPU Power :,19.212769832947135,11.69953427458112
Total CPU Power :,24.572775891300825,11.531351401646134
Total CPU Power :,23.44608227130721,11.197503194497834
Total CPU Power :,25.076547640192143,11.707166922555016
Total CPU Power :,24.94193675884252,11.720178165401821
Total CPU Power :,19.169590556733084,11.570362792306788
Total CPU Power :,13.105498505135555,11.20067596682503
Total CPU Power :,12.890253666503202,11.182137338777057
Total CPU Power :,12.82887073297271,11.356257426320871
Total CPU Power :,13.48299744803134,11.549518695540838
Total CPU Power :,17.763949745609825,11.178412649575321
Total CPU Power :,26.326791104031685,12.002793703583423
