Total CPU Power,codeCarbon_time_log_20250211_211338.txt,Sem rodar nada
Total CPU Power :,19.807488882748334,12.285717549918537
Total CPU Power :,24.51997599404058,11.856134167806363
Total CPU Power :,21.546209219553695,11.53802935501851
Total CPU Power :,23.94379915677749,11.88771264837909
Total CPU Power :,25.295549598068614,11.869386766693612
Total CPU Power :,23.27111722947061,11.544988629085225
Total CPU Power :,24.288990566780395,11.914064829630213
Total CPU Power :,24.1815948096026,11.89292184420523
Total CPU Power :,24.02016858386313,11.86683448251895
Total CPU Power :,24.779449900950322,11.720207841398494
Total CPU Power :,25.112606047626755,11.579275780924533
Total CPU Power :,23.311774038154258,11.896419410556902
Total CPU Power :,24.61091703535035,11.696054768527091
Total CPU Power :,23.79345239431198,11.849796266361787
Total CPU Power :,24.60194568776164,11.68047648369151
Total CPU Power :,25.52667633070707,11.929897851727143
Total CPU Power :,23.669189323410883,11.86863266936287
Total CPU Power :,24.611062531638865,11.719235858669265
Total CPU Power :,23.434492322941196,11.711492986483695
Total CPU Power :,24.359340849596258,11.679051237449592
Total CPU Power :,25.397224194855255,11.859097993940953
Total CPU Power :,24.08047462563876,11.75447222115853
Total CPU Power :,24.034526166435164,11.830901769461258
Total CPU Power :,23.092136682314546,11.763350165772142
Total CPU Power :,24.335264722848887,11.758140892665693
Total CPU Power :,25.477654734718605,11.74452729083714
Total CPU Power :,24.10407671850952,11.729161486020793
Total CPU Power :,24.27647569004313,11.831002360740104
Total CPU Power :,23.611231198212927,11.563226437449392
Total CPU Power :,24.757078217731024,11.762688769942951
Total CPU Power :,24.328887417354576,11.734961755958215
Total CPU Power :,21.75367492763534,11.571577475800435
Total CPU Power :,23.65775656118339,11.786654087864258
Total CPU Power :,24.080702469321704,11.747329604132778
Total CPU Power :,22.727462696271314,12.140434913819552
Total CPU Power :,24.743411047826335,11.99447286906703
Total CPU Power :,25.255093147048072,11.650406219859825
Total CPU Power :,25.273740502997928,11.79018830085977
Total CPU Power :,23.585691960298803,11.754606775845119
Total CPU Power :,23.596764339213923,11.440417276024432
Total CPU Power :,24.828603052581393,11.895419223109501
Total CPU Power :,25.00168686680727,11.73731679708652
Total CPU Power :,24.988929257262015,11.582372826110651
Total CPU Power :,24.43905656075024,11.746320752697786
Total CPU Power :,24.28669951722325,11.72039965160395
Total CPU Power :,24.09474595662123,11.78510930963602
Total CPU Power :,24.611676151702085,11.746046223102102
Total CPU Power :,25.976536318292926,11.614806446968512
Total CPU Power :,23.563503994865133,11.395509162224094
Total CPU Power :,24.73680678697702,11.60350711663731
Total CPU Power :,23.427235004756632,11.578580502251727
Total CPU Power :,24.511254174519088,11.795210452937
Total CPU Power :,25.69194132742692,11.728147589742857
Total CPU Power :,24.537798573142084,11.742291725657536
Total CPU Power :,24.164650626417984,11.86107313077472
